"","X.1","X","am_sid","iucn_sid","sciname","parent_sid","subpop_sid","spp_group","category","trend","am_area","iucn_area","perc","am_perc","iucn_perc","sm_perc","sm_range","total_area","log_total_area"
"523",523,523,"ITS-180471",44187,"Orcaella brevirostris",15419,NA,"MAMMMARINE","CR","Decreasing",5962580.66599729,3715005.0488855,32.61231281198,49.3760399334443,18.0116472545757,64.4207066557108,"IUCN",7278910.55262334,15.8004917596094
"524",524,524,"ITS-180471",15419,"Orcaella brevirostris",NA,44556,"MAMMMARINE","VU","Decreasing",5962580.66599729,3715005.0488855,32.61231281198,49.3760399334443,18.0116472545757,64.4207066557108,"IUCN",7278910.55262334,15.8004917596094
"525",525,525,"ITS-180473",17031,"Phocoena phocoena",17027,NA,"MAMMMARINE","CR","Decreasing",16266546.9045975,14507217.7058441,51.9821684445152,23.889508040121,24.1283235153638,68.5132724792781,"AM",20387367.705129,16.8304260368715
"526",526,526,"ITS-180473",17027,"Phocoena phocoena",NA,17031,"MAMMMARINE","LC","Unknown",16266546.9045975,14507217.7058441,51.9821684445152,23.889508040121,24.1283235153638,68.5132724792781,"AM",20387367.705129,16.8304260368715
"527",527,527,"ITS-180480",17032,"Phocoenoides dalli",NA,NA,"MAMMMARINE","LC","Unknown",21004501.9974987,22433567.9074469,79.3882516510254,8.64615919360445,11.9655891553702,90.1786595597671,"AM",24428123.991964,17.0112456491254
"528",528,528,"ITS-180483",6335,"Delphinapterus leucas",NA,61442,"MAMMMARINE","NT","Unknown",32402211.6308138,12126628.9163283,26.2154579345863,52.2156885353011,21.5688535301126,54.8620606450575,"IUCN",36520626.3604044,17.4133877647051
"529",529,529,"ITS-180483",61442,"Delphinapterus leucas",6335,NA,"MAMMMARINE","CR","Decreasing",32402211.6308138,12126628.9163283,26.2154579345863,52.2156885353011,21.5688535301126,54.8620606450575,"IUCN",36520626.3604044,17.4133877647051
"530",530,530,"ITS-180485",13704,"Monodon monoceros",NA,NA,"MAMMMARINE","NT","Unknown",39073637.3752775,4454094.34221001,17.8025709434878,78.5281175288452,3.66931152766709,82.9110860093594,"IUCN",39663070.5973429,17.4959311010882
"531",531,531,"ITS-180619",41665,"Otaria flavescens",NA,NA,"MAMMMARINE","LC","Stable",2032363.65565153,3160847.42693636,36.0143442622951,29.047131147541,34.9385245901639,55.3543307086614,"AM",3671502.94569288,15.1161116581867
"532",532,532,"ITS-180621",41666,"Zalophus californianus",NA,NA,"MAMMMARINE","LC","Increasing",3195811.42286108,1917660.12924575,35.0208457415128,49.6128648004765,15.3662894580107,69.5035460992908,"IUCN",3729431.42818837,15.13176634788
"533",533,533,"ITS-180623",14549,"Neophoca cinerea",NA,NA,"MAMMMARINE","EN","Decreasing",920056.570953509,1088826.89658278,35.3448275862069,26.8965517241379,37.7586206896552,56.786703601108,"AM",1478312.98421591,14.2064121200583
"534",534,534,"ITS-180625",8239,"Eumetopias jubatus",NA,17367725,"MAMMMARINE","NT","Increasing",5859674.33676078,7510519.02108651,50.4333470903838,13.1035905901775,36.4630623194387,79.3764209158818,"AM",9074288.83999386,16.0209555703055
"535",535,535,"ITS-180627",3590,"Callorhinus ursinus",NA,NA,"MAMMMARINE","VU","Decreasing",20461295.6056109,18186815.2226552,79.4244191605316,14.7432832966823,5.83229754278612,93.1591342379724,"IUCN",21795291.3549299,16.8972045115364
"536",536,536,"ITS-180665",15269,"Ommatophoca rossii",NA,NA,"MAMMMARINE","LC","Unknown",18750929.2949537,26143772.3976764,66.1665482954545,2.30823863636364,31.5252130681818,96.6290678075976,"AM",27009328.1022568,17.1116928495711
"537",537,537,"ITS-180667",10340,"Hydrurga leptonyx",NA,NA,"MAMMMARINE","LC","Unknown",119046592.601377,43975541.5280938,44.7897112893467,50.6089141935184,4.60137451713492,90.6837955837548,"IUCN",120974848.109947,18.6110932150938
"538",538,538,"ITS-180669",11696,"Leptonychotes weddellii",NA,NA,"MAMMMARINE","LC","Unknown",18797341.6174793,29918463.0879597,64.1524331961933,0.0748036404438349,35.7727631633628,99.8835328372695,"AM",29943806.8281421,17.2148330774416
"539",539,539,"ITS-180672",13581,"Mirounga angustirostris",NA,NA,"MAMMMARINE","LC","Increasing",12616101.7379699,11053585.3996625,82.1841032608696,13.8417119565217,3.9741847826087,95.3873447664104,"IUCN",13091033.1288043,16.387438059814
"540",540,540,"ITS-180679",6909,"Dugong dugon",NA,NA,"MAMMMARINE","VU","Unknown",2757765.12680574,11544248.5080527,15.6638246041413,7.04019488428745,77.2959805115712,68.9914163090129,"AM",12367499.2405493,16.330582560677
"541",541,541,"ITS-180684",22103,"Trichechus manatus",NA,22106,"MAMMMARINE","VU","Decreasing",383672.694644924,3204337.81187233,10.7303877366997,1.26239855725879,88.0072137060415,89.4736842105263,"AM",3245569.87701133,14.9928015096541
"542",542,542,"ITS-552771",133704,"Eubalaena australis",8153,NA,"MAMMMARINE","CR","Unknown",147518646.631504,84811722.8515089,58.7819346234528,40.3428587305336,0.875206646013642,98.5329390121789,"IUCN",149330368.177992,18.8216716455631
"543",543,543,"ITS-552771",8153,"Eubalaena australis",NA,133704,"MAMMMARINE","LC","Increasing",147518646.631504,84811722.8515089,58.7819346234528,40.3428587305336,0.875206646013642,98.5329390121789,"IUCN",149330368.177992,18.8216716455631
"544",544,544,"ITS-622014",41668,"Zalophus wollebaeki",NA,NA,"MAMMMARINE","EN","Decreasing",188278.294635521,303500.85660226,9.6551724137931,32.4137931034483,57.9310344827586,22.9508196721311,"AM",448413.124531142,13.0134702394466
"545",545,545,"ITS-622018",41672,"Pusa hispida",NA,NA,"MAMMMARINE","LC","Unknown",33948994.8983856,21294174.5508517,45.547253634895,22.6373182552504,31.8154281098546,66.7999407670665,"AM",37897420.0386934,17.4503935948779
"546",546,546,"ITS-622022",41671,"Pagophilus groenlandicus",NA,NA,"MAMMMARINE","LC","Increasing",5769901.11483798,11243042.819621,48.9004780530204,3.65927857453281,47.4402433724468,93.0378700181908,"AM",11603454.1440434,16.2668133827898
"547",547,547,"ITS-622023",12246,"Lobodon carcinophaga",NA,NA,"MAMMMARINE","LC","Unknown",109538600.752791,26143772.3976764,31.3196461687427,63.8816404903747,4.79871334088261,86.7139222101054,"IUCN",111414254.135705,18.5287658318115
"548",548,548,"SLB-120063",192323,"Conus milneedwardsi",NA,NA,"CONUS","LC","Unknown",5624590.79325995,4224827.6769349,22.2915901579141,48.1087036356959,29.59970620639,42.9582448690729,"IUCN",8040649.71131489,15.9000204477552
"549",549,549,"SLB-120088",192380,"Conus floridulus",NA,NA,"CONUS","LC","Unknown",14170890.7864671,17425512.9517135,47.2295882763433,18.6182833217027,34.1521284019539,71.7253073336159,"AM",21379476.8788159,16.8779419954796
"550",550,550,"SLB-120147",192408,"Conus monile",NA,NA,"CONUS","LC","Unknown",1707276.58699207,2050297.08648633,34.0172786177106,26.7818574514039,39.2008639308855,55.9502664298401,"AM",2803933.97498465,14.8465339801349
"551",551,551,"SLB-120153",192276,"Conus praecellens",NA,NA,"CONUS","LC","Unknown",15440553.9846691,15756888.9120757,36.1604809200209,31.9524307370622,31.8870883429169,53.1400038409833,"IUCN",22820588.7808023,16.9431737031522
"552",552,552,"SLB-129356",192641,"Conus orbignyi",NA,NA,"CONUS","LC","Unknown",6947718.17193877,7656729.4857067,16.2187426968918,38.6772610422996,45.1039962608086,29.5444870157514,"AM",12576477.5515654,16.347338766178
"553",553,553,"Hol-208956",180337,"Actinopyga mauritiana",NA,NA,"SEACUCUMBERS","VU","Decreasing",14033540.724436,23367089.7352234,28.951454300797,19.9875789255771,51.0609667736259,59.15820642978,"AM",28907469.2789678,17.179610572249
"554",554,554,"Hol-208949",180265,"Actinopyga miliaris",NA,NA,"SEACUCUMBERS","VU","Decreasing",11945303.5461717,25304650.6200023,33.4739803094233,9.42334739803094,57.1026722925457,78.0327868852459,"AM",27869874.9205412,17.1430569114876
"555",555,555,"Hol-210768",180541,"Bohadschia argus",NA,NA,"SEACUCUMBERS","LC","Stable",14399008.9953089,21441848.8029057,32.7720785013381,21.0749330954505,46.1529884032114,60.8614620004142,"AM",26922869.41721,17.1084866475957
"556",556,556,"Hol-241820",180395,"Holothuria coluber",NA,NA,"SEACUCUMBERS","LC","Unknown",8367107.46633924,17171512.7149152,30.6662515566625,12.1575342465753,57.1762141967621,71.6103235187205,"AM",19518812.2507027,16.7868892892856
"557",557,557,"Hol-210882",180400,"Holothuria edulis",NA,NA,"SEACUCUMBERS","LC","Unknown",14014087.6277561,23358387.463382,35.7003469210755,14.6357328707719,49.6639202081526,70.9239715701055,"AM",27423693.2622232,17.1269179153048
"558",558,558,"Hol-210874",180326,"Holothuria fuscogilva",NA,NA,"SEACUCUMBERS","EN",NA,13299237.2749924,2793145.75557991,7.22601364913689,81.1722199919711,11.601766358892,38.3795309168444,"IUCN",15013967.0390577,16.5244914617655
"559",559,559,"Hol-210874",200715,"Holothuria fuscogilva",NA,NA,"SEACUCUMBERS","VU","Decreasing",13299237.2749924,2793145.75557991,7.22601364913689,81.1722199919711,11.601766358892,38.3795309168444,"IUCN",15013967.0390577,16.5244914617655
"560",560,560,"SLB-88397",180414,"Holothuria fuscopunctata",NA,NA,"SEACUCUMBERS","LC","Unknown",13807670.4171684,14464693.7037777,30.7281686285245,34.273200109499,34.9986312619765,47.2731101284481,"AM",21493020.1420978,16.8832387958359
"561",561,561,"Hol-210772",180248,"Pearsonothuria graeffei",NA,NA,"SEACUCUMBERS","LC","Unknown",13512692.0502223,27308532.4796443,34.5660602445571,10.1699970175962,55.2639427378467,77.2666666666667,"AM",30270236.8499833,17.2256755055455
"562",562,562,"Hol-149789",180477,"Stichopus chloronotus",NA,NA,"SEACUCUMBERS","LC","Stable",12905502.9995069,27541283.1814941,32.6423847596486,9.9003059915112,57.4573092488402,76.7285382830626,"AM",30431202.6420961,17.2309790426859
"563",563,563,"Hol-210916",180481,"Thelenota ananas",NA,NA,"SEACUCUMBERS","EN","Decreasing",13546377.1057248,21909025.4589248,38.3397819205065,14.5620823074217,47.0981357720717,72.4734042553192,"AM",25578819.2088923,17.0572751923338
"564",564,564,"Rep-34",176756,"Acalyptophis peronii",NA,NA,"non-homalopsids","LC","Stable",10595916.5658549,3154300.80409518,20.0052576235542,72.1345951629863,7.86014721345952,71.7924528301887,"IUCN",11485296.9906034,16.25657825277
"565",565,565,"Rep-205",176757,"Aipysurus eydouxii",NA,NA,"non-homalopsids","LC","Unknown",9394752.14239035,7213955.18833652,43.3621366849961,38.0727939251113,18.5650693898926,70.0211416490486,"IUCN",11561508.5709418,16.2631919119106
"566",566,566,"Rep-208",176704,"Aipysurus laevis",NA,NA,"non-homalopsids","LC","Decreasing",9407973.82014051,2137654.25484038,14.4695453245639,79.4395195882185,6.09093508721762,70.3755215577191,"IUCN",10043250.2854078,16.1224113534438
"567",567,567,"Rep-865",176708,"Astrotia stokesii",NA,NA,"non-homalopsids","LC","Unknown",12597230.5934508,9990079.69495193,41.8653045781309,37.5709421112372,20.5637533106319,67.0606060606061,"IUCN",15880253.9420138,16.5805870049661
"568",568,568,"Rep-2758",176720,"Emydocephalus annulatus",NA,NA,"non-homalopsids","LC","Decreasing",8529939.24252963,1216229.20875844,8.72785829307568,86.7954911433172,4.47665056360709,66.0975609756098,"IUCN",8939942.37439517,16.0060397013118
"569",569,569,"Rep-2769",176719,"Enhydrina schistosa",NA,NA,"non-homalopsids","LC","Stable",12379849.5804665,8753424.04962854,37.7551020408163,43.4458398744113,18.7990580847724,66.7591950034698,"IUCN",15284378.1301008,16.5423418275007
"570",570,570,"Rep-3490",176734,"Hydrophis elegans",NA,NA,"non-homalopsids","LC","Stable",8893134.60649196,2966634.4652174,23.7064910630292,69.112574474757,7.18093446221386,76.751269035533,"IUCN",9587877.46856814,16.0760100947893
"571",571,571,"Rep-3744",176746,"Lapemis curtus",NA,NA,"non-homalopsids","LC","Unknown",13776762.9972113,10460742.8267411,42.5092641609317,39.1388741838715,18.3518616551968,69.8463322702233,"IUCN",16931875.1420926,16.6447085065167
"572",572,572,"Hol-367868",180519,"Isostichopus badionotus",NA,NA,"SEACUCUMBERS","LC","Unknown",2390236.2238193,5148035.1887742,35.6430446194226,7.76902887139108,56.5879265091863,82.1039903264813,"AM",5570961.91106487,15.5330782919781
"573",573,573,"Hol-529402",180235,"Holothuria hilla",NA,NA,"SEACUCUMBERS","LC","Unknown",16500960.4173873,29497276.2284547,40.2043049981759,9.86866107260124,49.9270339292229,80.2914389799636,"AM",32725696.959106,17.3036711669851
"574",574,574,"Hol-210880",180443,"Holothuria rigida",NA,NA,"SEACUCUMBERS","LC","Unknown",10875893.8077557,25406770.2427473,17.4686497521143,18.0519101778944,64.4794400699913,49.1789819376026,"AM",30813262.1325695,17.2434557439869
"575",575,575,"SLB-93391",133649,"Acropora abrotanoides",NA,NA,"CORAL1","LC","Decreasing",12436873.43354,26072067.3703203,35.2145423800465,8.63453815261044,56.1509194673431,80.3085080742348,"AM",28439301.5377421,17.1632826034466
"576",576,576,"SLB-93466",133387,"Acropora globiceps",NA,NA,"CORAL1","VU","Decreasing",6824113.37748781,15869271.7127412,25.5000840477391,12.338208102202,62.1617078500588,67.3922701021768,"AM",18058585.7539029,16.7091317946866
"577",577,577,"SLB-93474",133115,"Acropora retusa",NA,NA,"CORAL1","VU","Decreasing",10819345.3899635,13693208.5914368,26.2420183771998,29.4035197009812,44.354461921819,47.1592499300308,"AM",19384448.6700372,16.779981687622
"578",578,578,"SLB-93562",192719,"Conus litteratus",NA,NA,"CONUS","LC","Unknown",14105291.2967173,30101732.0925392,33.7280781052251,9.04899656481649,57.2229253299584,78.8461538461538,"AM",32975795.438189,17.3112843787388
"579",579,579,"SLB-93568",192812,"Conus quercinus",NA,NA,"CONUS","LC","Unknown",20046004.4311459,32617208.8931305,44.0390085331166,11.1418122714344,44.819179195449,79.8085419734904,"AM",36453413.938718,17.4115456729032
"580",580,580,"SLB-93570",192614,"Conus suratensis",NA,NA,"CONUS","LC",NA,9371662.06619312,15901012.9205814,38.3718994506409,12.8516730481105,48.7764275012485,74.9106272343191,"AM",18229332.3016624,16.7185425196353
"581",581,581,"SLB-93574",192298,"Conus betulinus",NA,NA,"CONUS","LC","Unknown",14848505.5766264,21735193.5838995,35.8980044345898,19.5011086474501,44.6008869179601,64.7988793275966,"AM",26819689.2935577,17.1046468508722
"582",582,582,"SLB-93578",192636,"Conus coronatus",NA,NA,"CONUS","LC","Unknown",14608080.2096395,32975743.7694783,34.577470722049,6.78237425225377,58.6401550256972,83.6015481768181,"AM",35277946.9928279,17.3787685955964
"583",583,583,"SLB-93583",192562,"Conus flavidus",NA,NA,"CONUS","LC","Unknown",14140253.766774,32121239.3046393,33.7355628339941,7.24875021548009,59.0156869505258,82.3133543638276,"AM",34523247.3737228,17.3571434919949
"584",584,584,"SLB-93586",192460,"Conus generalis",NA,NA,"CONUS","LC","Unknown",12405038.4253876,25343646.515068,28.7184189079055,13.7326813365933,57.5488997555012,67.6505879529638,"AM",29243240.9491781,17.1911590262788
"585",585,585,"SLB-93588",192386,"Conus leopardus",NA,NA,"CONUS","LC","Unknown",14117286.0975622,16439715.4108664,23.9690409964929,33.3172088523401,42.713750151167,41.8408275279713,"AM",24599381.970105,17.0182318774205
"586",586,586,"SLB-93588",192778,"Conus leopardus",NA,NA,"CONUS","LC","Unknown",14117286.0975622,16439715.4108664,23.9690409964929,33.3172088523401,42.713750151167,41.8408275279713,"AM",24599381.970105,17.0182318774205
"587",587,587,"SLB-93593",133682,"Acropora subulata",NA,NA,"CORAL1","LC","Decreasing",9789288.42769356,20905539.0888832,33.4250884781754,9.25416175121248,57.3207497706121,78.3169533169533,"AM",22963892.9735088,16.9494336696382
"588",588,588,"SLB-93594",192844,"Conus lividus",NA,NA,"CONUS","LC","Unknown",14816990.7466522,31568159.6816418,33.6255048552032,9.20340293890178,57.171092205895,78.5112359550562,"AM",34619385.7029023,17.3599243635602
"589",589,589,"SLB-93600",192701,"Conus marmoreus",NA,NA,"CONUS","LC","Unknown",14018091.0097971,21742186.8566802,32.2324091461394,19.8166353694908,47.9509554843698,61.9269949066214,"AM",26959926.1070949,17.1098621031699
"590",590,590,"SLB-93607",192743,"Conus tessulatus",NA,NA,"CONUS","LC","Stable",14656658.3181694,33054705.7959693,35.2299628001353,6.42543118025025,58.3446060196145,84.5747919626548,"AM",35207232.2920591,17.3767620823063
"591",591,591,"SLB-93610",192316,"Conus textile",NA,NA,"CONUS","LC",NA,14252928.4603187,32695096.8166795,34.1048332198775,6.69673247106875,59.1984343090538,83.5870698644421,"AM",34946996.7987153,17.369343094446
"592",592,592,"SLB-93690",133195,"Acropora appressa",NA,NA,"CORAL1","NT","Decreasing",1272851.51394033,3201237.0082753,32.4491600353669,5.30503978779841,62.2458001768347,85.9484777517564,"AM",3379421.07163616,15.033214972208
"593",593,593,"SLB-93747",133338,"Acropora speciosa",NA,NA,"CORAL1","VU","Decreasing",9275913.66760378,14994783.7676285,32.1120689655172,18.4515915119363,49.4363395225464,63.5081967213115,"AM",18342323.1133374,16.7247216859821
"594",594,594,"SLB-93757",133227,"Astreopora expansa",NA,NA,"CORAL1","NT","Decreasing",11164108.7614754,21018746.4211837,36.7064255482878,10.7605489290753,52.5330255226369,77.3304512293975,"AM",23506998.8588959,16.9728087585565
"595",595,595,"SLB-100581",192870,"Conus arenatus",NA,NA,"CONUS","LC","Unknown",6875752.31080446,NA,NA,NA,NA,NA,NA,32473186.5892339,17.2959252787535
"596",596,596,"SLB-100581",192786,"Conus arenatus",NA,NA,"CONUS","LC","Unknown",6875752.31080446,NA,NA,NA,NA,NA,NA,32473186.5892339,17.2959252787535
"597",597,597,"SLB-100585",192815,"Conus auricomus",NA,NA,"CONUS","LC","Unknown",7712650.28676013,28781796.4054715,22.6536565737853,3.08822050095564,74.258122925259,88.0031262211802,"AM",29689842.2497338,17.2063155334801
"598",598,598,"SLB-100589",192297,"Conus bullatus",NA,NA,"CONUS","LC","Unknown",10516393.4024343,27450357.8666645,30.6581390550856,5.17846090365174,64.1634000412626,85.5497985031664,"AM",28945055.1729246,17.1809099416231
"599",599,599,"SLB-100590",192367,"Conus catus",NA,NA,"CONUS","LC","Unknown",7966775.88263657,32807389.3815753,21.1442786069652,2.25657427149964,76.5991471215352,90.3568716780562,"AM",33568486.163606,17.3290982730215
"600",600,600,"SLB-100596",192793,"Conus cylindraceus",NA,NA,"CONUS","LC","Unknown",7742623.52107794,19298133.5614184,23.278104888402,11.8170614815829,64.9048336300151,66.3285212641436,"AM",21884155.9912134,16.9012734622346
"601",601,601,"SLB-100599",192305,"Conus distans",NA,NA,"CONUS","LC","Unknown",8552925.6447381,30968820.888418,23.5261089275688,2.97585626052779,73.4980348119034,88.771186440678,"AM",31918517.1455917,17.2786968741282
"602",602,602,"SLB-100602",192611,"Conus ebraeus",NA,NA,"CONUS","LC","Unknown",10621636.1406185,31139274.694178,27.2080291970803,4.98175182481752,67.8102189781022,84.5238095238095,"AM",32753631.6166096,17.3045244029546
"603",603,603,"SLB-100604",192700,"Conus eburneus",NA,NA,"CONUS","LC","Unknown",9541443.63702156,30995176.532668,22.9931972789116,5.97732426303855,71.0294784580499,79.3675641828428,"AM",32886082.1366511,17.3085600908708
"604",604,604,"SLB-100609",192419,"Conus frigidus",NA,NA,"CONUS","LC","Unknown",6807935.59241567,22210916.272242,24.4651886425515,4.90081680280047,70.633994554648,83.3112582781457,"AM",23309949.6808223,16.9643908523147
"605",605,605,"SLB-100612",192789,"Conus tulipa",NA,NA,"CONUS","LC","Unknown",7447330.31786519,29775352.6690219,21.5972562469378,2.54777070063694,75.8549730524253,89.4480519480519,"AM",30550156.2381429,17.234880357747
"606",606,606,"SLB-100613",192586,"Conus terebra",NA,NA,"CONUS","LC","Unknown",7936211.81046563,31904838.5017337,21.0636363636364,2.85454545454545,76.0818181818182,88.0653743823641,"AM",32834706.1757987,17.306996629061
"607",607,607,"SLB-100614",192648,"Conus tenuistriatus",NA,NA,"CONUS","LC","Unknown",10056518.1202583,13901756.4684632,24.0464605242505,28.1902370114582,47.7633024642913,46.0336538461538,"AM",19260088.1903194,16.7735455432604
"608",608,608,"SLB-100615",192321,"Conus striatus",NA,NA,"CONUS","LC","Stable",18147333.3940292,32901940.2055506,44.5739380119922,6.75618613292796,48.6698758550798,86.8377755840737,"AM",35229629.9325624,17.3773980459353
"609",609,609,"SLB-100617",192296,"Conus sanguinolentus",NA,NA,"CONUS","LC","Unknown",7162123.75526679,1518798.22422166,0,82.1638437608019,17.8361562391981,0,"IUCN",8680921.97948845,15.9766382998308
"610",610,610,"SLB-100617",192370,"Conus sanguinolentus",NA,NA,"CONUS","LC","Unknown",7162123.75526679,1518798.22422166,0,82.1638437608019,17.8361562391981,0,"IUCN",8680921.97948845,15.9766382998308
"611",611,611,"SLB-100618",192428,"Conus rattus",NA,NA,"CONUS","LC","Unknown",10719285.4447487,32950464.061898,28.1493819584466,3.1033575874463,68.7472604541071,90.070126227209,"AM",34003451.4553277,17.3419725908203
"612",612,612,"SLB-100619",192506,"Conus pulicarius",NA,NA,"CONUS","LC",NA,7345563.44898412,22875721.4553939,26.3927054708968,4.03447414439171,69.5728203847115,86.7405582922824,"AM",23844122.8695773,16.9870483243693
"613",613,613,"SLB-100620",192879,"Conus pertusus",NA,NA,"CONUS","LC","Unknown",9683082.30996086,30658133.4799606,27.364737041241,2.99848656829361,69.6367763904654,90.1246105919003,"AM",31600035.2416052,17.2686687937972
"614",614,614,"SLB-100621",192819,"Conus omaria",NA,NA,"CONUS","LC","Unknown",8707941.90169345,23962523.5572484,33.096608301702,2.14276968287009,64.7606220154279,93.9193884642113,"AM",24482586.601503,17.0134726718527
"615",615,615,"SLB-100622",192318,"Conus nussatella",NA,NA,"CONUS","LC","Unknown",7916403.55027343,32883872.3773141,20.872798087988,2.35460741789856,76.7725944941135,89.8628048780488,"AM",33676816.5826341,17.3323202233532
"616",616,616,"SLB-100624",192356,"Conus mustelinus",NA,NA,"CONUS","LC","Unknown",7119021.84205803,20121957.3232858,31.017047096215,2.90378503322739,66.0791678705576,91.4395229982964,"AM",20731523.8186692,16.8471659896057
"617",617,617,"SLB-100625",192796,"Conus musicus",NA,NA,"CONUS","LC","Unknown",6772337.05331101,19961843.5121788,29.5375218150087,3.01047120418848,67.4520069808028,90.7506702412869,"AM",20586554.6938781,16.8401487359052
"618",618,618,"SLB-100626",192327,"Conus muriculatus",NA,NA,"CONUS","LC","Unknown",8031834.06875533,22786043.5513981,25.8044856167723,6.7893710385178,67.4061433447099,79.1697830964847,"AM",24434770.825782,17.0115177097098
"619",619,619,"SLB-100627",192564,"Conus moreleti",NA,NA,"CONUS","LC","Unknown",6238686.98872911,29072724.6804547,18.1709025415249,2.6615969581749,79.1675005003002,87.223823246878,"AM",29849983.1570192,17.2116948335488
"620",620,620,"SLB-100628",192590,"Conus miliaris",NA,NA,"CONUS","LC","Unknown",8021815.36304491,32730982.9930251,18.8702236922273,4.40421272521542,76.7255635825572,81.077038145101,"AM",34214001.0992192,17.3481455071221
"621",621,621,"SLB-100629",192634,"Conus miles",NA,NA,"CONUS","LC","Unknown",8280044.29882875,32295361.5701923,21.4189974086319,3.25261370744348,75.3283888839246,86.8163708801159,"AM",33356144.4934207,17.3227525560366
"622",622,622,"SLB-100630",192573,"Conus magnificus",NA,NA,"CONUS","LC","Unknown",8360495.13707837,7955434.06540665,14.7592905405405,44.066722972973,41.1739864864865,26.3873159682899,"IUCN",14223790.133161,16.4704264822092
"623",623,623,"SLB-100632",192378,"Conus litoglyphus",NA,NA,"CONUS","LC","Unknown",7544991.82395747,32620328.124474,19.9696482770934,2.36564899125156,77.6647027316551,89.4084732214229,"AM",33408693.9532419,17.3243267220765
"624",624,624,"SLB-100633",192843,"Conus legatus",NA,NA,"CONUS","LC","Unknown",9326437.32464415,21101981.8627677,28.8131248397847,10.7280184568059,60.4588567034094,72.8687196110211,"AM",23586887.1249129,16.9762014852758
"625",625,625,"SLB-100635",192593,"Conus imperialis",NA,NA,"CONUS","LC","Unknown",11182741.6977015,29415404.0518762,32.5371965544244,3.68050117462803,63.7823022709475,89.8378378378378,"AM",30540761.2778385,17.2345727846818
"626",626,626,"SLB-100637",192722,"Conus glans",NA,NA,"CONUS","LC","Unknown",6848583.70055148,29863101.4299474,21.2715389185977,1.16854822737176,77.5599128540305,94.792586054722,"AM",30213064.4577576,17.2237849867406
"627",627,627,"SLB-100638",192772,"Conus geographus",NA,NA,"CONUS","LC","Unknown",8094238.74918894,31545049.9440254,21.8560117842018,2.78954152089855,75.3544466948997,88.6813597310422,"AM",32447186.2796492,17.295124287945
"628",628,628,"SLB-100640",192342,"Conus emaciatus",NA,NA,"CONUS","LC","Unknown",9102857.57871127,27446361.0912788,30.6610860699721,1.66344709165057,67.6754668383773,94.8539176626826,"AM",27905713.0319163,17.1443419939985
"629",629,629,"SLB-100643",192847,"Conus consors",NA,NA,"CONUS","LC","Unknown",6902700.78653901,22003061.9588636,26.8042609853529,3.42210386151798,69.7736351531292,88.6784140969163,"AM",22767495.8677909,16.9408444569281
"630",630,630,"SLB-100646",192754,"Conus coffeae",NA,NA,"CONUS","LC","Unknown",6566213.60431383,21990213.9662641,27.9060348319158,1.36357499662481,70.7303901714594,95.3413284132841,"AM",22293009.111785,16.9197836945362
"631",631,631,"SLB-100647",192328,"Conus coelinae",NA,NA,"CONUS","LC","Unknown",3792431.84620494,3181483.13057968,15.350444225074,47.4827245804541,37.1668311944719,29.2293233082707,"IUCN",6049362.58640223,15.6154634668371
"632",632,632,"SLB-100649",192737,"Conus canonicus",NA,NA,"CONUS","LC","Unknown",6495552.58509596,31168033.0595873,18.8591935026915,1.35990178487109,79.7809047124374,93.2741709481551,"AM",31603177.6660875,17.2687682325548
"633",633,633,"SLB-100652",192507,"Conus capitaneus",NA,NA,"CONUS","LC","Unknown",11264018.489158,25387577.4420364,29.6214043993232,10.1840101522843,60.1945854483926,74.4155154091392,"AM",28219079.1833576,17.1555088739259
"634",634,634,"SLB-100653",192374,"Conus boeticus",NA,NA,"CONUS","LC","Unknown",9097749.83052671,14929148.8667215,36.6477760604499,14.8892323544565,48.4629915850936,71.1096301232922,"AM",17531866.3311747,16.6795307162147
"635",635,635,"SLB-100654",192383,"Conus ammiralis",NA,NA,"CONUS","LC","Unknown",7786526.10601838,22510510.7050475,31.5276695245518,2.14341387373344,66.3289166017147,93.6342592592593,"AM",22970546.425993,16.9497233630629
"636",636,636,"SLB-100657",192563,"Conus aulicus",NA,NA,"CONUS","LC","Unknown",8904870.74006315,29643143.2502718,22.9614759583214,5.16203039862346,71.8764936430552,81.6451393609789,"AM",31261433.5668588,17.2578957413705
"637",637,637,"SLB-100658",192413,"Conus aureus",NA,NA,"CONUS","LC","Unknown",6476567.848782,24646970.3927022,23.9273335723676,1.58957810445799,74.4830883231744,93.7704918032787,"AM",25046838.4902501,17.0362581695562
"638",638,638,"SLB-100659",192849,"Conus balteatus",NA,NA,"CONUS","LC","Unknown",6229415.56202669,20434981.1865109,25.0776616774922,4.02428692459757,70.8980513979102,86.1717612809316,"AM",21290323.7126807,16.873763241671
"639",639,639,"SLB-100671",192853,"Conus virgo",NA,NA,"CONUS","LC","Unknown",9127456.89090676,31375571.2072738,22.7825140576818,4.80682024306185,72.4106656992563,82.577251808021,"AM",32912052.7916718,17.3093494948986
"640",640,640,"SLB-100934",192831,"Conus centurio",NA,NA,"CONUS","LC","Unknown",2401523.10941289,3889943.15807979,34.1955835962145,17.1608832807571,48.6435331230284,66.5847665847666,"AM",4685173.50037673,15.3599135061337
