"","X.1","X","am_sid","sciname","am_category","iucn_sid","iucn_category","popn_trend","parent_sid","subpop_sid","popn_category","info_source","spp_group","id_no","spatial_source","category_score","trend_score","total_area","am_area","iucn_area","perc","am_perc","iucn_perc","sm_perc","sm_range","log_total_area"
"12",12,12,"ITS-660118","Scyllarides squammosus","LC",170008,"LC","Unknown",NA,NA,"LC","iucn","LOBSTERS",170008,"iucn",0,NA,20378512.9850004,13928637.3896254,10541910.5936919,20.2484113229347,47.0103986135182,32.7411900635471,38.2120468792587,"IUCN",16.8299916186709
"13",13,13,"ITS-660225","Jasus edwardsii","LC",170025,"LC","Stable",NA,NA,"LC","iucn","LOBSTERS",170025,"iucn",0,0,2120110.31848506,593348.249327813,2047029.12893539,25.5972696245734,3.98179749715586,70.4209328782708,86.5384615384615,"AM",14.5669786823156
"14",14,14,"ITS-75285","Conus daucus",NA,192370,"LC","Unknown",NA,NA,"LC","iucn","CONUS",192370,"iucn",0,NA,4123749.75668677,2587901.16773895,3037404.44700597,36.5192582025678,26.3908701854494,37.0898716119829,58.0498866213152,"AM",15.232273442522
"15",15,15,"ITS-75291","Conus jaspideus",NA,192637,"LC","Unknown",NA,NA,"LC","iucn","CONUS",192637,"iucn",0,NA,895756.898496972,498265.414134479,665473.313058939,29.9319727891156,25.5102040816327,44.5578231292517,53.9877300613497,"AM",13.7054243365017
"16",16,16,"ITS-75305","Conus mazei",NA,192553,"LC","Unknown",NA,NA,"LC","iucn","CONUS",192553,"iucn",0,NA,2860190.98665826,2565211.83240263,503233.923856719,7.14285714285714,82.7551020408163,10.1020408163265,41.4201183431953,"IUCN",14.8663989591183
"17",17,17,"ITS-75309","Conus villepinii",NA,192444,"LC","Unknown",NA,NA,"LC","iucn","CONUS",192444,"iucn",0,NA,5393924.53995063,3248603.76435971,4590994.62270742,45.7343412526998,14.6868250539957,39.5788336933045,75.692582663092,"AM",15.5007837929567
"18",18,18,"ITS-75310","Conus amphiurgus",NA,192340,"LC","Unknown",NA,NA,"LC","iucn","CONUS",192340,"iucn",0,NA,3289485.76956546,2758974.42472982,1212301.24521689,21.0616438356164,62.5,16.4383561643836,56.1643835616438,"IUCN",15.0062418094813
"19",19,19,"ITS-75314","Conus stimpsoni",NA,192683,"LC","Unknown",NA,NA,"LC","iucn","CONUS",192683,"iucn",0,NA,1849935.5114332,1259904.65934359,909160.155035412,18,49.0769230769231,32.9230769230769,35.3474320241692,"IUCN",14.4306613377622
"20",20,20,"ITS-75327","Conus brunneus",NA,192449,"LC","Unknown",NA,NA,"LC","iucn","CONUS",192449,"iucn",0,NA,2379550.77401719,1165814.75009613,1847592.57396408,26.5104808877928,23.5511713933416,49.9383477188656,52.9556650246305,"AM",14.6824222774191
"21",21,21,"ITS-75329","Conus cardinalis",NA,192871,"NT","Unknown",NA,NA,"NT","iucn","CONUS",192871,"iucn",0.2,NA,2367196.71923314,2059167.04886102,463597.195239272,6.59203980099503,80.3482587064677,13.0597014925373,33.5443037974684,"IUCN",14.67721699414
"22",22,22,"ITS-75344","Conus ermineus",NA,192578,"LC","Unknown",NA,NA,"LC","iucn","CONUS",192578,"iucn",0,NA,6872927.42543215,2216976.18149331,6643194.42651382,28.9780077619664,3.32039672272531,67.7015955153083,89.7196261682243,"AM",15.7431006906754
"23",23,23,"ITS-75346","Conus fergusoni",NA,192566,"LC","Unknown",NA,NA,"LC","iucn","CONUS",192566,"iucn",0,NA,2826510.7066557,1974728.34140029,1606236.24305244,26.5625,43.8541666666667,29.5833333333333,47.3098330241187,"IUCN",14.8545535430456
"24",24,24,"ITS-75349","Conus gladiator",NA,192345,"LC","Unknown",NA,NA,"LC","iucn","CONUS",192345,"iucn",0,NA,2197625.27981807,1078128.79234493,1800791.08292232,30.9459459459459,18.6486486486486,50.4054054054054,62.3978201634877,"AM",14.6028879170726
"25",25,25,"ITS-75352","Conus granulatus",NA,192624,"LC","Unknown",NA,NA,"LC","iucn","CONUS",192624,"iucn",0,NA,3750584.52018722,1990217.71934134,3061582.68812836,34.850863422292,18.2888540031397,46.8602825745683,65.5834564254062,"AM",15.1374222578497
"26",26,26,"ITS-75356","Conus mus",NA,192633,"LC","Unknown",NA,NA,"LC","iucn","CONUS",192633,"iucn",0,NA,3597361.32869183,1672891.21365075,3424133.65146992,41.659886086249,4.96338486574451,53.3767290480065,89.3542757417103,"AM",15.0957111704244
"27",27,27,"ITS-75369","Conus purpurascens",NA,192696,"LC",NA,NA,NA,"LC","iucn","CONUS",192696,"iucn",0,NA,2586049.35244557,1401339.39915348,1980381.92522736,30.7867730900798,24.1733181299886,45.0399087799316,56.0165975103734,"AM",14.7656419226042
"28",28,28,"ITS-75376","Conus regius",NA,192869,"LC","Unknown",NA,NA,"LC","iucn","CONUS",192869,"iucn",0,NA,4960872.29068218,2392024.6624439,4416333.52871429,37.2162485065711,11.3500597371565,51.4336917562724,76.629766297663,"AM",15.4170921482956
"29",29,29,"ITS-75400","Conus acutangulus",NA,192704,"LC","Unknown",NA,NA,"LC","iucn","CONUS",192704,"iucn",0,NA,33515397.0099317,9260519.10307859,33095894.5708532,25.9687166725915,1.253110558123,72.7781727692855,95.3966699314398,"AM",17.3275155034427
"30",30,30,"ITS-75402","Conus attenuatus",NA,192629,"LC","Unknown",NA,NA,"LC","iucn","CONUS",192629,"iucn",0,NA,3542041.34567894,2058578.46512875,2888405.31622951,39.6680497925311,18.5892116182573,41.7427385892116,68.0911680911681,"AM",15.0802137702322
"31",31,31,"ITS-75403","Conus cancellatus",NA,192693,"LC","Unknown",NA,NA,"LC","iucn","CONUS",192693,"iucn",0,NA,4737707.72500317,3803641.531688,1709143.69481418,16.8594035301278,62.8727936701156,20.2678027997565,45.4098360655738,"IUCN",15.3710639743779
"32",32,32,"ITS-75406","Conus mindanus",NA,192599,"LC","Unknown",NA,NA,"LC","iucn","CONUS",192599,"iucn",0,NA,5669023.75541314,3174401.99581471,5261309.10294917,49.045899948427,7.2717895822589,43.6823104693141,87.0879120879121,"AM",15.5505274837039
"33",33,33,"ITS-199949","Panulirus penicillatus","LC",169951,"LC","Unknown",NA,NA,"LC","iucn","LOBSTERS",169951,"iucn",0,NA,30954671.5754311,11485846.4570943,29264245.5462371,31.0871432662022,5.48821227450606,63.4246444592918,84.9947807933194,"AM",17.248034485137
"34",34,34,"ITS-199950","Scyllarides haanii","LC",169954,"LC","Unknown",NA,NA,"LC","iucn","LOBSTERS",169954,"iucn",0,NA,15967187.6186269,14367053.5202614,3080211.30419272,9.55909596146721,80.1037421267136,10.3371619118192,48.0446927374302,"IUCN",16.5860464006522
"35",35,35,"SLB-184862","Bathyarctus rubens","LC",185035,"LC","Unknown",NA,NA,"LC","iucn","LOBSTERS",185035,"iucn",0,NA,15242590.7354212,11601635.9258014,6791059.31520661,20.5278592375367,55.425219941349,24.0469208211144,46.0526315789474,"IUCN",16.5396040895377
"36",36,36,"SLB-184916","Galearctus timidus","LC",185062,"LC","Unknown",NA,NA,"LC","iucn","LOBSTERS",185062,"iucn",0,NA,12876766.5480127,9850493.29604784,5357551.18426771,18.4234234234234,56.5540540540541,25.0225225225225,42.4053913945049,"IUCN",16.3709352027146
"37",37,37,"ITS-553055","Thenus orientalis","LC",169979,"LC","Unknown",NA,NA,"LC","iucn","LOBSTERS",169979,"iucn",0,NA,13711578.5490417,11963158.8930007,3951951.17342953,16.1063502526917,70.6218413535487,13.2718083937596,54.8242333582648,"IUCN",16.4337511834256
"38",38,38,"ITS-553058","Palinurellus wieneckii","LC",170049,"LC","Unknown",NA,NA,"LC","iucn","LOBSTERS",170049,"iucn",0,NA,13618759.2654544,9582714.61770096,5649546.58833505,11.7880794701987,58.476821192053,29.7350993377483,28.3891547049442,"IUCN",16.4269587580203
"39",39,39,"ITS-552914","Acanthacaris tenuimana","LC",169962,"LC","Unknown",NA,NA,"LC","iucn","LOBSTERS",169962,"iucn",0,NA,39687825.536727,13637659.5481801,32098513.7379761,15.3174842010232,19.1393319289798,65.543183869997,44.4541484716157,"AM",17.4965550370838
"40",40,40,"ITS-552916","Nephropsis acanthura","LC",169985,"LC","Unknown",NA,NA,"LC","iucn","LOBSTERS",169985,"iucn",0,NA,11787759.7987971,5618551.28091132,6989999.64000504,6.87003968253968,39.1369047619048,53.9930555555556,14.9326145552561,"AM",16.2825722458758
"41",41,41,"ITS-552917","Nephropsis atlantica","LC",170044,"LC","Unknown",NA,NA,"LC","iucn","LOBSTERS",170044,"iucn",0,NA,6162312.46042526,2032549.92039804,5037047.25239556,15.858287642345,20.4555040067482,63.6862083509068,43.6701509872242,"AM",15.6339626644847
"42",42,42,"ITS-552919","Nephropsis ensirostris","LC",170086,"LC","Unknown",NA,NA,"LC","iucn","LOBSTERS",170086,"iucn",0,NA,7803077.9168752,3535681.57400567,4644546.55686604,4.84943292921392,40.4380132968322,54.7125537739539,10.7081174438687,"AM",15.8700288185514
"43",43,43,"ITS-552922","Nephropsis stewarti","LC",169974,"LC","Unknown",NA,NA,"LC","iucn","LOBSTERS",169974,"iucn",0,NA,17378930.2260684,9776909.74414967,8373101.38896301,4.50496745460774,51.4902363823227,44.0047961630695,9.28672316384181,"IUCN",16.6707691238972
"44",44,44,"ITS-552923","Nephropsis suhmi","LC",170032,"LC","Unknown",NA,NA,"LC","iucn","LOBSTERS",170032,"iucn",0,NA,14576659.0472033,8151152.11754986,7250663.67610554,5.53013725880247,47.9013328028645,46.568529938333,10.61473844979,"IUCN",16.4949321120044
"45",45,45,"ITS-552924","Nephropsis sulcata","LC",170092,"LC","Unknown",NA,NA,"LC","iucn","LOBSTERS",170092,"iucn",0,NA,12804404.3037738,7251376.03044304,6161590.65229623,4.78555304740406,49.5259593679458,45.6884875846501,9.48121645796064,"IUCN",16.3652997559381
"46",46,46,"ITS-552934","Metanephrops boschmai","LC",170050,"LC","Decreasing",NA,NA,"LC","iucn","LOBSTERS",170050,"iucn",0,-0.5,851925.15821339,211989.913633694,745586.232742428,12.1875,12.5,75.3125,49.3670886075949,"AM",13.6552539594805
"47",47,47,"ITS-552935","Metanephrops challengeri","LC",169972,"LC","Unknown",NA,NA,"LC","iucn","LOBSTERS",169972,"iucn",0,NA,1362162.89555203,741592.665802284,1212963.13217459,43.3898305084746,11.1864406779661,45.4237288135593,79.5031055900621,"AM",14.1245843587985
"48",48,48,"ITS-552945","Metanephrops velutinus","LC",170064,"LC","Unknown",NA,NA,"LC","iucn","LOBSTERS",170064,"iucn",0,NA,4482007.80986499,2710255.46670711,2193146.33911328,9.57654723127036,49.0553745928339,41.3680781758958,18.7979539641944,"IUCN",15.315581675837
"49",49,49,"ITS-552953","Jasus lalandii","LC",170072,"LC","Stable",NA,NA,"LC","iucn","LOBSTERS",170072,"iucn",0,0,431881.347308862,181430.929054567,405096.039010623,35.5828220858896,6.13496932515337,58.2822085889571,85.2941176470588,"AM",12.9759061704933
"50",50,50,"NZ-7290","Sagmariasus verreauxi","LC",170017,"LC","Unknown",NA,NA,"LC","iucn","LOBSTERS",170017,"iucn",0,NA,1061930.93899938,548635.075337798,1006415.07331412,46.4037122969838,4.87238979118329,48.7238979118329,90.4977375565611,"AM",13.8755994494787
"51",51,51,"ITS-552961","Linuparus sordidus","LC",170070,"LC","Unknown",NA,NA,"LC","iucn","LOBSTERS",170070,"iucn",0,NA,2137060.34145341,807870.175192363,1567231.1032412,11.0354223433243,25.7493188010899,63.2152588555858,30,"AM",14.5749417704274
"52",52,52,"ITS-552962","Linuparus trigonus","LC",170054,"LC","Unknown",NA,NA,"LC","iucn","LOBSTERS",170054,"iucn",0,NA,9153211.83340519,8334790.51914454,2218572.89636304,16.2946428571429,74.1390306122449,9.56632653061224,63.0086313193588,"IUCN",16.0296153957029
"53",53,53,"ITS-552965","Palinurus gilchristi","LC",169999,"LC","Increasing",NA,NA,"LC","iucn","LOBSTERS",169999,"iucn",0,0.5,481883.488483442,393723.421393827,253240.317945374,35.3260869565217,45.6521739130435,19.0217391304348,65,"IUCN",13.0854576386744
"54",54,54,"ITS-552966","Palinurus mauritanicus","LC",170035,"LC","Unknown",NA,NA,"LC","iucn","LOBSTERS",170035,"iucn",0,NA,2488906.70114863,1405502.05728029,2009574.56976384,36.9290573372206,20.019436345967,43.0515063168124,64.8464163822526,"AM",14.7273540961749
"55",55,55,"ITS-552973","Panulirus homarus","LC",170062,"LC","Unknown",NA,NA,"LC","iucn","LOBSTERS",170062,"iucn",0,NA,22534934.3476875,14688263.8438578,17326573.5573956,41.7665867306155,23.4079403144151,34.8254729549694,64.0842191332788,"AM",16.930577300754
"56",56,56,"ITS-552976","Panulirus longipes","LC",170066,"LC","Unknown",NA,NA,"LC","iucn","LOBSTERS",170066,"iucn",0,NA,17088484.6663734,15094720.241595,7200018.40733908,30.372191011236,57.935393258427,11.6924157303371,72.20367278798,"IUCN",16.6539153833064
"57",57,57,"ITS-552977","Panulirus ornatus","LC",169987,"LC","Stable",NA,NA,"LC","iucn","LOBSTERS",169987,"iucn",0,0,16406772.4812781,14894148.7776025,8431757.52879485,41.9741865115434,48.8820214506453,9.14379203781131,82.1123755334282,"IUCN",16.613204763727
"58",58,58,"ITS-552979","Panulirus polyphagus","LC",169990,"LC","Unknown",NA,NA,"LC","iucn","LOBSTERS",169990,"iucn",0,NA,8372702.49219794,7659637.00991805,3856322.74624412,37.5409239723536,53.9468897781011,8.51218624954529,81.5165876777251,"IUCN",15.9404872687504
"59",59,59,"ITS-552984","Projasus parkeri","LC",170042,"LC","Unknown",NA,NA,"LC","iucn","LOBSTERS",170042,"iucn",0,NA,1926257.16514643,1084741.52443268,902789.331010592,3.4106412005457,53.206002728513,43.3833560709413,7.28862973760933,"IUCN",14.4710893853481
"60",60,60,"ITS-552985","Puerulus angulatus","LC",170080,"LC","Unknown",NA,NA,"LC","iucn","LOBSTERS",170080,"iucn",0,NA,8171914.55915475,7246054.62928008,2081871.89474344,14.1651376146789,74.4954128440367,11.3394495412844,55.5395683453237,"IUCN",15.9162137795486
"61",61,61,"ITS-552987","Puerulus sewelli","LC",170011,"LC","Unknown",NA,NA,"LC","iucn","LOBSTERS",170011,"iucn",0,NA,1858502.07644201,1070387.77393356,1613641.64974229,44.6227929373997,13.0016051364366,42.3756019261637,77.4373259052925,"AM",14.4352813859865
"62",62,62,"ITS-552997","Arctides antipodarum","LC",170034,"LC","Unknown",NA,NA,"LC","iucn","LOBSTERS",170034,"iucn",0,NA,876869.008095545,182758.248149024,874370.639630524,21.6049382716049,0.308641975308642,78.0864197530864,98.5915492957747,"AM",13.6841128965674
"63",63,63,"ITS-553004","Scyllarides elisabethae","LC",170002,"LC","Unknown",NA,NA,"LC","iucn","LOBSTERS",170002,"iucn",0,NA,402401.352505684,297082.835730416,321366.798464013,54.2483660130719,19.6078431372549,26.1437908496732,73.4513274336283,"AM",12.9052052588596
"64",64,64,"ITS-553008","Evibacus princeps","LC",169969,"LC","Unknown",NA,NA,"LC","iucn","LOBSTERS",169969,"iucn",0,NA,1407074.34621975,783338.323861848,1319191.15629811,49.6842105263158,6.10526315789474,44.2105263157895,89.0566037735849,"AM",14.157023174942
"65",65,65,"ITS-553010","Ibacus brevipes","LC",170026,"LC","Unknown",NA,NA,"LC","iucn","LOBSTERS",170026,"iucn",0,NA,5747167.16206405,4427948.67802635,2317451.5914144,17.4234424498416,59.3453009503696,23.2312565997888,42.8571428571429,"IUCN",15.5642176239059
"66",66,66,"ITS-553013","Ibacus novemdentatus","LC",170023,"LC","Unknown",NA,NA,"LC","iucn","LOBSTERS",170023,"iucn",0,NA,13753484.2128046,10805842.7995993,5064038.07549748,16.0387513455328,62.3250807319699,21.6361679224973,42.5714285714286,"IUCN",16.4368027472721
"67",67,67,"ITS-553014","Ibacus peronii","LC",169984,"LC","Stable",NA,NA,"LC","iucn","LOBSTERS",169984,"iucn",0,0,1275299.83224002,896060.799123805,1226747.85473098,66.6003976143141,3.77733598409543,29.6222664015905,94.6327683615819,"AM",14.0586918714695
"68",68,68,"SLB-184956","Remiarctus bertholdii","LC",170004,"LC","Unknown",NA,NA,"LC","iucn","LOBSTERS",170004,"iucn",0,NA,9195538.71313337,7541349.28111699,6093684.95689868,48.5148514851485,33.4983498349835,17.986798679868,72.9528535980149,"IUCN",16.0342290019208
"69",69,69,"ITS-97309","Nephropsis aculeata","LC",169958,"LC","Unknown",NA,NA,"LC","iucn","LOBSTERS",169958,"iucn",0,NA,8134046.61016275,2680177.57023461,7776528.48470517,28.4609978917779,4.25158116654954,67.2874209416725,87.0032223415682,"AM",15.9115690957209
"70",70,70,"ITS-97310","Nephropsis agassizii","LC",170082,"LC","Unknown",NA,NA,"LC","iucn","LOBSTERS",170082,"iucn",0,NA,5363543.70835006,2956311.5182439,3841042.53987827,26.7536704730832,28.0043501903208,45.241979336596,48.857994041708,"AM",15.495135454208
"71",71,71,"ITS-97311","Nephropsis rosea","LC",169986,"LC","Unknown",NA,NA,"LC","iucn","LOBSTERS",169986,"iucn",0,NA,7596139.21755366,2583262.03983383,5924940.29279626,12.0243531202435,21.9558599695586,66.0197869101979,35.3863381858903,"AM",15.8431506784917
"72",72,72,"ITS-97312","Nephropsis neglecta","LC",169973,"LC","Unknown",NA,NA,"LC","iucn","LOBSTERS",169973,"iucn",0,NA,3551895.83754805,1255300.16341671,2758200.26377052,12.9382303839733,22.4540901502504,64.6076794657763,36.5566037735849,"AM",15.0829920576496
"73",73,73,"ITS-97314","Homarus americanus","LC",170009,"LC","Stable",NA,NA,"LC","iucn","LOBSTERS",170009,"iucn",0,0,1644402.15898494,1435925.72704903,1369690.25207272,69.6614583333333,17.3177083333333,13.0208333333333,84.251968503937,"IUCN",14.3128874469367
"74",74,74,"ITS-97315","Homarus gammarus","LC",169955,"LC","Stable",NA,NA,"LC","iucn","LOBSTERS",169955,"iucn",0,0,4886880.16929215,3192549.65727237,4716932.82571054,64.0862944162436,4.56852791878173,31.3451776649746,93.3456561922366,"AM",15.4020646556513
"75",75,75,"ITS-97317","Nephrops norvegicus","LC",169967,"LC","Stable",NA,NA,"LC","iucn","LOBSTERS",169967,"iucn",0,0,6549017.85396498,3949345.03163319,6147990.08147238,53.7844036697248,6.88073394495413,39.3348623853211,88.6578449905482,"AM",15.6948256504089
"76",76,76,"ITS-97319","Acanthacaris caeca","LC",170000,"LC","Unknown",NA,NA,"LC","iucn","LOBSTERS",170000,"iucn",0,NA,4640188.91858271,1832310.72995817,3484246.79304186,14.6540880503145,24.8427672955975,60.503144654088,37.1019108280255,"AM",15.3502656385854
"77",77,77,"ITS-97323","Metanephrops binghami","LC",170021,"LC","Unknown",NA,NA,"LC","iucn","LOBSTERS",170021,"iucn",0,NA,3285464.93766132,1598941.48498708,2027126.46088194,10.5026929982047,38.5098743267504,50.9874326750449,21.4285714285714,"AM",15.0050187334206
"78",78,78,"ITS-97651","Panulirus guttatus","LC",169988,"LC","Unknown",NA,NA,"LC","iucn","LOBSTERS",169988,"iucn",0,NA,2694586.62208142,1522949.58930129,2299718.70095693,41.7118093174431,15.0595882990249,43.228602383532,73.4732824427481,"AM",14.8067553635775
"79",79,79,"SLB-184857","Bathyarctus faxoni","LC",185077,"LC","Unknown",NA,NA,"LC","iucn","LOBSTERS",185077,"iucn",0,NA,4464583.43724201,2845927.21137273,2289677.78071182,14.9253731343284,48.7345879299156,36.340038935756,29.1139240506329,"IUCN",15.3116864728099
"80",80,80,"ITS-97673","Scyllarides nodifer","LC",170088,"LC","Unknown",NA,NA,"LC","iucn","LOBSTERS",170088,"iucn",0,NA,2350166.52196699,1261656.80848771,2046409.65277538,40.8066429418743,12.4555160142349,46.7378410438909,76.6146993318486,"AM",14.6699967440213
"81",81,81,"ITS-97676","Scyllarides aequinoctialis","LC",170075,"LC","Unknown",NA,NA,"LC","iucn","LOBSTERS",170075,"iucn",0,NA,5657405.63392808,3113499.01969526,5562009.34406961,53.6471805483704,1.75892395240559,44.593895499224,96.8253968253968,"AM",15.5484759765324
"82",82,82,"ITS-97682","Parribacus antarcticus","LC",170071,"LC","Unknown",NA,NA,"LC","iucn","LOBSTERS",170071,"iucn",0,NA,36041282.6069174,14647161.6092946,29051694.0226759,21.0828821324448,19.5251978342357,59.3919200333194,51.9179487179487,"AM",17.4001755784984
"83",83,83,"ITS-97688","Polycheles typhlops","LC",185026,"LC","Stable",NA,NA,"LC","iucn","LOBSTERS",185026,"iucn",0,0,65890883.732039,36957620.2846173,54081063.0818611,37.1481002627518,20.1276223047087,42.7242774325395,64.8583703487949,"AM",18.0035106550332
"84",84,84,"ITS-97696","Palinurellus gundlachi","LC",170015,"LC","Unknown",NA,NA,"LC","iucn","LOBSTERS",170015,"iucn",0,NA,1949648.69250238,1125685.56793885,1342940.95671117,26.8365817091454,30.8845577211394,42.2788605697151,46.4935064935065,"AM",14.4831597566185
"85",85,85,"Hyd-210726","Millepora alcicornis","LC",133144,"LC","Stable",NA,NA,"LC","iucn","CORALS3",133144,"iucn",0,0,5855798.75580178,4021035.059783,3319134.37005015,23.7642585551331,47.0057034220532,29.2300380228137,44.8430493273543,"IUCN",15.5829429685618
"86",86,86,"Hyd-287421","Millepora complanata","LC",133042,"LC","Stable",NA,NA,"LC","iucn","CORALS3",133042,"iucn",0,0,4978028.99225835,3622317.49963558,2556051.43914851,22.7756015668719,51.6508114157806,25.5735870173475,47.1064814814815,"IUCN",15.4205445859703
"87",87,87,"Hyd-210730","Millepora platyphylla","LC",133595,"LC","Unknown",NA,NA,"LC","iucn","CORALS3",133595,"iucn",0,NA,30437525.5104447,12543999.7260624,27304958.1437893,30.601200432943,10.8235757158319,58.575223851225,73.8717339667459,"AM",17.2311867969322
"88",88,88,"SLB-158806","Porites sillimaniana",NA,133118,"VU","Unknown",NA,NA,"VU","iucn","CORALS2",133118,"iucn",0.4,NA,17085058.2713677,10406794.9342743,12312504.0177661,32.6722153355764,28.4044625464849,38.9233221179387,53.4937663090751,"AM",16.6537148541999
"89",89,89,"URM-Cn-4841","Acropora tenuis","NT",133020,"NT","Decreasing",NA,NA,"NT","iucn","CORALS1",133020,"iucn",0.2,-0.5,28499072.301003,12211163.3211345,26601339.8257009,36.0932391097985,6.78198502267693,57.1247758675245,84.1820418204182,"AM",17.1653820938671
"90",90,90,"URM-Cn-6097","Astrangia poculata","LC",133446,"LC","Unknown",NA,NA,"LC","iucn","CORALS2",133446,"iucn",0,NA,2530477.83044304,490984.58394229,2300357.4368204,11.5124153498871,9.25507900677201,79.2325056433409,55.4347826086957,"AM",14.7439187086586
"91",91,91,"URM-Cn-5990","Seriatopora hystrix","LC",133390,"LC","Unknown",NA,NA,"LC","iucn","CORALS2",133390,"iucn",0,NA,27229353.4711108,8770767.79843918,25682389.5995232,26.2843224092117,5.87909654561559,67.8365810451727,81.7211703958692,"AM",17.119806121111
"92",92,92,"URM-Cn-5995","Stylophora pistillata","NT",133685,"NT","Unknown",NA,NA,"NT","iucn","CORALS2",133685,"iucn",0.2,NA,29274284.448661,14045099.2251889,26889576.1641109,39.6848137535817,8.49365534179288,51.8215309046255,82.3704333050128,"AM",17.1922200247466
"93",93,93,"URM-Cn-4833","Acropora squarrosa","LC",133402,"LC","Decreasing",NA,NA,"LC","iucn","CORALS1",133402,"iucn",0,-0.5,4549983.97236894,2089976.12643157,3987904.8199531,33.5071707953064,12.9074315514993,53.5853976531943,72.1910112359551,"AM",15.3306342683647
"94",94,94,"URM-Cn-4495","Heliopora coerulea","VU",133193,"VU","Decreasing",NA,NA,"VU","iucn","CORALS3",133193,"iucn",0.4,-0.5,28291240.9320946,8540475.11870223,26537446.9544161,23.8095238095238,6.57545869127161,69.6150174992046,78.3595113438045,"AM",17.1580628070062
"95",95,95,"SLB-184808","Isopora brueggemanni",NA,133182,"VU","Decreasing",NA,NA,"VU","iucn","CORALS1",133182,"iucn",0.4,-0.5,18807185.5170687,10373932.0897392,15012595.7647173,34.76443158064,20.4052098408104,44.8303585785496,63.013698630137,"AM",16.7497495631319
"96",96,96,"URM-Cn-6128","Coscinaraea mcneilli","LC",133077,"LC","Unknown",NA,NA,"LC","iucn","CORALS2",133077,"iucn",0,NA,1334027.32618058,876135.349088706,1241437.90396901,58.7209302325581,6.78294573643411,34.4961240310078,89.6449704142012,"AM",14.1037129896411
