sciname,obis_occ
Pocillopora inflata,39
Acropora halmaherae,18
Acropora cytherea,3681
Acropora monticulosa,232
Acropora horrida,413
Acropora solitaryensis,600
Acropora gemmifera,851
Cyphastrea chalcidicum,404
Acropora lovelli,84
Porites stephensoni,18
Oulophyllia bennettae,162
Acropora branchi,24
Merulina ampliata,750
Symphyllia wilsoni,55
Favites russelli,408
Podabacia sinai,1
Montipora tuberculosa,449
Acropora variolosa,50
Porites compressa,12353
Leptoseris mycetoseroides,1478
Acropora gomezi,NA
Acropora microclados,286
Pavona bipartita,8
Goniastrea edwardsi,1577
Acanthastrea lordhowensis,69
Porites profundus,67
Fungia distorta,137
Polyphyllia novaehiberniae,19
Montipora corbettensis,42
Acanthastrea ishigakiensis,49
Diploria clivosa,1398
Acropora convexa,1357
Acropora cervicornis,1522
Acanthastrea rotundoflora,7
Acropora globiceps,79
Favia laxa,143
Acropora teres,14
Porites porites,4413
Acropora desalwii,24
Pavona varians,7809
Eusmilia fastigiata,381
Acropora hoeksemai,89
Acropora squarrosa,53
Turbinaria stellulata,302
Caulastrea tumida,43
Psammocora haimeana,1420
Pocillopora eydouxi,2472
Coscinaraea wellsi,53
Montipora verruculosus,2
Pachyseris speciosa,722
Gyrosmilia interrupta,66
Goniastrea pectinata,1037
Anacropora puertogalerae,21
Montipora circumvallata,25
Caulastrea furcata,177
Lobophyllia hemprichii,958
Montipora grisea,335
Montipora capricornis,14
Fungia horrida,468
Coscinaraea columna,666
Echinopora horrida,259
Acropora spicifera,193
Montipora crassituberculata,179
Seriatopora dendritica,23
Fungia moluccensis,143
Agaricia tenuifolia,2545
Platygyra pini,751
Oxypora lacera,706
Montipora australiensis,8
Oculina valenciennesi,7
Montipora turtlensis,60
Montipora danae,277
Mussa angulosa,201
Hydnophora microconos,722
Montipora cocosensis,6
Platygyra daedalea,1399
Micromussa amakusensis,31
Symphyllia agaricia,233
Madracis asperula,487
Hydnophora exesa,964
Acropora hyacinthus,1958
Acropora chesterfieldensis,71
Acropora mirabilis,2
Anomastraea irregularis,35
Astreopora randalli,301
Pectinia africanus,30
Montipora delicatula,3
Porites rus,5352
Platygyra ryukyuensis,188
Acropora papillare,49
Galaxea horrescens,53
Caulastrea echinulata,17
Turbinaria peltata,480
Acropora kosurini,16
Psammocora superficialis,344
Porites furcata,879
Podabacia motuporensis,29
Oculina patagonica,2
Acropora anthocercis,298
Favia truncatus,74
Stephanocoenia intersepta,1523
Helioseris cucullata,88
Montipora monasteriata,212
Mussismilia harttii,99
Blastomussa merleti,67
Stylophora subseriata,34
Acropora verweyi,403
Pocillopora zelli,23
Agaricia agaricites,3442
Herpolitha limax,604
Porites brighami,561
Paraclavarina triangularis,14
Acropora yongei,598
Stylocoeniella armata,258
Lobophyllia corymbosa,478
Montipora spumosa,139
Acanthastrea brevis,41
Goniastrea palauensis,317
Montipora peltiformis,102
Isophyllastrea rigida,41
Scolymia australis,68
Favia favus,1005
Psammocora profundacella,344
Platygyra carnosus,35
Porites pukoensis,10
Cladocora arbuscula,195
Pavona diffluens,6
Oxypora crassispinosa,29
Porites divaricata,108
Sandalolitha dentata,39
Psammocora explanulata,44
Siderastrea savignyana,40
Isophyllia sinuosa,99
Acropora exquisita,5
Millepora platyphylla,248
Cantharellus doederleini,23
Montipora undata,234
Acropora arabensis,61
Symphyllia recta,480
Goniopora minor,349
Madracis senaria,5
Porites solida,294
Seriatopora guttatus,26
Lobophyllia diminuta,16
Acropora valenciennesi,444
Montipora capitata,20020
Erythrastrea flabellata,NA
Turbinaria mesenterina,561
Goniastrea retiformis,1830
Leptoseris gardineri,50
Pocillopora indiania,47
Favia maritima,401
Acropora pichoni,16
Acanthastrea hemprichii,109
Porites somaliensis,19
Montipora verrucosa,780
Acropora polystoma,180
Cyphastrea microphthalma,403
Acropora abrotanoides,646
Platygyra lamellina,631
Isopora cylindrica,NA
Favites chinensis,227
Acropora bifurcata,31
Stylophora kuehlmanni,6
Isopora cuneata,317
Galaxea fascicularis,3333
Goniastrea thecata,36
Acropora millepora,1357
Goniopora stokesi,93
Acropora efflorescens,3681
Fungia paumotensis,297
Montipora mollis,150
Psammocora vaughani,496
Heteropsammia cochlea,519
Porites astreoides,10208
Acropora subulata,479
Stylophora pistillata,1765
Leptoseris cailleti,16
Cyphastrea japonica,34
Sandalolitha robusta,305
Turbinaria reniformis,1612
Pavona duerdeni,2701
Orcaella heinsohni,NA
Cheilinus trilobatus,777
Canthigaster inframacula,6
Parenchelyurus hepburni,43
Scarus prasiognathos,47
Scarus festivus,29
Dentex barnardi,754
Xyrichtys martinicensis,512
Pseudolabrus luculentus,133
Scarus dubius,3213
Suezichthys bifurcatus,2
Pagrus auratus,80033
Hypleurochilus bananensis,24
Chromis alpha,52
Siphonognathus beddomei,29
Hemitaurichthys thompsoni,189
Apolemichthys kingi,23
Amphiprion sandaracinos,30
Acanthurus gahhm,61
Parablennius yatabei,15
Chromis punctipinnis,39
Dotalabrus alleni,19
Chromis pembae,22
Cirrhilabrus lineatus,13
Halichoeres ornatissimus,6252
Teixeirichthys jordani,62
Chrysiptera flavipinnis,212
Entomacrodus macrospilus,NA
Scomberomorus queenslandicus,1194
Ecsenius trilineatus,23
Thalassoma lucasanum,720
Scarus oviceps,1808
Scarus viridifucatus,27
Parablennius zvonimiri,22
Coris caudimacula,292
Parablennius parvicornis,47
Labroides phthirophagus,1621
Salarias ceramensis,18
Cirrhilabrus rubripinnis,3
Crossosalarias macrospilus,92
Halichoeres notospilus,339
Torquigener tuberculiferus,248
Centropyge acanthops,106
Sarda sarda,2045
Chromis flavicauda,6
Omobranchus anolius,96
Omobranchus rotundiceps,105
Naso vlamingii,795
Anampses melanurus,69
Calamus cervigoni,2
Cirripectes filamentosus,240
Coradion melanopus,3
Cirripectes alleni,2
Chaetodon sedentarius,1183
Halichoeres papilionaceus,30
Halichoeres binotopsis,15
Dentex congoensis,1092
Pseudojuloides kaleidos,NA
Thunnus atlanticus,9211
Scarus schlegeli,2467
Centropyge loricula,2562
Canthigaster leoparda,1
Pseudocheilinus ocellatus,10
Salarias sinuosus,68
Chaetodon falcula,74
Heniochus pleurotaenia,10
Chaetodon larvatus,12
Chaetodon leucopleura,31
Chaetodon ocellatus,2502
Chaetodon zanzibarensis,55
Prognathodes brasiliensis,2
Roa jayakari,3
Chaetodon mertensii,225
Chelmon marginalis,387
Chaetodon mesoleucos,NA
Chaetodon guttatissimus,195
Chaetodon burgessi,9
Prognathodes aya,76
Heniochus singularius,72
Chaetodon octofasciatus,201
Chaetodon triangulum,90
Chaetodon paucifasciatus,13
Heniochus acuminatus,598
Prognathodes aculeatus,196
Chaetodon kleinii,1944
Chaetodon vagabundus,2121
Chaetodon auriga,2967
Chaetodon punctatofasciatus,996
Johnrandallia nigrirostris,457
Chaetodon austriacus,24
Chaetodon humeralis,498
Chaetodon nippon,3
Chaetodon striatus,1466
Chaetodon meyeri,409
Roa excelsa,1
Heniochus chrysostomus,404
Chaetodon ornatissimus,2300
Chaetodon madagaskariensis,93
Chaetodon selene,11
Prognathodes guyanensis,13
Chaetodon decussatus,27
Chaetodon gardineri,13
Heniochus monoceros,140
Chaetodon lunula,1219
Heniochus varius,180
Chaetodon pelewensis,1812
Chaetodon dolosus,74
Chaetodon multicinctus,1508
Chaetodon xanthurus,52
Chaetodon plebeius,1939
Chelmon rostratus,1406
Chelmon muelleri,87
Parachaetodon ocellatus,1115
Chaetodon fremblii,1058
Chaetodon argentatus,30
Chaetodon oxycephalus,10
Chaetodon ulietensis,752
Chaetodon mitratus,17
Forcipiger longirostris,427
Chaetodon citrinellus,2184
Chaetodon lineolatus,1358
Chaetodon semilarvatus,15
Chaetodon xanthocephalus,86
Hemitaurichthys polylepis,328
Chaetodon trifasciatus,3440
Prognathodes marcellae,711
Chaetodon smithi,8
Chaetodon ocellicaudus,10
Roa modestus,NA
Chaetodon quadrimaculatus,973
Chaetodon trichrous,4
Chaetodon rafflesii,400
Chaetodon ephippium,1295
Amphichaetodon howensis,45
Heniochus diphreutes,312
Chaetodon interruptus,39
Chaetodon wiebeli,50
Chaetodon bennetti,128
Chaetodon tricinctus,15
Chaetodon flavirostris,949
Chaetodon melannotus,2154
Heniochus intermedius,34
Chaetodon baronessa,1974
Chaetodon auripes,78
Chaetodon speculum,576
Chaetodon capistratus,4610
Chaetodon nigropunctatus,11
Coradion altivelis,167
Chaetodon tinkeri,3
Chaetodon hoefleri,1101
Prognathodes falcifer,17
Coradion chrysozonus,876
Chaetodon aureofasciatus,1788
Chaetodon lunulatus,676
Chaetodon fasciatus,50
Chelmonops curiosus,18
Chaetodon andamanensis,4
Chaetodon blackburnii,131
Chaetodon assarius,42
Chaetodon adiergastos,16
Chaetodon trifascialis,2781
Chaetodon reticulatus,1735
Chaetodon unimaculatus,1355
Forcipiger flavissimus,2449
Chaetodon rainfordi,2728
Chaetodon guentheri,52
Hemitaurichthys zoster,52
Chelmonops truncatus,123
Chaetodon miliaris,1637
Chaetodon collare,59
Chaetodon melapterus,14
Chaetodon semeion,63
Chaetodon dialeucos,6
Amphichaetodon melbae,7
Apolemichthys griffisi,42
Holacanthus africanus,679
Chaetodontoplus chrysocephalus,3
Centropyge fisheri,159
Pomacanthus xanthometopon,33
Centropyge hotumatua,4
Pomacanthus chrysurus,28
Holacanthus bermudensis,2428
Pomacanthus maculosus,63
Apolemichthys arcuatus,142
Apolemichthys trimaculatus,257
Centropyge argi,137
Centropyge colini,NA
Pomacanthus asfur,27
Pomacanthus sexstriatus,241
Apolemichthys xanthopunctatus,151
Pomacanthus rhomboides,102
Genicanthus melanospilos,36
Apolemichthys xanthurus,32
Genicanthus caudovittatus,26
Genicanthus spinus,2
Chaetodontoplus ballinae,7
Centropyge heraldi,278
Centropyge ferrugata,29
Chaetodontoplus melanosoma,15
Pomacanthus semicirculatus,356
Paracentropyge multifasciata,29
Apolemichthys xanthotis,20
Centropyge debelius,8
Centropyge eibli,50
Genicanthus semifasciatus,23
Chaetodontoplus duboulayi,887
Centropyge interruptus,9
Centropyge vrolikii,380
Pomacanthus imperator,1073
Genicanthus bellus,6
Centropyge aurantonotus,7
Pomacanthus navarchus,14
Centropyge nox,70
Chaetodontoplus conspicillatus,11
Centropyge bispinosa,1072
Genicanthus watanabei,30
Pomacanthus annularis,119
Genicanthus personatus,105
Centropyge multispinis,489
Centropyge flavissima,5020
Holacanthus tricolor,1863
Holacanthus passer,651
Chaetodontoplus personifer,811
Chaetodontoplus septentrionalis,41
Holacanthus ciliaris,1649
Chaetodontoplus mesoleucus,86
Pygoplites diacanthus,1053
Pomacanthus arcuatus,2710
Genicanthus lamarck,44
Pomacanthus zonipectus,253
Centropyge joculator,8
Chaetodontoplus meredithi,135
Centropyge aurantia,12
Centropyge flavipectoralis,NA
Centropyge multicolor,7
Centropyge nigriocellus,4
Pomacanthus paru,1270
Centropyge potteri,2945
Centropyge venusta,17
Centropyge tibicen,187
Centropyge bicolor,351
Chromis cyanea,2260
Megalops cyprinoides,311
Chaetodontoplus poliourus,3
Centropyge abei,1
Jasus frontalis,8
Scyllarus arctus,98
Panulirus penicillatus,10935
Scyllarides haanii,36
Homarus gammarus,5494
Thymopides grobovi,1
Nephropsis aculeata,313
Ibacus brucei,24
Acanthacaris tenuimana,9
Metanephrops mozambicus,3
Panulirus echinatus,17
Metanephrops australiensis,118
Panulirus interruptus,41
Nephrops norvegicus,24380
Panulirus versicolor,43
Evibacus princeps,16
Metanephrops challengeri,34182
Nephropsis neglecta,5
Nephropsis stewarti,68
Panulirus argus,334
Scammarctus batei,115
Thenus orientalis,62
Eunephrops manningi,3
Ibacus peronii,453
Nephropsis acanthura,40
Nephropsis rosea,192
Panulirus ornatus,22
Panulirus guttatus,31
Petrarctus brevicornis,76
Panulirus polyphagus,19
Scyllarides tridacnophaga,4
Parribacus holthuisi,NA
Parribacus caledonicus,5
Palinurus gilchristi,699
Acanthacaris caeca,128
Scyllarides elisabethae,150
Remiarctus bertholdii,334
Nupalirus japonicus,6
Panulirus japonicus,8
Puerulus carinatus,4
Scyllarides squammosus,63
Homarus americanus,551467
Palinurus delagoae,12
Puerulus sewelli,15
Parribacus japonicus,NA
Panulirus laevicauda,52
Palinurellus gundlachi,24
Puerulus velutinus,5
Sagmariasus verreauxi,260
Nephropsis occidentalis,5
Metanephrops binghami,56
Ibacus novemdentatus,22
Thymopsis nilenta,8
Jasus edwardsii,213685
Ibacus brevipes,29
Scyllarides herklotsii,67
Palinustus truncatus,1
Scyllarides delfosi,4
Nephropsis suhmi,41
Palibythus magnificus,NA
Arctides antipodarum,10
Palinurus mauritanicus,1002
Metanephrops japonicus,1
Eduarctus martensii,350
Thymops birsteini,12
Metanephrops formosanus,NA
Panulirus stimpsoni,NA
Projasus parkeri,18
Nephropsis atlantica,38
Palinustus mossamicus,NA
Palinustus waguensis,1
Palinurellus wieneckii,2
Metanephrops boschmai,56
Projasus bahamondei,37
Arctides guineensis,1
Metanephrops sibogae,11
Linuparus trigonus,44
Petrarctus rugosus,40
Scyllarus pygmaeus,26
Parribacus scarlatinus,4
Nephropides caribaeus,27
Panulirus gracilis,6969
Panulirus homarus,31
Arctides regalis,5
Metanephrops velutinus,125
Linuparus somniosus,4
Panulirus longipes,19
Neoglyphea inopinata,14
Linuparus sordidus,38
Parribacus antarcticus,41
Jasus lalandii,632
Panulirus cygnus,6
Scyllarides aequinoctialis,44
Metanephrops thomsoni,64
Puerulus angulatus,140
Ibacus ciliatus,23
Nephropsis agassizii,63
Eunephrops bairdii,15
Nephropsis ensirostris,18
Ibacus alticrenatus,738
Scyllarides nodifer,135
Metanephrops neptunus,15
Nephropsis sulcata,35
Eunephrops cadenasi,10
Panulirus regius,72
Thaumastocheles zaleucus,48
Thaumastocheles japonicus,5
Justitia longimanus,15
Scomber japonicus,26733
Grammatorcynus bicarinatus,157
Kajikia audax,8266
Katsuwonus pelamis,100606
Scomberomorus guttatus,66
Istiompax indica,1
Sarda orientalis,1217
Makaira nigricans,6404
Tetrapturus angustirostris,815
Scomberomorus commerson,15577
Rastrelliger brachysoma,94
Orcynopsis unicolor,458
Euthynnus lineatus,274
Cybiosarda elegans,42
Kajikia albida,20
Scomberomorus maculatus,4322
Rastrelliger faughni,24
Scomberomorus sierra,497
Scomberomorus tritor,842
Scomberomorus regalis,518
Rastrelliger kanagurta,1085
Scomber australasicus,2843
Scomberomorus munroi,451
Acanthocybium solandri,51694
Sarda australis,190
Tetrapturus georgii,129
Tetrapturus belone,26
Scomberomorus brasiliensis,43
Euthynnus affinis,3560
Scomberomorus semifasciatus,340
Istiophorus platypterus,2377
Scomberomorus cavalla,2584
Gasterochisma melampus,57
Thunnus orientalis,9828
Gymnosarda unicolor,230
Scomberomorus koreanus,8
Auxis thazard,11390
Euthynnus alletteratus,2805
Scomberomorus sinensis,2
Scomberomorus plurilineatus,1614
Allothunnus fallai,229
Thunnus tonggol,205
Sarda chiliensis,49
Scomberomorus lineolatus,187
Scomber scombrus,119016
Auxis rochei,5628
Scomberomorus niphonius,30
Scomber colias,1262
Grammatorcynus bilineatus,38
Aipysurus laevis,22
Astrotia stokesii,8
Hydrophis caerulescens,NA
Hydrophis spiralis,5
Enhydrina schistosa,20
Emydocephalus annulatus,5
Hydrophis cyanocinctus,4
Hydrophis major,NA
Hydrophis czeblukovi,NA
Hydrophis elegans,28
Hydrophis ornatus,34
Pelamis platura,23
Hydrophis coggeri,1
Lapemis curtus,12
Aipysurus duboisii,17
Laticauda colubrina,43
Acalyptophis peronii,8
Aipysurus eydouxii,NA
Acrochordus granulatus,4
