am_sid,sciname,am_class,iucn_sid,sciname_iucn,iucn_class,class
Fis-22935,Pomatomus saltatrix,Actinopterygii,NA,NA,NA,Actinopterygii
Fis-27323,Pomatoschistus lozanoi,Actinopterygii,NA,NA,NA,Actinopterygii
Fis-27324,Pomatoschistus marmoratus,Actinopterygii,NA,NA,NA,Actinopterygii
Fis-23736,Pomatoschistus microps,Actinopterygii,NA,NA,NA,Actinopterygii
Fis-23737,Pomatoschistus minutus,Actinopterygii,NA,NA,NA,Actinopterygii
Fis-23738,Pomatoschistus norvegicus,Actinopterygii,NA,NA,NA,Actinopterygii
Fis-23739,Pomatoschistus pictus,Actinopterygii,NA,NA,NA,Actinopterygii
Fis-31183,Pontinus accraensis,Actinopterygii,NA,NA,NA,Actinopterygii
Fis-30510,Pontinus castor,Actinopterygii,NA,NA,NA,Actinopterygii
Fis-35764,Pontinus furcirhinus,Actinopterygii,NA,NA,NA,Actinopterygii
Fis-25420,Pontinus kuhlii,Actinopterygii,NA,NA,NA,Actinopterygii
Fis-51146,Pontinus leda,Actinopterygii,NA,NA,NA,Actinopterygii
Fis-30511,Pontinus longispinis,Actinopterygii,NA,NA,NA,Actinopterygii
Fis-26943,Pontinus macrocephalus,Actinopterygii,NA,NA,NA,Actinopterygii
Fis-24917,Pontinus nematophthalmus,Actinopterygii,NA,NA,NA,Actinopterygii
Fis-30512,Pontinus rathbuni,Actinopterygii,NA,NA,NA,Actinopterygii
Fis-138739,Pontinus rhodochrous,Actinopterygii,NA,NA,NA,Actinopterygii
Fis-145374,Pontinus strigatus,Actinopterygii,NA,NA,NA,Actinopterygii
Fis-134998,Pontinus tentacularis,Actinopterygii,NA,NA,NA,Actinopterygii
Fis-35575,Porichthys analis,Actinopterygii,NA,NA,NA,Actinopterygii
Fis-64566,Porichthys bathoiketes,Actinopterygii,NA,NA,NA,Actinopterygii
Fis-35576,Porichthys ephippiatus,Actinopterygii,NA,NA,NA,Actinopterygii
Fis-26911,Porichthys margaritatus,Actinopterygii,NA,NA,NA,Actinopterygii
Fis-30513,Porichthys myriaster,Actinopterygii,NA,NA,NA,Actinopterygii
Fis-30514,Porichthys notatus,Actinopterygii,NA,NA,NA,Actinopterygii
Fis-123132,Porichthys pauciradiatus,Actinopterygii,NA,NA,NA,Actinopterygii
Fis-30515,Porichthys plectrodon,Actinopterygii,NA,NA,NA,Actinopterygii
Fis-28689,Porichthys porosissimus,Actinopterygii,NA,NA,NA,Actinopterygii
Fis-30516,Poroclinus rothrocki,Actinopterygii,NA,NA,NA,Actinopterygii
Fis-138760,Porocottus camtschaticus,Actinopterygii,NA,NA,NA,Actinopterygii
Fis-150557,Porocottus mednius,Actinopterygii,NA,NA,NA,Actinopterygii
Fis-23220,Poroderma africanum,Elasmobranchii,NA,NA,NA,Elasmobranchii
Fis-23221,Poroderma pantherinum,Elasmobranchii,NA,NA,NA,Elasmobranchii
Fis-50204,Porogadus miles,Actinopterygii,NA,NA,NA,Actinopterygii
Fis-27590,Porogobius schlegelii,Actinopterygii,NA,NA,NA,Actinopterygii
Fis-51007,Poromitra capito,Actinopterygii,NA,NA,NA,Actinopterygii
Fis-25469,Poromitra crassiceps,Actinopterygii,NA,NA,NA,Actinopterygii
Fis-163753,Poromitra curilensis,Actinopterygii,NA,NA,NA,Actinopterygii
Fis-164216,Poromitra macrophthalma,Actinopterygii,NA,NA,NA,Actinopterygii
Fis-50305,Poromitra megalops,Actinopterygii,NA,NA,NA,Actinopterygii
Fis-47814,Poromitra oscitans,Actinopterygii,NA,NA,NA,Actinopterygii
Fis-145453,Praealticus bilineatus,Actinopterygii,48342217,Praealticus bilineatus,Actinopterygii,Actinopterygii
Fis-145465,Praealticus striatus,Actinopterygii,48342289,Praealticus striatus,Actinopterygii,Actinopterygii
Fis-54335,Praealticus tanegasimae,Actinopterygii,48342316,Praealticus tanegasimae,Actinopterygii,Actinopterygii
Fis-26229,Premnas biaculeatus,Actinopterygii,NA,NA,NA,Actinopterygii
Fis-33714,Priacanthus alalaua,Actinopterygii,NA,NA,NA,Actinopterygii
Fis-30518,Priacanthus arenatus,Actinopterygii,NA,NA,NA,Actinopterygii
Fis-33716,Priacanthus fitchi,Actinopterygii,NA,NA,NA,Actinopterygii
Fis-25818,Priacanthus hamrur,Actinopterygii,NA,NA,NA,Actinopterygii
Fis-29483,Priacanthus macracanthus,Actinopterygii,NA,NA,NA,Actinopterygii
Fis-32526,Priacanthus meeki,Actinopterygii,NA,NA,NA,Actinopterygii
Fis-33719,Priacanthus prolixus,Actinopterygii,NA,NA,NA,Actinopterygii
Fis-31051,Priacanthus tayenus,Actinopterygii,NA,NA,NA,Actinopterygii
Fis-33721,Priacanthus zaiserae,Actinopterygii,NA,NA,NA,Actinopterygii
Fis-138811,Priolepis aureoviridis,Actinopterygii,NA,NA,NA,Actinopterygii
Fis-57976,Priolepis cincta,Actinopterygii,NA,NA,NA,Actinopterygii
Fis-59819,Priolepis compita,Actinopterygii,NA,NA,NA,Actinopterygii
Fis-32836,Priolepis fallacincta,Actinopterygii,NA,NA,NA,Actinopterygii
Fis-24926,Priolepis hipoliti,Actinopterygii,NA,NA,NA,Actinopterygii
Fis-26813,Priolepis inhaca,Actinopterygii,NA,NA,NA,Actinopterygii
Fis-62183,Priolepis kappa,Actinopterygii,NA,NA,NA,Actinopterygii
Fis-58238,Priolepis nocturna,Actinopterygii,NA,NA,NA,Actinopterygii
Fis-127145,Priolepis nuchifasciata,Actinopterygii,NA,NA,NA,Actinopterygii
Fis-138850,Priolepis pallidicincta,Actinopterygii,NA,NA,NA,Actinopterygii
Fis-145729,Priolepis profunda,Actinopterygii,NA,NA,NA,Actinopterygii
Fis-57981,Priolepis semidoliata,Actinopterygii,NA,NA,NA,Actinopterygii
Fis-144971,Priolepis triops,Actinopterygii,NA,NA,NA,Actinopterygii
Fis-144745,Priolepis vexilla,Actinopterygii,NA,NA,NA,Actinopterygii
Fis-23222,Prionace glauca,Elasmobranchii,NA,NA,NA,Elasmobranchii
Fis-32190,Prionodraco evansii,Actinopterygii,NA,NA,NA,Actinopterygii
Fis-30869,Prionotus alatus,Actinopterygii,NA,NA,NA,Actinopterygii
Fis-35785,Prionotus albirostris,Actinopterygii,NA,NA,NA,Actinopterygii
Fis-112580,Prionotus beanii,Actinopterygii,NA,NA,NA,Actinopterygii
Fis-35786,Prionotus birostratus,Actinopterygii,NA,NA,NA,Actinopterygii
Fis-23743,Prionotus carolinus,Actinopterygii,NA,NA,NA,Actinopterygii
Fis-23744,Prionotus evolans,Actinopterygii,NA,NA,NA,Actinopterygii
Fis-35787,Prionotus horrens,Actinopterygii,NA,NA,NA,Actinopterygii
Fis-30875,Prionotus longispinosus,Actinopterygii,NA,NA,NA,Actinopterygii
Fis-30870,Prionotus martis,Actinopterygii,NA,NA,NA,Actinopterygii
Fis-35407,Prionotus miles,Actinopterygii,NA,NA,NA,Actinopterygii
Fis-35708,Prionotus nudigula,Actinopterygii,NA,NA,NA,Actinopterygii
Fis-30871,Prionotus ophryas,Actinopterygii,NA,NA,NA,Actinopterygii
Fis-30872,Prionotus paralatus,Actinopterygii,NA,NA,NA,Actinopterygii
Fis-23745,Prionotus punctatus,Actinopterygii,NA,NA,NA,Actinopterygii
Fis-30873,Prionotus roseus,Actinopterygii,NA,NA,NA,Actinopterygii
Fis-30874,Prionotus rubio,Actinopterygii,NA,NA,NA,Actinopterygii
Fis-35788,Prionotus ruscarius,Actinopterygii,NA,NA,NA,Actinopterygii
Fis-30876,Prionotus scitulus,Actinopterygii,NA,NA,NA,Actinopterygii
Fis-30877,Prionotus stearnsi,Actinopterygii,NA,NA,NA,Actinopterygii
Fis-30878,Prionotus stephanophrys,Actinopterygii,NA,NA,NA,Actinopterygii
Fis-30879,Prionotus tribulus,Actinopterygii,NA,NA,NA,Actinopterygii
Fis-35548,Prionurus laticlavius,Actinopterygii,183310,Prionurus laticlavius,Actinopterygii,Actinopterygii
Fis-35281,Prionurus maculatus,Actinopterygii,178025,Prionurus maculatus,Actinopterygii,Actinopterygii
Fis-35282,Prionurus microlepidotus,Actinopterygii,178016,Prionurus microlepidotus,Actinopterygii,Actinopterygii
Fis-35549,Prionurus punctatus,Actinopterygii,183646,Prionurus punctatus,Actinopterygii,Actinopterygii
Fis-121230,Prionurus scalprum,Actinopterygii,177952,Prionurus scalprum,Actinopterygii,Actinopterygii
Fis-167056,Pristiapogon abrogramma,Actinopterygii,NA,NA,NA,Actinopterygii
Fis-167057,Pristiapogon exostigma,Actinopterygii,NA,NA,NA,Actinopterygii
Fis-59138,Pristiapogon fraenatus,Actinopterygii,NA,NA,NA,Actinopterygii
Fis-165217,Pristiapogon kallopterus,Actinopterygii,NA,NA,NA,Actinopterygii
Fis-136117,Pristiapogon taeniopterus,Actinopterygii,NA,NA,NA,Actinopterygii
Fis-167321,Pristicon rhodopterus,Actinopterygii,NA,NA,NA,Actinopterygii
Fis-167322,Pristicon rufus,Actinopterygii,NA,NA,NA,Actinopterygii
Fis-167058,Pristicon trimaculatus,Actinopterygii,NA,NA,NA,Actinopterygii
Fis-24918,Pristigenys alta,Actinopterygii,NA,NA,NA,Actinopterygii
Fis-27534,Pristigenys meyeri,Actinopterygii,NA,NA,NA,Actinopterygii
Fis-168718,Pristigenys refulgens,Actinopterygii,NA,NA,NA,Actinopterygii
Fis-24919,Pristigenys serrula,Actinopterygii,NA,NA,NA,Actinopterygii
Fis-28613,Pristilepis oligolepis,Actinopterygii,NA,NA,NA,Actinopterygii
Fis-23223,Pristiophorus cirratus,Elasmobranchii,NA,NA,NA,Elasmobranchii
Fis-29484,Pristiophorus japonicus,Elasmobranchii,NA,NA,NA,Elasmobranchii
Fis-29485,Pristiophorus nudipinnis,Elasmobranchii,NA,NA,NA,Elasmobranchii
Fis-29486,Pristiophorus schroederi,Elasmobranchii,NA,NA,NA,Elasmobranchii
Fis-22810,Pristipomoides aquilonaris,Actinopterygii,NA,NA,NA,Actinopterygii
Fis-22811,Pristipomoides argyrogrammicus,Actinopterygii,NA,NA,NA,Actinopterygii
Fis-22936,Pristipomoides auricilla,Actinopterygii,NA,NA,NA,Actinopterygii
Fis-22937,Pristipomoides filamentosus,Actinopterygii,NA,NA,NA,Actinopterygii
Fis-29487,Pristipomoides flavipinnis,Actinopterygii,NA,NA,NA,Actinopterygii
Fis-22221,Pristipomoides freemani,Actinopterygii,NA,NA,NA,Actinopterygii
Fis-22938,Pristipomoides macrophthalmus,Actinopterygii,NA,NA,NA,Actinopterygii
Fis-22940,Pristipomoides sieboldii,Actinopterygii,NA,NA,NA,Actinopterygii
Fis-29488,Pristipomoides typus,Actinopterygii,NA,NA,NA,Actinopterygii
Fis-22941,Pristipomoides zonatus,Actinopterygii,NA,NA,NA,Actinopterygii
Fis-30521,Pristis microdon,Elasmobranchii,NA,NA,NA,Elasmobranchii
Fis-47467,Pristis pectinata,Elasmobranchii,NA,NA,NA,Elasmobranchii
Fis-27224,Pristis pristis,Elasmobranchii,NA,NA,NA,Elasmobranchii
Fis-32599,Pristis zijsron,Elasmobranchii,NA,NA,NA,Elasmobranchii
Fis-128251,Pristotis obtusirostris,Actinopterygii,NA,NA,NA,Actinopterygii
Fis-148575,Prognathodes aculeatus,Actinopterygii,165627,Prognathodes aculeatus,Actinopterygii,Actinopterygii
Fis-148569,Prognathodes aya,Actinopterygii,165621,Prognathodes aya,Actinopterygii,Actinopterygii
Fis-138631,Prognathodes falcifer,Actinopterygii,165701,Prognathodes falcifer,Actinopterygii,Actinopterygii
Fis-148570,Prognathodes guyanensis,Actinopterygii,165646,Prognathodes guyanensis,Actinopterygii,Actinopterygii
Fis-25458,Prognathodes marcellae,Actinopterygii,165674,Prognathodes marcellae,Actinopterygii,Actinopterygii
Fis-47340,Prognichthys brevipinnis,Actinopterygii,NA,NA,NA,Actinopterygii
Fis-23746,Prognichthys gibbifrons,Actinopterygii,NA,NA,NA,Actinopterygii
Fis-148863,Prognichthys occidentalis,Actinopterygii,NA,NA,NA,Actinopterygii
Fis-31244,Prognichthys sealei,Actinopterygii,NA,NA,NA,Actinopterygii
Fis-35610,Prognichthys tringa,Actinopterygii,NA,NA,NA,Actinopterygii
Fis-28685,Prolatilus jugularis,Actinopterygii,NA,NA,NA,Actinopterygii
Fis-25421,Promethichthys prometheus,Actinopterygii,NA,NA,NA,Actinopterygii
Fis-35801,Pronotogrammus eos,Actinopterygii,NA,NA,NA,Actinopterygii
Fis-148253,Pronotogrammus martinicensis,Actinopterygii,NA,NA,NA,Actinopterygii
Fis-29645,Pronotogrammus multifasciatus,Actinopterygii,NA,NA,NA,Actinopterygii
Fis-31586,Proscyllium habereri,Elasmobranchii,NA,NA,NA,Elasmobranchii
Fis-133385,Protemblemaria bicirrus,Actinopterygii,NA,NA,NA,Actinopterygii
Fis-28309,Proterorhinus marmoratus,Actinopterygii,NA,NA,NA,Actinopterygii
Fis-32124,Protomyctophum andriashevi,Actinopterygii,NA,NA,NA,Actinopterygii
Fis-63149,Protomyctophum arcticum,Actinopterygii,NA,NA,NA,Actinopterygii
Fis-32348,Protomyctophum beckeri,Actinopterygii,NA,NA,NA,Actinopterygii
Fis-26370,Protomyctophum bolini,Actinopterygii,NA,NA,NA,Actinopterygii
Fis-32125,Protomyctophum choriodon,Actinopterygii,NA,NA,NA,Actinopterygii
Fis-24300,Protomyctophum crockeri,Actinopterygii,NA,NA,NA,Actinopterygii
Fis-26371,Protomyctophum normani,Actinopterygii,NA,NA,NA,Actinopterygii
Fis-26369,Protomyctophum parallelum,Actinopterygii,NA,NA,NA,Actinopterygii
Fis-50175,Protomyctophum subparallelum,Actinopterygii,NA,NA,NA,Actinopterygii
Fis-26372,Protomyctophum tenisoni,Actinopterygii,NA,NA,NA,Actinopterygii
Fis-52868,Protomyctophum thompsoni,Actinopterygii,NA,NA,NA,Actinopterygii
Fis-25193,Protonibea diacanthus,Actinopterygii,NA,NA,NA,Actinopterygii
Fis-153570,Protosciaena bathytatos,Actinopterygii,NA,NA,NA,Actinopterygii
Fis-49795,Protosciaena trewavasae,Actinopterygii,NA,NA,NA,Actinopterygii
Fis-132505,Psammobatis bergi,Elasmobranchii,NA,NA,NA,Elasmobranchii
Fis-132506,Psammobatis extenta,Elasmobranchii,NA,NA,NA,Elasmobranchii
Fis-131997,Psammobatis lentiginosa,Elasmobranchii,NA,NA,NA,Elasmobranchii
Fis-132516,Psammobatis normani,Elasmobranchii,NA,NA,NA,Elasmobranchii
Fis-132008,Psammobatis rudis,Elasmobranchii,NA,NA,NA,Elasmobranchii
Fis-132504,Psammobatis rutrum,Elasmobranchii,NA,NA,NA,Elasmobranchii
Fis-131759,Psammobatis scobina,Elasmobranchii,NA,NA,NA,Elasmobranchii
Fis-34257,Psammodiscus ocellatus,Actinopterygii,NA,NA,NA,Actinopterygii
Fis-152317,Psammogobius biocellatus,Actinopterygii,NA,NA,NA,Actinopterygii
Fis-26907,Psammoperca waigiensis,Actinopterygii,NA,NA,NA,Actinopterygii
Fis-33860,Psenes arafurensis,Actinopterygii,NA,NA,NA,Actinopterygii
Fis-30523,Psenes cyanophrys,Actinopterygii,NA,NA,NA,Actinopterygii
Fis-30524,Psenes maculatus,Actinopterygii,NA,NA,NA,Actinopterygii
Fis-30525,Psenes pellucidus,Actinopterygii,NA,NA,NA,Actinopterygii
Fis-23224,Psenopsis anomala,Actinopterygii,NA,NA,NA,Actinopterygii
Fis-29100,Psenopsis cyanea,Actinopterygii,NA,NA,NA,Actinopterygii
Fis-148498,Psenopsis humerosa,Actinopterygii,NA,NA,NA,Actinopterygii
Fis-32469,Psenopsis obscura,Actinopterygii,NA,NA,NA,Actinopterygii
Fis-30880,Psettichthys melanostictus,Actinopterygii,NA,NA,NA,Actinopterygii
Fis-32749,Psettina gigantea,Actinopterygii,NA,NA,NA,Actinopterygii
Fis-28549,Psettina iijimae,Actinopterygii,NA,NA,NA,Actinopterygii
Fis-55077,Psettina tosana,Actinopterygii,NA,NA,NA,Actinopterygii
Fis-47588,Psettina variegata,Actinopterygii,NA,NA,NA,Actinopterygii
Fis-30991,Psettodes belcheri,Actinopterygii,NA,NA,NA,Actinopterygii
Fis-31226,Psettodes bennettii,Actinopterygii,NA,NA,NA,Actinopterygii
Fis-23225,Psettodes erumei,Actinopterygii,NA,NA,NA,Actinopterygii
Fis-27243,Pseudaesopia japonica,Actinopterygii,NA,NA,NA,Actinopterygii
Fis-26789,Pseudalutarius nasicornis,Actinopterygii,NA,NA,NA,Actinopterygii
Fis-25084,Pseudamia amblyuroptera,Actinopterygii,NA,NA,NA,Actinopterygii
Fis-30933,Pseudamia gelatinosa,Actinopterygii,NA,NA,NA,Actinopterygii
Fis-30934,Pseudamia hayashii,Actinopterygii,NA,NA,NA,Actinopterygii
Fis-30936,Pseudamia zonata,Actinopterygii,NA,NA,NA,Actinopterygii
Fis-25815,Pseudamiops gracilicauda,Actinopterygii,NA,NA,NA,Actinopterygii
Fis-50404,Pseudamiops pellucidus,Actinopterygii,NA,NA,NA,Actinopterygii
Fis-28600,Pseudanthias bartlettorum,Actinopterygii,NA,NA,NA,Actinopterygii
Fis-26740,Pseudanthias bicolor,Actinopterygii,NA,NA,NA,Actinopterygii
Fis-28606,Pseudanthias bimaculatus,Actinopterygii,NA,NA,NA,Actinopterygii
Fis-149145,Pseudanthias carlsoni,Actinopterygii,NA,NA,NA,Actinopterygii
Fis-28725,Pseudanthias cooperi,Actinopterygii,NA,NA,NA,Actinopterygii
Fis-26548,Pseudanthias dispar,Actinopterygii,NA,NA,NA,Actinopterygii
Fis-10199,Pseudanthias evansi,Actinopterygii,NA,NA,NA,Actinopterygii
Fis-53810,Pseudanthias fasciatus,Actinopterygii,NA,NA,NA,Actinopterygii
Fis-26190,Pseudanthias huchtii,Actinopterygii,NA,NA,NA,Actinopterygii
Fis-32679,Pseudanthias hypselosoma,Actinopterygii,NA,NA,NA,Actinopterygii
Fis-26549,Pseudanthias lori,Actinopterygii,NA,NA,NA,Actinopterygii
Fis-26551,Pseudanthias luzonensis,Actinopterygii,NA,NA,NA,Actinopterygii
Fis-58524,Pseudanthias parvirostris,Actinopterygii,NA,NA,NA,Actinopterygii
Fis-26341,Pseudanthias pascalus,Actinopterygii,NA,NA,NA,Actinopterygii
Fis-28586,Pseudanthias pictilis,Actinopterygii,NA,NA,NA,Actinopterygii
Fis-26192,Pseudanthias pleurotaenia,Actinopterygii,NA,NA,NA,Actinopterygii
Fis-57922,Pseudanthias pulcherrimus,Actinopterygii,NA,NA,NA,Actinopterygii
Fis-26194,Pseudanthias randalli,Actinopterygii,NA,NA,NA,Actinopterygii
Fis-26485,Pseudanthias rubrizonatus,Actinopterygii,NA,NA,NA,Actinopterygii
Fis-26552,Pseudanthias smithvanizi,Actinopterygii,NA,NA,NA,Actinopterygii
Fis-26191,Pseudanthias squamipinnis,Actinopterygii,NA,NA,NA,Actinopterygii
Fis-26695,Pseudanthias thompsoni,Actinopterygii,NA,NA,NA,Actinopterygii
Fis-26160,Pseudanthias tuka,Actinopterygii,NA,NA,NA,Actinopterygii
Fis-62208,Pseudanthias ventralis ventralis,Actinopterygii,NA,NA,NA,Actinopterygii
Fis-27717,Pseudechidna brummeri,Actinopterygii,NA,NA,NA,Actinopterygii
Fis-25963,Pseudobalistes flavimarginatus,Actinopterygii,NA,NA,NA,Actinopterygii
Fis-25135,Pseudobalistes fuscus,Actinopterygii,NA,NA,NA,Actinopterygii
Fis-26914,Pseudobalistes naufragium,Actinopterygii,NA,NA,NA,Actinopterygii
Fis-143777,Pseudobathylagus milleri,Actinopterygii,NA,NA,NA,Actinopterygii
Fis-23749,Pseudocaranx dentex,Actinopterygii,NA,NA,NA,Actinopterygii
Fis-23750,Pseudocaranx wrighti,Actinopterygii,NA,NA,NA,Actinopterygii
Fis-25899,Pseudocarcharias kamoharai,Elasmobranchii,NA,NA,NA,Elasmobranchii
Fis-29489,Pseudochaenichthys georgianus,Actinopterygii,NA,NA,NA,Actinopterygii
Fis-31466,Pseudocheilinops ataenia,Actinopterygii,187594,Pseudocheilinops ataenia,Actinopterygii,Actinopterygii
Fis-31467,Pseudocheilinus evanidus,Actinopterygii,187658,Pseudocheilinus evanidus,Actinopterygii,Actinopterygii
Fis-25716,Pseudocheilinus hexataenia,Actinopterygii,187477,Pseudocheilinus hexataenia,Actinopterygii,Actinopterygii
Fis-134684,Pseudocheilinus ocellatus,Actinopterygii,155314,Pseudocheilinus ocellatus,Actinopterygii,Actinopterygii
Fis-31468,Pseudocheilinus octotaenia,Actinopterygii,187621,Pseudocheilinus octotaenia,Actinopterygii,Actinopterygii
Fis-31469,Pseudocheilinus tetrataenia,Actinopterygii,187740,Pseudocheilinus tetrataenia,Actinopterygii,Actinopterygii
Fis-113181,Pseudochromis andamanensis,Actinopterygii,NA,NA,NA,Actinopterygii
Fis-28576,Pseudochromis bitaeniatus,Actinopterygii,NA,NA,NA,Actinopterygii
Fis-59546,Pseudochromis caudalis,Actinopterygii,NA,NA,NA,Actinopterygii
Fis-35795,Pseudochromis cyanotaenia,Actinopterygii,NA,NA,NA,Actinopterygii
Fis-32625,Pseudochromis dutoiti,Actinopterygii,NA,NA,NA,Actinopterygii
Fis-113182,Pseudochromis elongatus,Actinopterygii,NA,NA,NA,Actinopterygii
Fis-35934,Pseudochromis flammicauda,Actinopterygii,NA,NA,NA,Actinopterygii
Fis-35331,Pseudochromis flavivertex,Actinopterygii,NA,NA,NA,Actinopterygii
Fis-31902,Pseudochromis fuscus,Actinopterygii,NA,NA,NA,Actinopterygii
Fis-35935,Pseudochromis jamesi,Actinopterygii,NA,NA,NA,Actinopterygii
Fis-162938,Pseudochromis kristinae,Actinopterygii,NA,NA,NA,Actinopterygii
Fis-60816,Pseudochromis linda,Actinopterygii,NA,NA,NA,Actinopterygii
Fis-144276,Pseudochromis litus,Actinopterygii,NA,NA,NA,Actinopterygii
Fis-144277,Pseudochromis luteus,Actinopterygii,NA,NA,NA,Actinopterygii
Fis-26487,Pseudochromis marshallensis,Actinopterygii,NA,NA,NA,Actinopterygii
Fis-32613,Pseudochromis natalensis,Actinopterygii,NA,NA,NA,Actinopterygii
Fis-55429,Pseudochromis olivaceus,Actinopterygii,NA,NA,NA,Actinopterygii
Fis-55433,Pseudochromis perspicillatus,Actinopterygii,NA,NA,NA,Actinopterygii
Fis-55434,Pseudochromis pylei,Actinopterygii,NA,NA,NA,Actinopterygii
Fis-34010,Pseudochromis quinquedentatus,Actinopterygii,NA,NA,NA,Actinopterygii
Fis-141404,Pseudochromis ransonneti,Actinopterygii,NA,NA,NA,Actinopterygii
Fis-55432,Pseudochromis sankeyi,Actinopterygii,NA,NA,NA,Actinopterygii
Fis-35794,Pseudochromis tapeinosoma,Actinopterygii,NA,NA,NA,Actinopterygii
Fis-54151,Pseudochromis tauberae,Actinopterygii,NA,NA,NA,Actinopterygii
Fis-29235,Pseudochromis wilsoni,Actinopterygii,NA,NA,NA,Actinopterygii
Fis-28151,Pseudocoris heteroptera,Actinopterygii,187688,Pseudocoris heteroptera,Actinopterygii,Actinopterygii
Fis-25729,Pseudocoris yamashiroi,Actinopterygii,187547,Pseudocoris yamashiroi,Actinopterygii,Actinopterygii
Fis-32220,Pseudocyttus maculatus,Actinopterygii,NA,NA,NA,Actinopterygii
Fis-25703,Pseudodax moluccanus,Actinopterygii,187713,Pseudodax moluccanus,Actinopterygii,Actinopterygii
Fis-28214,Pseudogobius javanicus,Actinopterygii,NA,NA,NA,Actinopterygii
Fis-146243,Pseudogobius melanostictus,Actinopterygii,NA,NA,NA,Actinopterygii
Fis-164074,Pseudogramma astigma,Actinopterygii,NA,NA,NA,Actinopterygii
Fis-24920,Pseudogramma gregoryi,Actinopterygii,NA,NA,NA,Actinopterygii
Fis-26484,Pseudogramma polyacantha,Actinopterygii,NA,NA,NA,Actinopterygii
Fis-162401,Pseudogramma thaumasia,Actinopterygii,NA,NA,NA,Actinopterygii
Fis-31118,Pseudojuloides atavai,Actinopterygii,187586,Pseudojuloides atavai,Actinopterygii,Actinopterygii
Fis-25350,Pseudojuloides cerasinus,Actinopterygii,NA,NA,NA,Actinopterygii
Fis-35506,Pseudolabrus guentheri,Actinopterygii,187533,Pseudolabrus guentheri,Actinopterygii,Actinopterygii
Fis-28630,Pseudolabrus japonicus,Actinopterygii,NA,NA,NA,Actinopterygii
Fis-28631,Pseudolabrus luculentus,Actinopterygii,154701,Pseudolabrus luculentus,Actinopterygii,Actinopterygii
Fis-114122,Pseudolabrus miles,Actinopterygii,187481,Pseudolabrus miles,Actinopterygii,Actinopterygii
Fis-34766,Pseudomonacanthus elongatus,Actinopterygii,NA,NA,NA,Actinopterygii
Fis-27853,Pseudomonacanthus macrurus,Actinopterygii,NA,NA,NA,Actinopterygii
Fis-27840,Pseudomonacanthus peroni,Actinopterygii,NA,NA,NA,Actinopterygii
Fis-33175,Pseudomyrophis atlanticus,Actinopterygii,NA,NA,NA,Actinopterygii
Fis-130917,Pseudomyrophis nimius,Actinopterygii,NA,NA,NA,Actinopterygii
Fis-139614,Pseudonus squamiceps,Actinopterygii,NA,NA,NA,Actinopterygii
Fis-35734,Pseudopercis numida,Actinopterygii,NA,NA,NA,Actinopterygii
Fis-123198,Pseudopercis semifasciata,Actinopterygii,NA,NA,NA,Actinopterygii
Fis-27282,Pseudophichthys splendens,Actinopterygii,NA,NA,NA,Actinopterygii
Fis-24302,Pseudophycis bachus,Actinopterygii,NA,NA,NA,Actinopterygii
Fis-118529,Pseudophycis barbata,Actinopterygii,NA,NA,NA,Actinopterygii
Fis-24303,Pseudophycis breviuscula,Actinopterygii,NA,NA,NA,Actinopterygii
Fis-29099,Pseudoplesiops annae,Actinopterygii,NA,NA,NA,Actinopterygii
Fis-35940,Pseudoplesiops howensis,Actinopterygii,NA,NA,NA,Actinopterygii
Fis-149779,Pseudoplesiops immaculatus,Actinopterygii,NA,NA,NA,Actinopterygii
Fis-35941,Pseudoplesiops revellei,Actinopterygii,NA,NA,NA,Actinopterygii
Fis-35792,Pseudoplesiops rosae,Actinopterygii,NA,NA,NA,Actinopterygii
Fis-32369,Pseudoplesiops typus,Actinopterygii,NA,NA,NA,Actinopterygii
Fis-151410,Pseudoplesiops wassi,Actinopterygii,NA,NA,NA,Actinopterygii
Fis-12375,Pseudopleuronectes americanus,Actinopterygii,NA,NA,NA,Actinopterygii
Fis-11641,Pseudopleuronectes herzensteini,Actinopterygii,NA,NA,NA,Actinopterygii
Fis-32750,Pseudorhombus argus,Actinopterygii,NA,NA,NA,Actinopterygii
Fis-23751,Pseudorhombus arsius,Actinopterygii,NA,NA,NA,Actinopterygii
Fis-25195,Pseudorhombus cinnamoneus,Actinopterygii,NA,NA,NA,Actinopterygii
Fis-34245,Pseudorhombus diplospilus,Actinopterygii,NA,NA,NA,Actinopterygii
Fis-33998,Pseudorhombus dupliciocellatus,Actinopterygii,NA,NA,NA,Actinopterygii
Fis-30527,Pseudorhombus elevatus,Actinopterygii,NA,NA,NA,Actinopterygii
Fis-23752,Pseudorhombus javanicus,Actinopterygii,NA,NA,NA,Actinopterygii
Fis-27193,Pseudorhombus jenynsii,Actinopterygii,NA,NA,NA,Actinopterygii
Fis-30528,Pseudorhombus malayanus,Actinopterygii,NA,NA,NA,Actinopterygii
Fis-21884,Pseudorhombus megalops,Actinopterygii,NA,NA,NA,Actinopterygii
Fis-30529,Pseudorhombus natalensis,Actinopterygii,NA,NA,NA,Actinopterygii
Fis-34044,Pseudorhombus neglectus,Actinopterygii,NA,NA,NA,Actinopterygii
Fis-28760,Pseudorhombus oligodon,Actinopterygii,NA,NA,NA,Actinopterygii
Fis-33018,Pseudorhombus pentophthalmus,Actinopterygii,NA,NA,NA,Actinopterygii
