iucn_sid,am_sid,sciname,gbif_occ,occurcells
132788,Fis-31150,Epinephelus merra,2330,336
132789,Fis-26122,Cephalopholis microprion,417,93
132790,Fis-26518,Triso dermopterus,66,27
132791,Fis-31363,Cephalopholis igarashiensis,40,31
132793,Fis-26513,Epinephelus stoliczkae,37,18
132794,Fis-32315,Epinephelus retouti,52,67
132795,Fis-163776,Hyporthodus ergastularius,84,18
132796,Fis-27340,Epinephelus caninus,460,146
132798,Fis-32309,Epinephelus heniochus,61,41
132799,Fis-26144,Epinephelus quoyanus,873,133
132800,Fis-26146,Gracila albomarginata,144,74
132801,Fis-32321,Plectropomus punctatus,29,16
132802,Fis-26510,Epinephelus poecilonotus,102,51
132803,Fis-145041,Cephalopholis polyspila,44,3
132804,Fis-26141,Epinephelus ongus,437,129
132805,Fis-26124,Cephalopholis polleni,56,28
132806,Fis-27186,Cephalopholis fulva,1044,193
132807,Fis-163784,Hyporthodus septemfasciatus,442,12
132808,Fis-26118,Cephalopholis cyanostigma,1180,130
132810,Fis-31845,Variola albimarginata,251,107
132811,Fis-30328,Mycteroperca xenarcha,91,39
132812,Fis-26131,Epinephelus amblycephalus,188,46
132813,Fis-26132,Epinephelus bontoides,24,7
132815,Fis-25571,Epinephelus cyanopodus,204,63
132816,Fis-32322,Saloptia powelli,27,38
132817,Fis-25570,Epinephelus fasciatus,2906,329
132818,Fis-25365,Plectropomus maculatus,1539,111
132819,Fis-22704,Epinephelus adscensionis,1487,152
132820,Fis-25389,Cephalopholis taeniops,732,110
132822,Fis-26970,Paranthias colonus,1294,103
132823,Fis-25679,Epinephelus chlorostigma,206,123
132825,Fis-26127,Cephalopholis spiloparaea,381,103
132826,Fis-26494,Epinephelus bleekeri,177,56
132827,Fis-163778,Hyporthodus mystacinus,51,72
132828,Fis-164463,Hyporthodus haifensis,11,51
132829,Fis-26504,Epinephelus howlandi,138,40
132830,Fis-27382,Mycteroperca acutirostris,54,27
132859,URM-Cn-5604,Oulastrea crispata,90,16
132860,SLB-62998,Psammocora stellata,567,18
132863,SLB-93516,Acropora prostrata,37,20
132866,URM-Cn-4877,Montipora angulata,187,39
132869,URM-Cn-4750,Acropora florida,914,202
132871,URM-Cn-5952,Pectinia elongata,13,3
132874,URM-Cn-5888,Scolymia lacera,149,4
132875,URM-Cn-5982,Pocillopora kelleheri,10,11
132876,URM-Cn-4973,Leptoseris tubulifera,37,4
132877,URM-Cn-5759,Fungia fralinae,49,3
132878,URM-Cn-5549,Favia maxima,147,21
132880,URM-Cn-4995,Pavona venosa,336,58
132883,URM-Cn-5572,Goniastrea australensis,621,40
132884,URM-Cn-5508,Colpophyllia natans,4210,7
132885,URM-Cn-4965,Leptoseris hawaiiensis,395,78
132886,SLB-93397,Acropora seriata,6,7
132892,URM-Cn-4910,Montipora hodgsoni,4,9
132894,URM-Cn-5557,Favia veroni,86,10
132900,URM-Cn-5894,Symphyllia radians,400,87
132902,SLB-62642,Fungia puishani,2,6
132903,URM-Cn-4970,Leptoseris solida,30,13
132906,SLB-93376,Acropora irregularis,64,21
132908,URM-Cn-4818,Acropora rosaria,92,30
132909,URM-Cn-4848,Acropora turaki,53,10
132911,URM-Cn-4992,Pavona maldivensis,320,118
132915,SLB-158712,Siderastrea stellata,47,28
132916,URM-Cn-5470,Turbinaria irregularis,19,3
132917,URM-Cn-4958,Gardineroseris planulata,387,107
132922,URM-Cn-5595,Montastrea curta,374,122
132923,URM-Cn-5985,Pocillopora woodjonesi,136,30
132927,SLB-61850,Leptoseris striata,23,3
132928,URM-Cn-5953,Pectinia lactuca,434,52
132931,URM-Cn-4854,Acropora willisae,94,22
132933,URM-Cn-4723,Acropora carduus,226,36
132935,URM-Cn-4807,Acropora plumosa,49,8
132936,SLB-190543,Favia pallida,1369,183
132940,URM-Cn-4710,Acropora acuminata,500,23
132941,URM-Cn-5862,Indophyllia macassarensis,10,8
132942,SLB-93057,Montipora patula,23,3
132945,URM-Cn-6043,Porites colonensis,187,3
132946,SLB-93732,Acropora lianae,0,7
132950,SLB-158633,Acropora macrostoma,6,5
132957,URM-Cn-5465,Turbinaria bifrons,241,14
132962,URM-Cn-5892,Symphyllia erythraea,3,7
132963,URM-Cn-5591,Manicina areolata,899,91
132967,URM-Cn-5485,Euphyllia yaeyamaensis,21,11
132968,URM-Cn-5779,Halomitra clavator,25,3
132969,URM-Cn-4774,Acropora listeri,149,37
132970,URM-Cn-4954,Agaricia lamarcki,521,42
132972,URM-Cn-4800,Acropora paniculata,285,78
132974,SLB-62368,Plerogyra discus,0,6
132977,URM-Cn-4937,Montipora stilosa,11,15
132980,URM-Cn-5590,Leptoria phrygia,731,63
132983,URM-Cn-5584,Leptastrea bottae,170,33
132984,URM-Cn-4736,Acropora derawanensis,33,7
132987,URM-Cn-5524,Echinopora gemmacea,379,51
132988,URM-Cn-4777,Acropora longicyathus,561,48
132990,URM-Cn-4790,Acropora multiacuta,112,17
132991,URM-Cn-6123,Coscinaraea crassa,13,6
132992,URM-Cn-4761,Acropora humilis,1302,301
132996,URM-Cn-5772,Fungia seychellensis,48,10
133000,URM-Cn-4796,Acropora ocellata,15,9
133002,SLB-117497,Seriatopora stellata,10,17
133003,URM-Cn-5583,Leptastrea bewickensis,19,32
133004,SLB-62804,Simplastrea vesicularis,2,5
133006,URM-Cn-4798,Acropora palmata,6672,30
133007,URM-Cn-4917,Montipora malampaya,5,8
133008,URM-Cn-5775,Fungia spinifer,77,3
133011,SLB-117488,Pocillopora ankeli,9,4
133013,URM-Cn-4755,Acropora grandis,472,42
133018,URM-Cn-4786,Acropora minuta,2,5
133020,URM-Cn-4841,Acropora tenuis,928,58
133023,URM-Cn-6062,Porites lichen,898,37
133024,URM-Cn-5827,Merulina scabricula,169,21
133025,URM-Cn-4850,Acropora vaughani,395,41
133026,SLB-117486,Mycedium mancaoi,14,3
133029,URM-Cn-5552,Favia rotumana,314,7
133031,URM-Cn-4897,Montipora effusa,34,35
133032,URM-Cn-5869,Lobophyllia flabelliformis,19,12
133033,URM-Cn-4813,Acropora pulchra,696,48
133034,SLB-189121,Fungia fragilis,418,8
133037,URM-Cn-5885,Mycetophyllia reesi,38,34
133038,URM-Cn-6069,Porites nigrescens,486,4
133043,URM-Cn-6135,Psammocora digitata,326,68
133045,SLB-158820,Pocillopora ligulata,89,16
133046,URM-Cn-4861,Anacropora spinosa,18,16
133053,URM-Cn-5887,Scolymia cubensis,99,50
133055,URM-Cn-5564,Favites halicora,509,36
133057,URM-Cn-5482,Euphyllia paradivisa,1,4
133058,URM-Cn-5930,Echinophyllia echinata,98,13
133059,URM-Cn-5617,Platygyra verweyi,149,29
133064,URM-Cn-4899,Montipora florida,13,9
133066,URM-Cn-4913,Montipora informis,321,72
133070,URM-Cn-5601,Montastrea colemani,53,28
133071,URM-Cn-4901,Montipora foliosa,510,120
133076,URM-Cn-5873,Lobophyllia robusta,80,36
133081,URM-Cn-4770,Acropora kirstyae,121,13
133082,URM-Cn-6064,Porites lutea,1111,5
133084,SLB-62376,Barabattoia amicorum,173,17
133087,URM-Cn-4836,Acropora subglabra,299,73
133088,URM-Cn-5528,Echinopora lamellosa,952,75
133089,URM-Cn-5935,Echinophyllia patula,5,3
133090,URM-Cn-5587,Leptastrea purpurea,772,119
133092,URM-Cn-4866,Astreopora incrustans,19,10
133094,URM-Cn-6138,Psammocora nierstraszi,146,61
133096,SLB-158798,Porites columnaris,9,6
133097,SLB-117490,Pocillopora danae,91,10
133099,URM-Cn-5977,Pocillopora elegans,259,27
133100,URM-Cn-4956,Agaricia undata,119,21
133102,URM-Cn-5814,Dichocoenia stokesii,NA,90
133106,URM-Cn-5849,Acanthastrea hillae,170,44
133109,URM-Cn-5901,Galaxea acrhelia,17,4
133110,URM-Cn-5750,Ctenactis crassa,239,15
133111,SLB-61810,Montipora saudii,5,4
133112,URM-Cn-4724,Acropora caroliniana,142,14
133113,URM-Cn-4880,Montipora cactus,19,10
133115,SLB-93474,Acropora retusa,100,28
133120,SLB-61654,Acropora latistella,900,51
133121,URM-Cn-6145,Siderastrea glynni,1,3
133122,SLB-93687,Acropora plantaginea,9,11
133124,SLB-158750,Dendrogyra cylindrus,158,4
133125,URM-Cn-4748,Acropora fenneri,1,6
133127,URM-Cn-5896,Symphyllia valenciennesii,71,53
133128,URM-Cn-4812,Acropora pruinosa,32,3
133129,URM-Cn-4872,Astreopora ocellata,67,34
133131,URM-Cn-4903,Montipora friabilis,14,26
133132,URM-Cn-4714,Acropora aspera,833,116
133133,URM-Cn-4708,Acropora abrolhosensis,97,16
133134,URM-Cn-5592,Montastraea annularis,9808,18
133139,SLB-184813,Isopora palifera,128,61
133142,URM-Cn-5096,Cladocora caespitosa,249,52
133144,W-Hyd-210726,Millepora alcicornis,2318,10
133145,URM-Cn-5008,Stylocoeniella cocosensis,6,7
133148,URM-Cn-5751,Ctenactis echinata,507,63
133151,URM-Cn-5542,Favia lacuna,2,4
133152,URM-Cn-5872,Lobophyllia pachysepta,214,51
133157,URM-Cn-5889,Scolymia vitiensis,390,68
133158,URM-Cn-5787,Podabacia crustacea,610,43
133160,URM-Cn-4715,Acropora austera,841,203
133161,URM-Cn-5610,Platygyra contorta,56,12
133165,URM-Cn-5921,Oculina varicosa,225,18
133169,URM-Cn-5993,Stylophora mamillata,2,7
133172,SLB-62815,Echinophyllia aspera,708,52
133175,URM-Cn-4896,Montipora efflorescens,222,72
133176,SLB-117467,Coscinaraea exesa,111,12
133177,URM-Cn-5472,Turbinaria patula,184,49
133178,URM-Cn-5593,Montastrea annuligera,135,23
133182,SLB-184808,Isopora brueggemanni,60,135
133183,URM-Cn-5761,Fungia granulosa,360,23
133184,SLB-62757,Mussismilia hispida,51,13
133186,URM-Cn-4900,Montipora floweri,111,51
133192,URM-Cn-5947,Oxypora glabra,67,11
133193,W-Oct-210725,Heliopora coerulea,458,79
133194,URM-Cn-4893,Montipora digitata,471,50
133195,SLB-93690,Acropora appressa,22,10
133197,URM-Cn-5984,Pocillopora verrucosa,2087,161
133200,URM-Cn-5606,Oulophyllia crispa,530,41
133201,SLB-190518,Fungia scutaria,739,63
133203,URM-Cn-4840,Acropora tenella,67,25
133206,URM-Cn-4819,Acropora roseni,10,3
133209,URM-Cn-5567,Favites pentagona,911,51
133210,URM-Cn-5554,Favia speciosa,677,173
133212,URM-Cn-5915,Oculina diffusa,602,40
133213,URM-Cn-5786,Lithophyllon undulatum,171,3
133215,URM-Cn-5777,Fungia tenuis,381,33
133216,URM-Cn-6063,Porites lobata,1192,34
133217,SLB-158789,Meandrina danae,107,27
133218,URM-Cn-4975,Pachyseris foliosa,4,5
133219,URM-Cn-5486,Nemenzophyllia turbida,18,6
133220,URM-Cn-4882,Montipora caliculata,129,40
133222,URM-Cn-5975,Pocillopora damicornis,2957,198
133223,URM-Cn-4740,Acropora donei,310,27
133227,SLB-93757,Astreopora expansa,55,39
133231,URM-Cn-5517,Diploastrea heliopora,338,72
133233,URM-Cn-4769,Acropora kimbeensis,58,11
133236,URM-Cn-5907,Galaxea paucisepta,23,4
133237,SLB-62474,Montastraea cavernosa,7958,172
133238,URM-Cn-4909,Montipora hispida,434,93
133239,URM-Cn-4792,Acropora nasuta,1468,270
133240,URM-Cn-4982,Pavona clavus,555,106
133242,URM-Cn-4989,Pavona frondifera,129,30
133244,URM-Cn-5563,Favites flexuosa,621,39
133246,URM-Cn-5846,Acanthastrea echinata,531,138
133248,URM-Cn-4816,Acropora robusta,727,188
133250,URM-Cn-4738,Acropora digitifera,985,196
133251,URM-Cn-5996,Stylophora wellsi,13,8
133252,URM-Cn-4846,Acropora tortuosa,173,7
133253,URM-Cn-5860,Blastomussa wellsi,117,39
133255,URM-Cn-4953,Agaricia humilis,405,30
133256,URM-Cn-5481,Euphyllia glabrescens,541,102
133258,URM-Cn-5495,Plerogyra sinuosa,377,84
133260,URM-Cn-6149,Trachyphyllia geoffroyi,486,46
133261,URM-Cn-4983,Pavona danai,49,7
133267,URM-Cn-4868,Astreopora listeri,159,50
133268,URM-Cn-5875,Micromussa diminuta,4,7
133269,URM-Cn-5782,Heliofungia actiniformis,359,30
133271,URM-Cn-4824,Acropora sarmentosa,496,89
133272,URM-Cn-5954,Pectinia paeonia,335,35
133277,URM-Cn-6040,Porites australiensis,438,3
133281,URM-Cn-5963,Madracis formosa,86,37
133283,URM-Cn-4718,Acropora batunai,47,7
133284,URM-Cn-5620,Plesiastrea versipora,783,100
133289,SLB-117478,Euphyllia paraancora,23,7
133290,URM-Cn-5560,Favites abdita,1258,51
133291,URM-Cn-4835,Acropora striata,188,14
133292,URM-Cn-4871,Astreopora myriophthalma,698,68
133298,URM-Cn-4942,Montipora turgescens,305,131
133302,URM-Cn-4865,Astreopora gracilis,153,56
133304,URM-Cn-5870,Lobophyllia hataii,183,71
133305,URM-Cn-4946,Montipora verrilli,70,9
133307,URM-Cn-5553,Favia rotundata,228,33
133308,SLB-190516,Fungia scruposa,372,21
133309,URM-Cn-5981,Pocillopora inflata,75,17
133311,URM-Cn-4757,Acropora halmaherae,35,4
133313,URM-Cn-4733,Acropora cytherea,1079,187
133315,URM-Cn-4788,Acropora monticulosa,199,45
133319,URM-Cn-4760,Acropora horrida,499,61
133320,URM-Cn-4830,Acropora solitaryensis,692,25
133324,URM-Cn-4752,Acropora gemmifera,647,138
133325,URM-Cn-5510,Cyphastrea chalcidicum,546,39
133327,URM-Cn-4779,Acropora lovelli,159,12
133329,URM-Cn-6079,Porites stephensoni,131,16
133333,URM-Cn-5605,Oulophyllia bennettae,174,16
133334,URM-Cn-4719,Acropora branchi,1,4
133337,URM-Cn-5826,Merulina ampliata,805,114
133340,URM-Cn-5897,Symphyllia wilsoni,84,13
133343,URM-Cn-5569,Favites russelli,386,34
133344,URM-Cn-5790,Podabacia sinai,13,4
133345,URM-Cn-4941,Montipora tuberculosa,437,100
133348,SLB-93322,Acropora variolosa,27,7
133349,URM-Cn-6044,Porites compressa,180,11
133351,URM-Cn-4967,Leptoseris mycetoseroides,582,98
133352,URM-Cn-4754,Acropora gomezi,5,5
133359,URM-Cn-4783,Acropora microclados,295,35
133360,URM-Cn-4979,Pavona bipartita,21,13
133365,URM-Cn-5574,Goniastrea edwardsi,346,40
133366,URM-Cn-5851,Acanthastrea lordhowensis,88,21
133370,SLB-158808,Porites profundus,2,9
133371,URM-Cn-5757,Fungia distorta,430,21
133372,URM-Cn-5791,Polyphyllia novaehiberniae,35,12
133375,URM-Cn-4888,Montipora corbettensis,45,17
133376,URM-Cn-5850,Acanthastrea ishigakiensis,10,33
133377,URM-Cn-5518,Diploria clivosa,1370,7
133379,SLB-93515,Acropora convexa,26,7
133381,URM-Cn-4726,Acropora cervicornis,1597,31
133386,SLB-62731,Acanthastrea rotundoflora,24,30
133387,SLB-93466,Acropora globiceps,72,28
133392,URM-Cn-5543,Favia laxa,197,65
133393,URM-Cn-4842,Acropora teres,22,24
133395,URM-Cn-6073,Porites porites,5342,25
133396,URM-Cn-4737,Acropora desalwii,35,6
133398,URM-Cn-4994,Pavona varians,1124,198
133400,URM-Cn-5815,Eusmilia fastigiata,953,82
133401,URM-Cn-4759,Acropora hoeksemai,113,7
133402,URM-Cn-4833,Acropora squarrosa,185,14
