speciesid,reviewed,speccode,genus,species,fbname,occurcells,kingdom,phylum,class,order,family,iucn_id,iucn_code,iucn_version
Fis-57849,null,25311,Acanthosphex,leurynnis,Wasp-spine velvetfish,26,Animalia,Chordata,Actinopterygii,Scorpaeniformes,Aploactinidae,null,N.E.,2015-2
Fis-53659,1,23363,Acanthostracion,guineensis,null,66,Animalia,Chordata,Actinopterygii,Tetraodontiformes,Ostraciidae,null,N.E.,2015-2
Fis-53665,null,23370,Acanthostracion,notacanthus,Island cowfish,14,Animalia,Chordata,Actinopterygii,Tetraodontiformes,Ostraciidae,null,N.E.,2015-2
Fis-49970,null,4287,Acanthostracion,polygonius,Honeycomb cowfish,131,Animalia,Chordata,Actinopterygii,Tetraodontiformes,Ostraciidae,null,N.E.,2015-2
Fis-22736,1,92,Acanthostracion,quadricornis,Scrawled cowfish,365,Animalia,Chordata,Actinopterygii,Tetraodontiformes,Ostraciidae,null,N.E.,2015-2
Fis-30911,1,4306,Acanthurus,achilles,Achilles tang,74,Animalia,Chordata,Actinopterygii,Perciformes,Acanthuridae,177960,LC,2015-2
Fis-35635,1,13770,Acanthurus,albipectoralis,Whitefin surgeonfish,22,Animalia,Chordata,Actinopterygii,Perciformes,Acanthuridae,178007,LC,2015-2
Fis-31085,1,4748,Acanthurus,auranticavus,Orange-socket surgeonfish,42,Animalia,Chordata,Actinopterygii,Perciformes,Acanthuridae,177974,LC,2015-2
Fis-29260,1,942,Acanthurus,bahianus,Ocean surgeon,332,Animalia,Chordata,Actinopterygii,Perciformes,Acanthuridae,177985,LC,2015-2
Fis-31087,1,4750,Acanthurus,blochii,Ringtail surgeonfish,159,Animalia,Chordata,Actinopterygii,Perciformes,Acanthuridae,177971,LC,2015-2
Fis-22976,null,943,Acanthurus,chirurgus,Doctorfish,128,Animalia,Chordata,Actinopterygii,Perciformes,Acanthuridae,177982,LC,2015-2
Fis-29261,1,944,Acanthurus,coeruleus,Blue tang surgeonfish,243,Animalia,Chordata,Actinopterygii,Perciformes,Acanthuridae,177953,LC,2015-2
Fis-29579,1,1256,Acanthurus,dussumieri,Eyestripe surgeonfish,202,Animalia,Chordata,Actinopterygii,Perciformes,Acanthuridae,177981,LC,2015-2
Fis-31083,null,4745,Acanthurus,fowleri,Fowler's surgeonfish,12,Animalia,Chordata,Actinopterygii,Perciformes,Acanthuridae,177959,LC,2015-2
Fis-51787,1,17471,Acanthurus,gahhm,Black surgeonfish,11,Animalia,Chordata,Actinopterygii,Perciformes,Acanthuridae,154818,LC,2015-2
Fis-31086,1,4749,Acanthurus,grammoptilus,Finelined surgeonfish,77,Animalia,Chordata,Actinopterygii,Perciformes,Acanthuridae,178006,LC,2015-2
Fis-31078,null,4736,Acanthurus,guttatus,Whitespotted surgeonfish,96,Animalia,Chordata,Actinopterygii,Perciformes,Acanthuridae,177995,LC,2015-2
Fis-53679,null,23375,Acanthurus,japonicus,Japan surgeonfish,15,Animalia,Chordata,Actinopterygii,Perciformes,Acanthuridae,177977,LC,2015-2
Fis-25283,1,4737,Acanthurus,leucopareius,Whitebar surgeonfish,68,Animalia,Chordata,Actinopterygii,Perciformes,Acanthuridae,178011,LC,2015-2
Fis-29580,1,1257,Acanthurus,leucosternon,Powderblue surgeonfish,76,Animalia,Chordata,Actinopterygii,Perciformes,Acanthuridae,178000,LC,2015-2
Fis-23320,1,1258,Acanthurus,lineatus,Lined surgeonfish,273,Animalia,Chordata,Actinopterygii,Perciformes,Acanthuridae,177993,LC,2015-2
Fis-25286,1,4746,Acanthurus,maculiceps,White-freckled surgeonfish,44,Animalia,Chordata,Actinopterygii,Perciformes,Acanthuridae,177957,LC,2015-2
Fis-29578,1,1255,Acanthurus,mata,Elongate surgeonfish,127,Animalia,Chordata,Actinopterygii,Perciformes,Acanthuridae,177967,LC,2015-2
Fis-29581,null,1800,Acanthurus,monroviae,Monrovia doctorfish,110,Animalia,Chordata,Actinopterygii,Perciformes,Acanthuridae,178023,LC,2015-2
Fis-25952,1,6011,Acanthurus,nigricans,Whitecheek surgeonfish,205,Animalia,Chordata,Actinopterygii,Perciformes,Acanthuridae,177969,LC,2015-2
Fis-31084,null,4747,Acanthurus,nigricauda,Epaulette surgeonfish,125,Animalia,Chordata,Actinopterygii,Perciformes,Acanthuridae,178017,LC,2015-2
Fis-25284,null,4739,Acanthurus,nigrofuscus,Brown surgeonfish,363,Animalia,Chordata,Actinopterygii,Perciformes,Acanthuridae,178019,LC,2015-2
Fis-31079,1,4738,Acanthurus,nigroris,Bluelined surgeonfish,109,Animalia,Chordata,Actinopterygii,Perciformes,Acanthuridae,177999,LC,2015-2
Fis-25281,null,4733,Acanthurus,nubilus,Bluelined surgeon,20,Animalia,Chordata,Actinopterygii,Perciformes,Acanthuridae,177961,LC,2015-2
Fis-31082,1,4744,Acanthurus,olivaceus,Orangespot surgeonfish,172,Animalia,Chordata,Actinopterygii,Perciformes,Acanthuridae,177991,LC,2015-2
Fis-31081,1,4742,Acanthurus,pyroferus,Chocolate surgeonfish,129,Animalia,Chordata,Actinopterygii,Perciformes,Acanthuridae,178022,LC,2015-2
Fis-25285,null,4740,Acanthurus,sohal,Sohal surgeonfish,22,Animalia,Chordata,Actinopterygii,Perciformes,Acanthuridae,177987,LC,2015-2
Fis-4576,null,1259,Acanthurus,tennentii,Doubleband surgeonfish,26,Animalia,Chordata,Actinopterygii,Perciformes,Acanthuridae,177997,LC,2015-2
Fis-25282,null,4734,Acanthurus,thompsoni,Thompson's surgeonfish,110,Animalia,Chordata,Actinopterygii,Perciformes,Acanthuridae,178008,LC,2015-2
Fis-23321,null,1260,Acanthurus,triostegus,Convict surgeonfish,465,Animalia,Chordata,Actinopterygii,Perciformes,Acanthuridae,177965,LC,2015-2
Fis-35352,1,12782,Acanthurus,tristis,Indian Ocean mimic surgeonfish,12,Animalia,Chordata,Actinopterygii,Perciformes,Acanthuridae,177998,LC,2015-2
Fis-29584,null,1261,Acanthurus,xanthopterus,Yellowfin surgeonfish,242,Animalia,Chordata,Actinopterygii,Perciformes,Acanthuridae,177989,LC,2015-2
Fis-50647,null,17032,Acentrogobius,audax,Mangrove goby,10,Animalia,Chordata,Actinopterygii,Perciformes,Gobiidae,null,N.E.,2015-2
Fis-25367,1,4894,Acentrogobius,caninus,Tropical sand goby,106,Animalia,Chordata,Actinopterygii,Perciformes,Gobiidae,null,N.E.,2015-2
Fis-56954,null,25062,Acentrogobius,cyanomos,null,17,Animalia,Chordata,Actinopterygii,Perciformes,Gobiidae,null,N.E.,2015-2
Fis-54058,null,23581,Acentrogobius,janthinopterus,Robust mangrove goby,50,Animalia,Chordata,Actinopterygii,Perciformes,Gobiidae,null,N.E.,2015-2
Fis-54060,null,23582,Acentrogobius,moloanus,Barcheek Amoya,39,Animalia,Chordata,Actinopterygii,Perciformes,Gobiidae,null,N.E.,2015-2
Fis-136797,null,7228,Acentrogobius,nebulosus,Shadow goby,27,Animalia,Chordata,Actinopterygii,Perciformes,Gobiidae,null,N.E.,2015-2
Fis-54066,null,23587,Acentrogobius,suluensis,Sulu goby,23,Animalia,Chordata,Actinopterygii,Perciformes,Gobiidae,null,N.E.,2015-2
Fis-48018,null,15776,Acentrogobius,viridipunctatus,Spotted green goby,85,Animalia,Chordata,Actinopterygii,Perciformes,Gobiidae,null,N.E.,2015-2
Fis-50333,null,16862,Acentronura,tentaculata,Shortpouch pygmy pipehorse,18,Animalia,Chordata,Actinopterygii,Syngnathiformes,Syngnathidae,null,N.E.,2015-2
Fis-32200,null,7119,Achiropsetta,tricholepis,Prickly flounder,26,Animalia,Chordata,Actinopterygii,Pleuronectiformes,Achiropsettidae,null,N.E.,2015-2
Fis-26599,null,7572,Achirus,achirus,Drab sole,42,Animalia,Chordata,Actinopterygii,Pleuronectiformes,Achiridae,null,N.E.,2015-2
Fis-128376,null,52941,Achirus,declivis,Plainfin sole,39,Animalia,Chordata,Actinopterygii,Pleuronectiformes,Achiridae,null,N.E.,2015-2
Fis-28883,null,13429,Achirus,klunzingeri,Brown sole,24,Animalia,Chordata,Actinopterygii,Pleuronectiformes,Achiridae,183389,LC,2015-2
Fis-24400,null,4256,Achirus,lineatus,Lined sole,200,Animalia,Chordata,Actinopterygii,Pleuronectiformes,Achiridae,null,N.E.,2015-2
Fis-27804,1,10429,Achirus,mazatlanus,Mazatlan sole,89,Animalia,Chordata,Actinopterygii,Pleuronectiformes,Achiridae,183932,LC,2015-2
Fis-28885,null,13434,Achirus,scutum,Network sole,56,Animalia,Chordata,Actinopterygii,Pleuronectiformes,Achiridae,183574,LC,2015-2
Fis-29141,null,14420,Achoerodus,gouldii,Western blue groper,26,Animalia,Chordata,Actinopterygii,Perciformes,Labridae,187520,VU,2015-2
Fis-29585,1,2590,Acipenser,brevirostrum,Shortnose sturgeon,16,Animalia,Chordata,Actinopterygii,Acipenseriformes,Acipenseridae,222,VU,2015-2
Fis-29588,1,2592,Acipenser,medirostris,Green sturgeon,19,Animalia,Chordata,Actinopterygii,Acipenseriformes,Acipenseridae,233,NT,2015-2
Fis-58742,1,2593,Acipenser,oxyrinchus,Atlantic sturgeon,56,Animalia,Chordata,Actinopterygii,Acipenseriformes,Acipenseridae,245,NT,2015-2
Fis-29593,1,2066,Acipenser,sturio,Sturgeon,113,Animalia,Chordata,Actinopterygii,Acipenseriformes,Acipenseridae,230,CR,2015-2
Fis-29594,null,2594,Acipenser,transmontanus,White sturgeon,10,Animalia,Chordata,Actinopterygii,Acipenseriformes,Acipenseridae,234,LC,2015-2
Fis-26784,null,7974,Acreichthys,radiatus,Radial leatherjacket,21,Animalia,Chordata,Actinopterygii,Tetraodontiformes,Monacanthidae,null,N.E.,2015-2
Fis-26724,1,7849,Acreichthys,tomentosus,Bristle-tail file-fish,71,Animalia,Chordata,Actinopterygii,Tetraodontiformes,Monacanthidae,null,N.E.,2015-2
Fis-143375,null,58562,Acromycter,perturbator,null,13,Animalia,Chordata,Actinopterygii,Anguilliformes,Congridae,155234,LC,2015-2
Fis-33256,null,9232,Acropoma,hanedai,null,14,Animalia,Chordata,Actinopterygii,Perciformes,Acropomatidae,null,N.E.,2015-2
Fis-47983,null,1267,Acropoma,japonicum,Glowbelly,131,Animalia,Chordata,Actinopterygii,Perciformes,Acropomatidae,null,N.E.,2015-2
Fis-29262,null,644,Aculeola,nigra,Hooktooth dogfish,22,Animalia,Chordata,Elasmobranchii,Squaliformes,Etmopteridae,44653,DD,2015-2
Fis-24401,null,3073,Acyrtops,beryllinus,Emerald clingfish,31,Animalia,Chordata,Actinopterygii,Gobiesociformes,Gobiesocidae,null,N.E.,2015-2
Fis-50003,null,16677,Acyrtus,rubiginosus,Red clingfish,44,Animalia,Chordata,Actinopterygii,Gobiesociformes,Gobiesocidae,null,N.E.,2015-2
Fis-54506,null,23885,Adelosebastes,latens,null,14,Animalia,Chordata,Actinopterygii,Scorpaeniformes,Sebastidae,null,N.E.,2015-2
Fis-62464,null,27470,Adventor,elongatus,Visitor,25,Animalia,Chordata,Actinopterygii,Scorpaeniformes,Aploactinidae,null,N.E.,2015-2
Fis-32617,null,7986,Aeoliscus,punctulatus,Speckled shrimpfish,24,Animalia,Chordata,Actinopterygii,Syngnathiformes,Centriscidae,null,N.E.,2015-2
Fis-26161,1,6503,Aeoliscus,strigatus,Razorfish,107,Animalia,Chordata,Actinopterygii,Syngnathiformes,Centriscidae,null,N.E.,2015-2
Fis-32561,null,7850,Aesopia,cornuta,Unicorn sole,63,Animalia,Chordata,Actinopterygii,Pleuronectiformes,Soleidae,null,N.E.,2015-2
Fis-28341,null,12086,Aetapcus,maculatus,Warty prowfish,37,Animalia,Chordata,Actinopterygii,Scorpaeniformes,Pataecidae,null,N.E.,2015-2
Fis-145105,null,7037,Aethotaxis,mitopteryx mitopteryx,Longfin icedevil,33,Animalia,Chordata,Actinopterygii,Perciformes,Nototheniidae,null,N.E.,2015-2
Fis-27240,null,8973,Aetobatus,flagellum,Longheaded eagle ray,11,Animalia,Chordata,Elasmobranchii,Myliobatiformes,Myliobatidae,60119,EN,2015-2
Fis-23322,1,1250,Aetobatus,narinari,Spotted eagle ray,386,Animalia,Chordata,Elasmobranchii,Myliobatiformes,Myliobatidae,39415,NT,2015-2
Fis-28563,null,12600,Aetobatus,ocellatus,Ocellated eagle ray,21,Animalia,Chordata,Elasmobranchii,Myliobatiformes,Myliobatidae,null,N.E.,2015-2
Fis-28560,null,12594,Aetomylaeus,maculatus,Mottled eagle ray,33,Animalia,Chordata,Elasmobranchii,Myliobatiformes,Myliobatidae,60120,EN,2015-2
Fis-28561,null,12597,Aetomylaeus,milvus,null,17,Animalia,Chordata,Elasmobranchii,Myliobatiformes,Myliobatidae,null,N.E.,2015-2
Fis-27676,1,10120,Aetomylaeus,nichofii,Banded eagle ray,70,Animalia,Chordata,Elasmobranchii,Myliobatiformes,Myliobatidae,41717,VU,2015-2
Fis-28562,1,12599,Aetomylaeus,vespertilio,Ornate eagle ray,17,Animalia,Chordata,Elasmobranchii,Myliobatiformes,Myliobatidae,60121,EN,2015-2
Fis-30759,null,4150,Agonomalus,mozinoi,Kelp poacher,10,Animalia,Chordata,Actinopterygii,Scorpaeniformes,Agonidae,null,N.E.,2015-2
Fis-28693,null,12932,Agonopsis,chiloensis,Snailfish,60,Animalia,Chordata,Actinopterygii,Scorpaeniformes,Agonidae,null,N.E.,2015-2
Fis-24403,null,4151,Agonopsis,sterletus,Southern spearnose poacher,16,Animalia,Chordata,Actinopterygii,Scorpaeniformes,Agonidae,null,N.E.,2015-2
Fis-24404,null,4152,Agonopsis,vulsa,Northern spearnose poacher,48,Animalia,Chordata,Actinopterygii,Scorpaeniformes,Agonidae,null,N.E.,2015-2
Fis-23323,null,1085,Agonostomus,monticola,Mountain mullet,118,Animalia,Chordata,Actinopterygii,Mugiliformes,Mugilidae,192943,LC,2015-2
Fis-22710,null,36,Agonus,cataphractus,Hooknose,547,Animalia,Chordata,Actinopterygii,Scorpaeniformes,Agonidae,null,N.E.,2015-2
Fis-50293,null,16851,Agrostichthys,parkeri,Streamer fish,48,Animalia,Chordata,Actinopterygii,Lampriformes,Regalecidae,null,N.E.,2015-2
Fis-23895,null,2633,Ahlia,egmontis,Key worm eel,182,Animalia,Chordata,Actinopterygii,Anguilliformes,Ophichthidae,null,N.E.,2015-2
Fis-33219,null,9155,Ahliesaurus,berryi,null,161,Animalia,Chordata,Actinopterygii,Aulopiformes,Notosudidae,null,N.E.,2015-2
Fis-59174,null,25971,Aidablennius,sphynx,null,41,Animalia,Chordata,Actinopterygii,Perciformes,Blenniidae,null,N.E.,2015-2
Fis-149233,null,60866,Aioliops,tetrophthalmus,null,10,Animalia,Chordata,Actinopterygii,Perciformes,Microdesmidae,null,N.E.,2015-2
Fis-26397,null,7093,Akarotaxis,nudiceps,null,54,Animalia,Chordata,Actinopterygii,Perciformes,Bathydraconidae,154740,LC,2015-2
Fis-125488,null,51362,Alabes,dorsalis,Common shore-eel,89,Animalia,Chordata,Actinopterygii,Gobiesociformes,Gobiesocidae,null,N.E.,2015-2
Fis-125495,null,51367,Alabes,hoesei,Dwarf shore-eel,34,Animalia,Chordata,Actinopterygii,Gobiesociformes,Gobiesocidae,null,N.E.,2015-2
Fis-156711,null,62635,Alabes,occidentalis,null,11,Animalia,Chordata,Actinopterygii,Gobiesociformes,Gobiesocidae,null,N.E.,2015-2
Fis-156684,null,27497,Alabes,parvula,Pygmy shore-eel,28,Animalia,Chordata,Actinopterygii,Gobiesociformes,Gobiesocidae,null,N.E.,2015-2
Fis-27016,null,8435,Albatrossia,pectoralis,Giant grenadier,191,Animalia,Chordata,Actinopterygii,Gadiformes,Macrouridae,null,N.E.,2015-2
Fis-142645,null,58326,Albula,argentea,Longjaw bonefish,33,Animalia,Chordata,Actinopterygii,Albuliformes,Albulidae,194298,DD,2015-2
Fis-161121,null,63907,Albula,oligolepis,Smallscale bonefish,16,Animalia,Chordata,Actinopterygii,Albuliformes,Albulidae,194301,DD,2015-2
Fis-150540,null,61290,Alcichthys,elongatus,null,11,Animalia,Chordata,Actinopterygii,Scorpaeniformes,Cottidae,154619,LC,2015-2
Fis-28698,1,12938,Aldrichetta,forsteri,Yellow-eye mullet,185,Animalia,Chordata,Actinopterygii,Mugiliformes,Mugilidae,null,N.E.,2015-2
Fis-26565,null,7502,Aldrovandia,affinis,Gilbert's halosaurid fish,216,Animalia,Chordata,Actinopterygii,Notacanthiformes,Halosauridae,null,N.E.,2015-2
Fis-33132,null,9009,Aldrovandia,gracilis,null,99,Animalia,Chordata,Actinopterygii,Notacanthiformes,Halosauridae,null,N.E.,2015-2
Fis-33133,null,9011,Aldrovandia,oleosa,null,22,Animalia,Chordata,Actinopterygii,Notacanthiformes,Halosauridae,null,N.E.,2015-2
Fis-27254,null,9012,Aldrovandia,phalacra,Hawaiian halosaurid fish,116,Animalia,Chordata,Actinopterygii,Notacanthiformes,Halosauridae,null,N.E.,2015-2
Fis-13508,null,1888,Alectis,alexandrina,Alexandria pompano,109,Animalia,Chordata,Actinopterygii,Perciformes,Carangidae,null,N.E.,2015-2
Fis-22977,null,988,Alectis,ciliaris,African pompano,477,Animalia,Chordata,Actinopterygii,Perciformes,Carangidae,155014,LC,2015-2
Fis-8344,null,10,Alectis,indica,Indian threadfish,101,Animalia,Chordata,Actinopterygii,Perciformes,Carangidae,null,N.E.,2015-2
Fis-24407,null,3772,Alectrias,alectrolophus,Stone cockscomb,22,Animalia,Chordata,Actinopterygii,Perciformes,Stichaeidae,null,N.E.,2015-2
Fis-47256,null,15332,Alepes,apercna,Smallmouth scad,135,Animalia,Chordata,Actinopterygii,Perciformes,Carangidae,null,N.E.,2015-2
Fis-23325,1,1889,Alepes,djedaba,Shrimp scad,118,Animalia,Chordata,Actinopterygii,Perciformes,Carangidae,null,N.E.,2015-2
Fis-142089,1,1903,Alepes,kleinii,Razorbelly scad,76,Animalia,Chordata,Actinopterygii,Perciformes,Carangidae,null,N.E.,2015-2
Fis-29600,1,1890,Alepes,melanoptera,Blackfin scad,49,Animalia,Chordata,Actinopterygii,Perciformes,Carangidae,null,N.E.,2015-2
Fis-23326,null,1891,Alepes,vari,Herring scad,53,Animalia,Chordata,Actinopterygii,Perciformes,Carangidae,155134,LC,2015-2
Fis-29601,1,2728,Alepisaurus,brevirostris,Short snouted lancetfish,162,Animalia,Chordata,Actinopterygii,Aulopiformes,Alepisauridae,null,N.E.,2015-2
Fis-29263,null,99,Alepisaurus,ferox,Long snouted lancetfish,1226,Animalia,Chordata,Actinopterygii,Aulopiformes,Alepisauridae,154820,LC,2015-2
Fis-33231,null,9171,Alepocephalus,agassizii,Agassiz' slickhead,84,Animalia,Chordata,Actinopterygii,Osmeriformes,Alepocephalidae,null,N.E.,2015-2
Fis-33232,null,9172,Alepocephalus,australis,Small scaled brown slickhead,336,Animalia,Chordata,Actinopterygii,Osmeriformes,Alepocephalidae,null,N.E.,2015-2
