"","sciname","fbname","common"
"105","Pseudorca crassidens","false killer whale","false killer whale"
"106","Scarus guacamaia","Rainbow parrotfish","Rainbow parrotfish"
"107","Scomberomorus concolor","Monterey Spanish mackerel","Monterey Spanish mackerel"
"108","Sousa chinensis","Pacific humpback dolphin","Pacific humpback dolphin"
"109","Stenella attenuata","Pantropical spotted dolphin","Pantropical spotted dolphin"
"110","Stenella clymene","Clymene dolphin","Clymene dolphin"
"111","Stenella coeruleoalba","striped dolphin","striped dolphin"
"112","Stenella frontalis","Atlantic spotted dolphin","Atlantic spotted dolphin"
"113","Stenella longirostris","spinner dolphin","spinner dolphin"
"114","Steno bredanensis","rough-toothed dolphin","rough-toothed dolphin"
"115","Takifugu niphobles","null","null"
"116","Takifugu poecilonotus","null","null"
"117","Takifugu xanthopterus","Yellowfin pufferfish","Yellowfin pufferfish"
"118","Tasmacetus shepherdi","Shepherd's beaked whale","Shepherd's beaked whale"
"119","Thalassoma ascensionis","Greenfish","Greenfish"
"120","Thunnus alalunga","Albacore","Albacore"
"121","Thunnus albacares","Yellowfin tuna","Yellowfin tuna"
"122","Thunnus maccoyii","Southern bluefin tuna","Southern bluefin tuna"
"123","Thunnus obesus","Bigeye tuna","Bigeye tuna"
"124","Thunnus thynnus","Atlantic bluefin tuna","Atlantic bluefin tuna"
"125","Torquigener brevipinnis","null","null"
"126","Trichechus manatus","West Indian manatee","West Indian manatee"
"127","Tursiops truncatus","bottlenose dolphin","bottlenose dolphin"
"128","Xiphias gladius","Swordfish","Swordfish"
"129","Ziphius cavirostris","Cuvier's beaked whale","Cuvier's beaked whale"
"130","Dermatolepis inermis","Marbled grouper","Marbled grouper"
"131","Cephalopholis boenak","Chocolate hind","Chocolate hind"
"132","Cromileptes altivelis","Humpback grouper","Humpback grouper"
"133","Indopacetus pacificus","longman's beaked whale","longman's beaked whale"
"134","Arctocephalus forsteri","New Zealand fur seal","New Zealand fur seal"
"135","Zalophus californianus","California sea lion","California sea lion"
"136","Zalophus wollebaeki","Galapagos sea lion","Galapagos sea lion"
"137","Histriophoca fasciata","ribbon seal","ribbon seal"
"138","Pagophilus groenlandicus","harp seal","harp seal"
"139","Pusa hispida","ringed seal","ringed seal"
"140","Eubalaena japonica","North Pacific right whale","North Pacific right whale"
"141","Eubalaena glacialis","North Atlantic right whale","North Atlantic right whale"
"142","Tursiops aduncus","Indian Ocean bottlenose dolphin","Indian Ocean bottlenose dolphin"
"143","Phocoena dioptrica","spectacled porpoise","spectacled porpoise"
"144","Physeter macrocephalus","sperm whale","sperm whale"
"145","Mesoplodon perrini","Perrin's beaked whale","Perrin's beaked whale"
"146","Mesoplodon traversii","spade-toothed beaked whale","spade-toothed beaked whale"
"147","Epinephelus akaara","Hong Kong grouper","Hong Kong grouper"
"148","Dermatolepis striolata","Smooth grouper","Smooth grouper"
"149","Epinephelus fuscoguttatus","Brown-marbled grouper","Brown-marbled grouper"
"150","Epinephelus coioides","Orange-spotted grouper","Orange-spotted grouper"
"151","Hyporthodus quernus","Hawaiian grouper","Hawaiian grouper"
"152","Epinephelus albomarginatus","White-edged grouper","White-edged grouper"
"153","Epinephelus morio","Red grouper","Red grouper"
"154","Mycteroperca tigris","Tiger grouper","Tiger grouper"
"155","Mycteroperca venenosa","Yellowfin grouper","Yellowfin grouper"
"156","Plectropomus leopardus","Leopard coralgrouper","Leopard coralgrouper"
"157","Epinephelus cifuentesi","Olive grouper","Olive grouper"
"158","Epinephelus awoara","Yellow grouper","Yellow grouper"
"159","Epinephelus daemelii","Saddletail grouper","Saddletail grouper"
"160","Epinephelus malabaricus","Malabar grouper","Malabar grouper"
"161","Epinephelus polyphekadion","Camouflage grouper","Camouflage grouper"
"162","Bolbometopon muricatum","Green humphead parrotfish","Green humphead parrotfish"
"163","Epinephelus bruneus","Longtooth grouper","Longtooth grouper"
"164","Hyporthodus flavolimbatus","Yellowedge grouper","Yellowedge grouper"
"165","Epinephelus timorensis","Yellowspotted grouper","Yellowspotted grouper"
"166","Epinephelus tuamotuensis","Reticulate grouper","Reticulate grouper"
"167","Epinephelus undulatostriatus","Maori grouper","Maori grouper"
"168","Mycteroperca interstitialis","Yellowmouth grouper","Yellowmouth grouper"
"169","Plectropomus areolatus","Squaretail coralgrouper","Squaretail coralgrouper"
"170","Plectropomus laevis","Blacksaddled coralgrouper","Blacksaddled coralgrouper"
"171","Epinephelus aeneus","White grouper","White grouper"
"172","Epinephelus maculatus","Highfin grouper","Highfin grouper"
"173","Cephalopholis aurantia","Golden hind","Golden hind"
"174","Epinephelus flavocaeruleus","Blue-and-yellow grouper","Blue-and-yellow grouper"
"175","Paranthias furcifer","Creole-fish","Creole-fish"
"176","Epinephelus summana","Summan grouper","Summan grouper"
"177","Mycteroperca phenax","Scamp","Scamp"
"178","Hyporthodus acanthistius","Rooster hind","Rooster hind"
"179","Cephalopholis miniata","Coral hind","Coral hind"
"180","Cephalopholis panamensis","Pacific graysby","Pacific graysby"
"181","Hyporthodus niphobles","Star-studded grouper","Star-studded grouper"
"182","Epinephelus latifasciatus","Striped grouper","Striped grouper"
"183","Epinephelus rivulatus","Halfmoon grouper","Halfmoon grouper"
"184","Cephalopholis leopardus","Leopard hind","Leopard hind"
"185","Variola louti","Yellow-edged lyretail","Yellow-edged lyretail"
"186","Epinephelus undulosus","Wavy-lined grouper","Wavy-lined grouper"
"187","Cephalopholis sexmaculata","Sixblotch hind","Sixblotch hind"
"188","Cephalopholis nigri","Niger hind","Niger hind"
"189","Cephalopholis formosa","Bluelined hind","Bluelined hind"
"190","Epinephelus morrhua","Comet grouper","Comet grouper"
"191","Epinephelus melanostigma","One-blotch grouper","One-blotch grouper"
"192","Epinephelus spilotoceps","Foursaddle grouper","Foursaddle grouper"
"193","Epinephelus longispinis","Longspine grouper","Longspine grouper"
"194","Epinephelus stictus","Black-dotted grouper","Black-dotted grouper"
"195","Epinephelus coeruleopunctatus","Whitespotted grouper","Whitespotted grouper"
"196","Epinephelus bilobatus","Twinspot grouper","Twinspot grouper"
"197","Epinephelus polylepis","Smallscaled grouper","Smallscaled grouper"
"198","Alphestes immaculatus","Pacific mutton hamlet","Pacific mutton hamlet"
"199","Epinephelus radiatus","Oblique-banded grouper","Oblique-banded grouper"
"200","Epinephelus miliaris","Netfin grouper","Netfin grouper"
"201","Cephalopholis sonnerati","Tomato hind","Tomato hind"
"202","Epinephelus tauvina","Greasy grouper","Greasy grouper"
"203","Cephalopholis hemistiktos","Yellowfin hind","Yellowfin hind"
"204","Epinephelus faveatus","Barred-chest grouper","Barred-chest grouper"
"205","Cephalopholis cruentata","Graysby","Graysby"
"206","Epinephelus costae","Goldblotch grouper","Goldblotch grouper"
"207","Epinephelus corallicola","Coral grouper","Coral grouper"
"208","Alphestes afer","Mutton hamlet","Mutton hamlet"
"209","Epinephelus goreensis","Dungat grouper","Dungat grouper"
"210","Epinephelus macrospilos","Snubnose grouper","Snubnose grouper"
"211","Dermatolepis dermatolepis","Leather bass","Leather bass"
"212","Epinephelus fasciatomaculosus","Rock grouper","Rock grouper"
"213","Gonioplectrus hispanus","Spanish flag","Spanish flag"
"214","Hyporthodus octofasciatus","Eightbar grouper","Eightbar grouper"
"215","Epinephelus tukula","Potato grouper","Potato grouper"
"216","Epinephelus areolatus","Areolate grouper","Areolate grouper"
"217","Plectropomus pessuliferus","Roving coralgrouper","Roving coralgrouper"
"218","Plectropomus oligacanthus","Highfin coralgrouper","Highfin coralgrouper"
"219","Epinephelus diacanthus","Spinycheek grouper","Spinycheek grouper"
"220","Epinephelus hexagonatus","Starspotted grouper","Starspotted grouper"
"221","Cephalopholis oligosticta","Vermilion hind","Vermilion hind"
"222","Epinephelus sexfasciatus","Sixbar grouper","Sixbar grouper"
"223","Cephalopholis argus","Peacock hind","Peacock hind"
"224","Cephalopholis aitha","Rusty hind","Rusty hind"
"225","Cephalopholis urodeta","Darkfin hind","Darkfin hind"
"226","Epinephelus magniscuttis","Speckled grouper","Speckled grouper"
"227","Epinephelus erythrurus","Cloudy grouper","Cloudy grouper"
"228","Cephalopholis nigripinnis","Blackfin grouper","Blackfin grouper"
"229","Anyperodon leucogrammicus","Slender grouper","Slender grouper"
"230","Epinephelus merra","Honeycomb grouper","Honeycomb grouper"
"231","Cephalopholis microprion","Freckled hind","Freckled hind"
"232","Triso dermopterus","Oval grouper","Oval grouper"
"233","Cephalopholis igarashiensis","Garish hind","Garish hind"
"234","Epinephelus stoliczkae","Epaulet grouper","Epaulet grouper"
"235","Epinephelus retouti","Red-tipped grouper","Red-tipped grouper"
"236","Hyporthodus ergastularius","Sevenbar grouper","Sevenbar grouper"
"237","Epinephelus caninus","Dogtooth grouper","Dogtooth grouper"
"238","Epinephelus heniochus","Bridled grouper","Bridled grouper"
"239","Epinephelus quoyanus","Longfin grouper","Longfin grouper"
"240","Gracila albomarginata","Masked grouper","Masked grouper"
"241","Plectropomus punctatus","Marbled coralgrouper","Marbled coralgrouper"
"242","Epinephelus poecilonotus","Dot-dash grouper","Dot-dash grouper"
"243","Cephalopholis polyspila","null","null"
"244","Epinephelus ongus","White-streaked grouper","White-streaked grouper"
"245","Cephalopholis polleni","Harlequin hind","Harlequin hind"
"246","Cephalopholis fulva","Coney","Coney"
"247","Hyporthodus septemfasciatus","Convict grouper","Convict grouper"
"248","Cephalopholis cyanostigma","Bluespotted hind","Bluespotted hind"
"249","Variola albimarginata","White-edged lyretail","White-edged lyretail"
"250","Mycteroperca xenarcha","Broomtail grouper","Broomtail grouper"
"251","Epinephelus amblycephalus","Banded grouper","Banded grouper"
"252","Epinephelus bontoides","Palemargin grouper","Palemargin grouper"
"253","Epinephelus cyanopodus","Speckled blue grouper","Speckled blue grouper"
"254","Saloptia powelli","Golden grouper","Golden grouper"
"255","Epinephelus fasciatus","Blacktip grouper","Blacktip grouper"
"256","Plectropomus maculatus","Spotted coralgrouper","Spotted coralgrouper"
"257","Epinephelus adscensionis","Rock hind","Rock hind"
"258","Cephalopholis taeniops","Bluespotted seabass","Bluespotted seabass"
"259","Paranthias colonus","Pacific creole-fish","Pacific creole-fish"
"260","Epinephelus chlorostigma","Brownspotted grouper","Brownspotted grouper"
"261","Cephalopholis spiloparaea","Strawberry hind","Strawberry hind"
"262","Epinephelus bleekeri","Duskytail grouper","Duskytail grouper"
"263","Hyporthodus mystacinus","Misty grouper","Misty grouper"
"264","Hyporthodus haifensis","Haifa grouper","Haifa grouper"
"265","Epinephelus howlandi","Blacksaddle grouper","Blacksaddle grouper"
"266","Mycteroperca acutirostris","Comb grouper","Comb grouper"
"267","Oulastrea crispata","null","null"
"268","Psammocora stellata","null","null"
"269","Acropora prostrata","null","null"
"270","Montipora angulata","null","null"
"271","Acropora florida","branch coral","branch coral"
"272","Pectinia elongata","null","null"
"273","Scolymia lacera","Atlantic mushroom coral","Atlantic mushroom coral"
"274","Pocillopora kelleheri","null","null"
"275","Leptoseris tubulifera","null","null"
"276","Fungia fralinae","null","null"
"277","Favia maxima","null","null"
"278","Pavona venosa","null","null"
"279","Goniastrea australensis","lesser star coral","lesser star coral"
"280","Colpophyllia natans","boulder brain coral","boulder brain coral"
"281","Leptoseris hawaiiensis","porcelain coral","porcelain coral"
"282","Acropora seriata","null","null"
"283","Montipora hodgsoni","null","null"
"284","Favia veroni","null","null"
"285","Symphyllia radians","null","null"
"286","Fungia puishani","null","null"
"287","Leptoseris solida","null","null"
"288","Acropora irregularis","null","null"
"289","Acropora rosaria","null","null"
"290","Acropora turaki","null","null"
"291","Pavona maldivensis","null","null"
"292","Siderastrea stellata","null","null"
"293","Turbinaria irregularis","null","null"
"294","Gardineroseris planulata","honeycomb coral","honeycomb coral"
"295","Montastrea curta",NA,"Montastrea curta"
"296","Pocillopora woodjonesi","null","null"
"297","Leptoseris striata","null","null"
"298","Pectinia lactuca","lettuce coral","lettuce coral"
"299","Acropora willisae","null","null"
"300","Acropora carduus","null","null"
"301","Acropora plumosa","null","null"
"302","Favia pallida",NA,"Favia pallida"
"303","Acropora acuminata","null","null"
"304","Indophyllia macassarensis","null","null"
"305","Montipora patula","null","null"
"306","Porites colonensis","honeycomb plate coral","honeycomb plate coral"
"307","Acropora lianae","null","null"
"308","Acropora macrostoma","null","null"
"309","Turbinaria bifrons","null","null"
"310","Symphyllia erythraea","null","null"
"311","Manicina areolata","rose coral","rose coral"
"312","Euphyllia yaeyamaensis","null","null"
"313","Halomitra clavator","null","null"
"314","Acropora listeri","null","null"
"315","Agaricia lamarcki","Lamarck's sheet coral","Lamarck's sheet coral"
"316","Acropora paniculata","null","null"
"317","Plerogyra discus","null","null"
"318","Montipora stilosa","null","null"
"319","Leptoria phrygia","null","null"
"320","Leptastrea bottae","null","null"
"321","Acropora derawanensis","null","null"
"322","Echinopora gemmacea","null","null"
"323","Acropora longicyathus","null","null"
"324","Acropora multiacuta","white Acropora","white Acropora"
"325","Coscinaraea crassa","null","null"
"326","Acropora humilis","finger coral","finger coral"
"327","Fungia seychellensis","null","null"
"328","Acropora ocellata","null","null"
"329","Seriatopora stellata","null","null"
"330","Leptastrea bewickensis","null","null"
"331","Simplastrea vesicularis","null","null"
"332","Acropora palmata","elkhorn coral","elkhorn coral"
"333","Montipora malampaya","null","null"
"334","Fungia spinifer","null","null"
"335","Pocillopora ankeli","null","null"
"336","Acropora grandis","null","null"
"337","Acropora minuta","null","null"
"338","Acropora tenuis","null","null"
"339","Porites lichen","lichen coral","lichen coral"
"340","Merulina scabricula","crispy crust coral","crispy crust coral"
"341","Acropora vaughani","null","null"
"342","Mycedium mancaoi","null","null"
"343","Favia rotumana","null","null"
"344","Montipora effusa","null","null"
"345","Lobophyllia flabelliformis","null","null"
"346","Acropora pulchra","null","null"
"347","Fungia fragilis",NA,"Fungia fragilis"
"348","Mycetophyllia reesi","ridgeless cactus coral","ridgeless cactus coral"
"349","Porites nigrescens","null","null"
"350","Psammocora digitata","null","null"
"351","Pocillopora ligulata","null","null"
"352","Anacropora spinosa","null","null"
"353","Scolymia cubensis","artichoke coral","artichoke coral"
"354","Favites halicora","null","null"
"355","Euphyllia paradivisa","null","null"
"356","Echinophyllia echinata","null","null"
"357","Platygyra verweyi","null","null"
"358","Montipora florida","null","null"
"359","Montipora informis","null","null"
"360","Montastrea colemani","montastrea coral","montastrea coral"
"361","Montipora foliosa","null","null"
"362","Lobophyllia robusta","lobed cactus coral","lobed cactus coral"
"363","Acropora kirstyae","null","null"
"364","Porites lutea","null","null"
"365","Barabattoia amicorum","basket coral","basket coral"
"366","Acropora subglabra","null","null"
"367","Echinopora lamellosa","null","null"
"368","Echinophyllia patula","null","null"
"369","Leptastrea purpurea","null","null"
"370","Astreopora incrustans","null","null"
"371","Psammocora nierstraszi","null","null"
"372","Porites columnaris","null","null"
"373","Pocillopora danae","null","null"
"374","Pocillopora elegans","null","null"
"375","Agaricia undata","scroll coral","scroll coral"
"376","Dichocoenia stokesii",NA,"Dichocoenia stokesii"
"377","Acanthastrea hillae","null","null"
"378","Galaxea acrhelia","null","null"
"379","Ctenactis crassa","null","null"
"380","Montipora saudii","null","null"
"381","Acropora caroliniana","null","null"
"382","Montipora cactus","null","null"
"383","Acropora retusa","null","null"
"384","Acropora latistella","null","null"
"385","Siderastrea glynni","null","null"
"386","Acropora plantaginea","null","null"
"387","Dendrogyra cylindrus","pillar coral","pillar coral"
"388","Acropora fenneri","null","null"
"389","Symphyllia valenciennesii","null","null"
"390","Acropora pruinosa","null","null"
"391","Astreopora ocellata","null","null"
"392","Montipora friabilis","null","null"
"393","Acropora aspera","green staghorn coral","green staghorn coral"
"394","Acropora abrolhosensis","null","null"
"395","Montastraea annularis","Carribean star coral","Carribean star coral"
"396","Isopora palifera","catch bowl coral","catch bowl coral"
"397","Cladocora caespitosa","null","null"
"398","Millepora alcicornis","fire coral","fire coral"
"399","Stylocoeniella cocosensis","null","null"
"400","Ctenactis echinata","rough feather coral","rough feather coral"
"401","Favia lacuna","null","null"
"402","Lobophyllia pachysepta","null","null"
"403","Scolymia vitiensis","null","null"
"404","Podabacia crustacea","bracket coral","bracket coral"
"405","Acropora austera","null","null"
"406","Platygyra contorta","null","null"
"407","Oculina varicosa","fused ivory tree coral","fused ivory tree coral"
"408","Stylophora mamillata","null","null"
"409","Echinophyllia aspera","flat lettuce coral","flat lettuce coral"
"410","Montipora efflorescens","null","null"
"411","Coscinaraea exesa","null","null"
"412","Turbinaria patula","disc coral","disc coral"
"413","Montastrea annuligera",NA,"Montastrea annuligera"
"414","Isopora brueggemanni","null","null"
"415","Fungia granulosa","null","null"
"416","Mussismilia hispida","null","null"
"417","Montipora floweri","null","null"
"418","Oxypora glabra","porous lettuce coral","porous lettuce coral"
"419","Heliopora coerulea","blue coral","blue coral"
"420","Montipora digitata","null","null"
"421","Acropora appressa","null","null"
"422","Pocillopora verrucosa","rasp coral","rasp coral"
"423","Oulophyllia crispa","null","null"
"424","Fungia scutaria",NA,"Fungia scutaria"
"425","Acropora tenella","null","null"
"426","Acropora roseni","null","null"
"427","Favites pentagona","null","null"
"428","Favia speciosa","null","null"
"429","Oculina diffusa","diffuse ivory bush coral","diffuse ivory bush coral"
"430","Lithophyllon undulatum","stone leaf coral","stone leaf coral"
"431","Fungia tenuis","null","null"
"432","Porites lobata","lobe coral","lobe coral"
"433","Meandrina danae","null","null"
"434","Pachyseris foliosa","null","null"
"435","Nemenzophyllia turbida","null","null"
"436","Montipora caliculata","null","null"
"437","Pocillopora damicornis","Cauliflower coral","Cauliflower coral"
"438","Acropora donei","null","null"
"439","Astreopora expansa","null","null"
"440","Diploastrea heliopora","double star coral","double star coral"
"441","Acropora kimbeensis","pink-tip Acropora","pink-tip Acropora"
"442","Galaxea paucisepta","null","null"
"443","Montastraea cavernosa","great star coral","great star coral"
"444","Montipora hispida","null","null"
"445","Acropora nasuta","null","null"
"446","Pavona clavus","null","null"
"447","Pavona frondifera","leaf coral","leaf coral"
"448","Favites flexuosa","null","null"
"449","Acanthastrea echinata","null","null"
"450","Acropora robusta","green robusta","green robusta"
"451","Acropora digitifera","null","null"
"452","Stylophora wellsi","null","null"
"453","Acropora tortuosa","cali tort","cali tort"
"454","Blastomussa wellsi","null","null"
"455","Agaricia humilis","low-life lettuce coral","low-life lettuce coral"
"456","Euphyllia glabrescens","brain trumpet coral","brain trumpet coral"
"457","Plerogyra sinuosa","rounded bubblegum coral","rounded bubblegum coral"
"458","Trachyphyllia geoffroyi","null","null"
"459","Pavona danai","null","null"
"460","Astreopora listeri","starflower coral","starflower coral"
"461","Micromussa diminuta","null","null"
"462","Heliofungia actiniformis","long tentacle plate coral","long tentacle plate coral"
"463","Acropora sarmentosa","blue sarmentosa","blue sarmentosa"
"464","Pectinia paeonia","null","null"
"465","Porites australiensis","null","null"
"466","Madracis formosa","eight-ray finger coral","eight-ray finger coral"
"467","Acropora batunai","null","null"
"468","Plesiastrea versipora","null","null"
"469","Euphyllia paraancora","null","null"
"470","Favites abdita","null","null"
"471","Acropora striata","null","null"
"472","Astreopora myriophthalma","null","null"
"473","Montipora turgescens","null","null"
"474","Astreopora gracilis","null","null"
"475","Lobophyllia hataii","null","null"
"476","Montipora verrilli","null","null"
"477","Favia rotundata","null","null"
"478","Fungia scruposa",NA,"Fungia scruposa"
"479","Pocillopora inflata","null","null"
"480","Acropora halmaherae","null","null"
"481","Acropora cytherea","null","null"
"482","Acropora monticulosa","null","null"
"483","Acropora horrida","blue staghorn","blue staghorn"
"484","Acropora solitaryensis","null","null"
"485","Acropora gemmifera","null","null"
"486","Cyphastrea chalcidicum","null","null"
"487","Acropora lovelli","cats paw","cats paw"
"488","Porites stephensoni","null","null"
"489","Oulophyllia bennettae","intermediate valley coral","intermediate valley coral"
"490","Acropora branchi","null","null"
"491","Merulina ampliata","Merulina coral","Merulina coral"
"492","Symphyllia wilsoni","null","null"
"493","Favites russelli","null","null"
"494","Podabacia sinai","null","null"
"495","Montipora tuberculosa","null","null"
"496","Acropora variolosa","null","null"
"497","Porites compressa","null","null"
"498","Leptoseris mycetoseroides","slender lettuce coral","slender lettuce coral"
"499","Acropora gomezi","null","null"
"500","Acropora microclados","strawberry shortcake Acropora","strawberry shortcake Acropora"
"501","Pavona bipartita","null","null"
"502","Goniastrea edwardsi","null","null"
"503","Acanthastrea lordhowensis","closed brain coral","closed brain coral"
"504","Porites profundus","null","null"
"505","Fungia distorta","null","null"
"506","Polyphyllia novaehiberniae","Joker's boomerang coral","Joker's boomerang coral"
"507","Montipora corbettensis","null","null"
"508","Acanthastrea ishigakiensis","null","null"
"509","Diploria clivosa","knobby brain coral","knobby brain coral"
"510","Acropora convexa","null","null"
"511","Acropora cervicornis","staghorn coral","staghorn coral"
"512","Acanthastrea rotundoflora","null","null"
"513","Acropora globiceps","null","null"
"514","Favia laxa","null","null"
"515","Acropora teres","null","null"
"516","Porites porites","club tip finger coral","club tip finger coral"
"517","Acropora desalwii","null","null"
"518","Pavona varians","null","null"
"519","Eusmilia fastigiata","smooth flower coral","smooth flower coral"
"520","Acropora hoeksemai","null","null"
"521","Acropora squarrosa","null","null"
"522","Turbinaria stellulata","null","null"
"523","Caulastrea tumida","null","null"
