iucn_sid,am_sid,sciname,spp_group_text,common,name
154676,Fis-21841,Scarus prasiognathos,Wrasses,Singapore Parrotfish,Singapore Parrotfish
154734,Fis-26110,Pagrus auratus,Seabreams/Porgies,Silver Seabream,Silver Seabream
154760,Fis-31484,Chromis alpha,Damselfish,Yellow-Speckled Chromis,Yellow-Speckled Chromis
154788,Fis-31453,Hemitaurichthys thompsoni,Butterflyfish,Thompson's Butterflyfish,Thompson's Butterflyfish
154812,Fis-31865,Amphiprion sandaracinos,Damselfish,Yellow Clownfish,Yellow Clownfish
154829,Fis-128246,Parablennius yatabei,Combtooth Blennies,Null,Parablennius yatabei
154915,Fis-27908,Teixeirichthys jordani,Damselfish,Jordan's Damsel,Jordan's Damsel
154946,Fis-29512,Scomberomorus queenslandicus,Tunas/Billfish,Queensland School Mackerel,Queensland School Mackerel
154947,Fis-35292,Ecsenius trilineatus,Combtooth Blennies,Three-Lined Blenny,Three-Lined Blenny
154971,Fis-26763,Scarus viridifucatus,Wrasses,Roundhead Parrotfish,Roundhead Parrotfish
155029,Fis-32512,Salarias ceramensis,Combtooth Blennies,Seram Blenny,Seram Blenny
155079,Fis-28707,Torquigener tuberculiferus,Pufferfish,Null,Torquigener tuberculiferus
155096,Fis-22818,Sarda sarda,Tunas/Billfish,Atlantic Bonito,Atlantic Bonito
155108,Fis-138844,Omobranchus rotundiceps,Combtooth Blennies,Rotund Blenny,Rotund Blenny
155120,Fis-25960,Naso vlamingii,Surgeons/Tangs/Unicornfish,Bignose Unicornfish,Bignose Unicornfish
155186,Fis-25099,Cirripectes filamentosus,Combtooth Blennies,Filamentous Blenny,Filamentous Blenny
155193,Fis-27747,Coradion melanopus,Butterflyfish,Twospot Coralfish,Twospot Coralfish
155220,Fis-22163,Chaetodon sedentarius,Butterflyfish,Reef Butterflyfish,Reef Butterflyfish
155221,Fis-138816,Halichoeres papilionaceus,Wrasses,Weed Wrasse,Weed Wrasse
155276,Fis-22834,Thunnus atlanticus,Tunas/Billfish,Blackfin Tuna,Blackfin Tuna
155308,Fis-26704,Centropyge loricula,Angelfish,NA,Centropyge loricula
165607,Fis-32633,Chaetodon falcula,Butterflyfish,Blackwedged Butterflyfish,Blackwedged Butterflyfish
165619,Fis-32530,Chaetodon guttatissimus,Butterflyfish,Peppered Butterflyfish,Peppered Butterflyfish
165623,Fis-31439,Chaetodon octofasciatus,Butterflyfish,Eightband Butterflyfish,Eightband Butterflyfish
165630,Fis-31451,Chaetodon vagabundus,Butterflyfish,Vagabond Butterflyfish,Vagabond Butterflyfish
165641,Fis-31874,Chaetodon ornatissimus,Butterflyfish,Ornate Butterflyfish,Ornate Butterflyfish
165649,Fis-58068,Chaetodon gardineri,Butterflyfish,Gardner's Butterflyfish,Gardner's Butterflyfish
165657,Fis-31895,Chaetodon plebeius,Butterflyfish,Blueblotch Butterflyfish,Blueblotch Butterflyfish
165659,Fis-25650,Chelmon rostratus,Butterflyfish,Copperband Butterflyfish,Copperband Butterflyfish
165673,Fis-31448,Chaetodon trifasciatus,Butterflyfish,Melon Butterflyfish,Melon Butterflyfish
165683,Fis-32521,Heniochus diphreutes,Butterflyfish,False Moorish Idol,False Moorish Idol
165711,Fis-31861,Chaetodon adiergastos,Butterflyfish,Philippine Butterflyfish,Philippine Butterflyfish
165828,Fis-26703,Centropyge fisheri,Angelfish,Orange Angelfish,Orange Angelfish
165829,Fis-25750,Pomacanthus xanthometopon,Angelfish,Yellowface Angelfish,Yellowface Angelfish
165835,Fis-26169,Apolemichthys trimaculatus,Angelfish,Threespot Angelfish,Threespot Angelfish
165840,Fis-26189,Pomacanthus sexstriatus,Angelfish,Sixbar Angelfish,Sixbar Angelfish
165848,Fis-31480,Centropyge heraldi,Angelfish,Yellow Angelfish,Yellow Angelfish
165849,Fis-143219,Centropyge ferrugata,Angelfish,Rusty Angelfish,Rusty Angelfish
165860,Fis-59453,Centropyge vrolikii,Angelfish,Pearlscale Angelfish,Pearlscale Angelfish
165865,Fis-34233,Centropyge aurantonotus,Angelfish,Flameback Angelfish,Flameback Angelfish
165876,Fis-26182,Centropyge multispinis,Angelfish,Dusky Angelfish,Dusky Angelfish
169951,ITS-199949,Panulirus penicillatus,Lobsters,Pronghorn Spiny Lobster,Pronghorn Spiny Lobster
169954,ITS-199950,Scyllarides haanii,Lobsters,Aesop Slipper Lobster,Aesop Slipper Lobster
169955,ITS-97315,Homarus gammarus,Lobsters,European Lobster,European Lobster
169967,ITS-97317,Nephrops norvegicus,Lobsters,Norway Lobster,Norway Lobster
169968,ITS-552982,Panulirus versicolor,Lobsters,Painted Spiny Lobster,Painted Spiny Lobster
169974,ITS-552922,Nephropsis stewarti,Lobsters,Indian Ocean Lobsterette,Indian Ocean Lobsterette
169978,Chn-b75cc929-1ac6-410b-888c-9ab8e709b6d0,Scammarctus batei,Lobsters,Null,Scammarctus batei
169979,ITS-553055,Thenus orientalis,Lobsters,Flathead Lobster,Flathead Lobster
170026,ITS-553010,Ibacus brevipes,Lobsters,Serrate Fan Lobster,Serrate Fan Lobster
170306,Fis-29507,Scomber japonicus,Tunas/Billfish,Chub Mackerel,Chub Mackerel
170313,Fis-22817,Sarda orientalis,Tunas/Billfish,Striped Bonito,Striped Bonito
170330,Fis-29510,Scomberomorus munroi,Tunas/Billfish,Australian Spotted Mackerel,Australian Spotted Mackerel
170345,Fis-22759,Euthynnus alletteratus,Tunas/Billfish,Little Tunny,Little Tunny
170358,Fis-21662,Grammatorcynus bilineatus,Tunas/Billfish,Double-Lined Mackerel,Double-Lined Mackerel
176704,Rep-383,Aipysurus laevis,Reptiles,Olive-Brown Seasnake,Olive-Brown Seasnake
176708,SLB-88859,Astrotia stokesii,Reptiles,Stokes' Sea Snake,Stokes' Sea Snake
176715,Rep-6233,Hydrophis caerulescens,Reptiles,Dwarf Seasnake,Dwarf Seasnake
176719,SLB-88877,Enhydrina schistosa,Reptiles,Beaked Sea Snake,Beaked Sea Snake
177950,Fis-23658,Naso lituratus,Surgeons/Tangs/Unicornfish,Orangespine Unicornfish,Orangespine Unicornfish
177951,Fis-146734,Naso tonganus,Surgeons/Tangs/Unicornfish,Bulbnose Unicornfish,Bulbnose Unicornfish
177953,Fis-29261,Acanthurus coeruleus,Surgeons/Tangs/Unicornfish,Blue Tang Surgeonfish,Blue Tang Surgeonfish
177959,Fis-31083,Acanthurus fowleri,Surgeons/Tangs/Unicornfish,Fowler's Surgeonfish,Fowler's Surgeonfish
177962,Fis-32459,Naso fageni,Surgeons/Tangs/Unicornfish,Horseface Unicornfish,Horseface Unicornfish
177971,Fis-31087,Acanthurus blochii,Surgeons/Tangs/Unicornfish,Ringtail Surgeonfish,Ringtail Surgeonfish
177972,Fis-25955,Paracanthurus hepatus,Surgeons/Tangs/Unicornfish,Palette Surgeonfish,Palette Surgeonfish
177977,Fis-53679,Acanthurus japonicus,Surgeons/Tangs/Unicornfish,Japan Surgeonfish,Japan Surgeonfish
177992,Fis-145167,Ctenochaetus truncatus,Surgeons/Tangs/Unicornfish,Indian Gold-Ring Bristle-Tooth,Indian Gold-Ring Bristle-Tooth
178017,Fis-31084,Acanthurus nigricauda,Surgeons/Tangs/Unicornfish,Epaulette Surgeonfish,Epaulette Surgeonfish
180246,W-Hol-732226,Holothuria difficilis,Sea Cucumbers,Null,Holothuria difficilis
180248,W-Hol-210772,Pearsonothuria graeffei,Sea Cucumbers,Blackspotted Sea Cucumber,Blackspotted Sea Cucumber
180326,SLB-65999,Holothuria nobilis,Sea Cucumbers,Black Teatfish,Black Teatfish
180337,SLB-88333,Actinopyga mauritiana,Sea Cucumbers,Surf Redfish,Surf Redfish
180400,SLB-88369,Holothuria edulis,Sea Cucumbers,Pinkfish,Pinkfish
180414,SLB-88397,Holothuria fuscopunctata,Sea Cucumbers,Elephant Trunkfish,Elephant Trunkfish
180443,SLB-92934,Holothuria rigida,Sea Cucumbers,Rigid Sea Cucumber,Rigid Sea Cucumber
180481,W-Hol-210916,Thelenota ananas,Sea Cucumbers,Prickly Redfish,Prickly Redfish
180504,SLB-169637,Holothuria cinerascens,Sea Cucumbers,Null,Holothuria cinerascens
185031,SLB-184850,Acantharctus ornatus,Lobsters,Null,Acantharctus ornatus
185067,SLB-184805,Polycheles tanneri,Lobsters,Null,Polycheles tanneri
185077,SLB-184857,Bathyarctus faxoni,Lobsters,Null,Bathyarctus faxoni
187368,Fis-161650,Bodianus dictynna,Wrasses,Redfin Hogfish,Redfin Hogfish
187384,Fis-25705,Cheilinus chlorourus,Wrasses,Floral Wrasse,Floral Wrasse
187395,Fis-146180,Iniistius aneitensis,Wrasses,Yellowblotch Razorfish,Yellowblotch Razorfish
187397,Fis-3208,Labrus mixtus,Wrasses,Cuckoo Wrasse,Cuckoo Wrasse
187403,Fis-31115,Paracheilinus filamentosus,Wrasses,Filamentous Wrasse,Filamentous Wrasse
187411,Fis-146179,Iniistius pentadactylus,Wrasses,Fivefinger Wrasse,Fivefinger Wrasse
187419,Fis-27838,Choerodon zamboangae,Wrasses,Purple Eyebrowed Tuskfish,Purple Eyebrowed Tuskfish
187423,Fis-47538,Oxycheilinus orientalis,Wrasses,Oriental Maori Wrasse,Oriental Maori Wrasse
187430,Fis-27963,Choerodon cephalotes,Wrasses,Purple Tuskfish,Purple Tuskfish
187497,Fis-31127,Labropsis xanthonota,Wrasses,Yellowback Tubelip,Yellowback Tubelip
187507,Fis-31476,Halichoeres richmondi,Wrasses,Richmond's Wrasse,Richmond's Wrasse
187511,Fis-28602,Choerodon fasciatus,Wrasses,Harlequin Tuskfish,Harlequin Tuskfish
187515,Fis-21695,Halichoeres podostigma,Wrasses,Axil Spot  Wrasse,Axil Spot  Wrasse
187545,Fis-21694,Halichoeres timorensis,Wrasses,Timor Wrasse,Timor Wrasse
187562,Fis-25105,Suezichthys gracilis,Wrasses,Slender Wrasse,Slender Wrasse
187600,Fis-142138,Halichoeres nigrescens,Wrasses,Bubblefin Wrasse,Bubblefin Wrasse
187655,Fis-166560,Iniistius melanopus,Wrasses,Yellowpatch Razorfish,Yellowpatch Razorfish
187664,Fis-26673,Coris formosa,Wrasses,Queen Coris,Queen Coris
187672,Fis-23397,Bodianus rufus,Wrasses,Spanish Hogfish,Spanish Hogfish
187688,Fis-28151,Pseudocoris heteroptera,Wrasses,Torpedo Wrasse,Torpedo Wrasse
187696,Fis-25198,Xyrichtys novacula,Wrasses,Pearly Razorfish,Pearly Razorfish
187699,Fis-163003,Halichoeres claudia,Wrasses,Claudia's Wrasse,Claudia's Wrasse
187701,Fis-25355,Xenojulis margaritaceus,Wrasses,Finspot Wrasse,Finspot Wrasse
187720,Fis-145583,Choerodon sugillatum,Wrasses,Wedge-Tailed Tuskfish,Wedge-Tailed Tuskfish
187733,Fis-25738,Thalassoma quinquevittatum,Wrasses,Fivestripe Wrasse,Fivestripe Wrasse
187740,Fis-31469,Pseudocheilinus tetrataenia,Wrasses,Four-Lined Wrasse,Four-Lined Wrasse
187744,Fis-28609,Bodianus loxozonus,Wrasses,Blackfin Hogfish,Blackfin Hogfish
187768,Fis-35326,Macropharyngodon ornatus,Wrasses,False Leopard,False Leopard
187809,Fis-32762,Xiphocheilus typus,Wrasses,Blue-Banded Wrasse,Blue-Banded Wrasse
190688,Fis-25078,Calotomus carolinus,Wrasses,Carolines Parrotfish,Carolines Parrotfish
190694,Fis-21840,Scarus globiceps,Wrasses,Globehead Parrotfish,Globehead Parrotfish
190728,Fis-5683,Chlorurus microrhinos,Wrasses,Steephead Parrots,Steephead Parrots
190739,Fis-21826,Scarus dimidiatus,Wrasses,Yellowbarred Parrotfish,Yellowbarred Parrotfish
190746,Fis-119366,Chlorurus oedema,Wrasses,Knothead Parrotfish,Knothead Parrotfish
191823,Fis-2518,Megalops atlanticus,Bonefish/Tarpon,Tarpon,Tarpon
192269,W-Msc-428185,Conus lischkeanus,Cone snails,Lischke's Cone,Lischke's Cone
192276,W-Msc-428247,Conus praecellens,Cone snails,Sowerby's Cone,Sowerby's Cone
192296,W-Msc-215478,Conus sanguinolentus,Cone snails,Blood-Stained Cone,Blood-Stained Cone
192297,W-Msc-215495,Conus bullatus,Cone snails,Bubble Cone,Bubble Cone
192298,W-Msc-215517,Conus betulinus,Cone snails,Beech Cone,Beech Cone
192304,W-Msc-426441,Conus capitanellus,Cone snails,Null,Conus capitanellus
192323,W-Msc-215532,Conus milneedwardsi,Cone snails,Null,Conus milneedwardsi
192342,W-Msc-215514,Conus emaciatus,Cone snails,False Virgin Cone,False Virgin Cone
192380,SLB-120088,Conus floridulus,Cone snails,Null,Conus floridulus
192383,W-Msc-426315,Conus ammiralis,Cone snails,Admiral Cone,Admiral Cone
192505,W-Msc-428144,Conus granum,Cone snails,Null,Conus granum
192507,W-Msc-215525,Conus capitaneus,Cone snails,Captain Cone,Captain Cone
192563,W-Msc-215471,Conus aulicus,Cone snails,Princely Cone,Princely Cone
192590,W-Msc-215533,Conus miliaris,Cone snails,Thousand-Spot Cone,Thousand-Spot Cone
192611,W-Msc-215436,Conus ebraeus,Cone snails,Hebrew Cone,Hebrew Cone
192664,W-Msc-215455,Conus episcopatus,Cone snails,Null,Conus episcopatus
192699,W-Msc-215543,Conus striatellus,Cone snails,Lineated Cone,Lineated Cone
192700,W-Msc-215559,Conus eburneus,Cone snails,Ivory Cone,Ivory Cone
192722,W-Msc-215567,Conus glans,Cone snails,Acorn Cone,Acorn Cone
192727,W-Msc-215431,Conus achatinus,Cone snails,Null,Conus achatinus
192815,W-Msc-215484,Conus auricomus,Cone snails,Null,Conus auricomus
194299,Fis-28123,Albula glossodonta,Bonefish/Tarpon,Roundjaw Bonefish,Roundjaw Bonefish
154708,Fis-51713,Diplodus cervinus,Seabreams/Porgies,Zebra Seabream,Zebra Seabream
170160,Fis-23177,Lithognathus mormyrus,Seabreams/Porgies,Sand Steenbras,Sand Steenbras
170191,Fis-32670,Argyrops bleekeri,Seabreams/Porgies,Taiwan Tai,Taiwan Tai
170198,Fis-25587,Rhabdosargus sarba,Seabreams/Porgies,Goldlined Seabream,Goldlined Seabream
170229,Fis-23206,Pagellus acarne,Seabreams/Porgies,Axillary Seabream,Axillary Seabream
170238,Fis-23015,Argyrops spinifer,Seabreams/Porgies,King Soldier Bream,King Soldier Bream
170244,Fis-23207,Pagellus bogaraveo,Seabreams/Porgies,Blackspot Seabream,Blackspot Seabream
170266,Fis-25680,Acanthopagrus berda,Seabreams/Porgies,Goldsilk Seabream,Goldsilk Seabream
172416,Fis-26219,Chelonodon patoca,Pufferfish,Milkspotted Puffer,Milkspotted Puffer
172487,Fis-26596,Omobranchus punctatus,Combtooth Blennies,Muzzled Blenny,Muzzled Blenny
173352,SLB-159390,Halophila decipiens,Sea grasses,Null,Halophila decipiens
173375,Kew-293259,Thalassodendron ciliatum,Sea grasses,Null,Thalassodendron ciliatum
188315,Fis-29814,Chromis enchrysura,Damselfish,Yellowtail Reeffish,Yellowtail Reeffish
188425,Fis-25777,Chrysiptera unimaculata,Damselfish,Onespot Demoiselle,Onespot Demoiselle
188539,Fis-24913,Stegastes partitus,Damselfish,Bicolor Damselfish,Bicolor Damselfish
188581,Fis-23318,Abudefduf saxatilis,Damselfish,Sergeant-Major,Sergeant-Major
190380,Fis-23579,Lagocephalus laevigatus,Pufferfish,Smooth Puffer,Smooth Puffer
193599,Fis-35467,Arothron caeruleopunctatus,Pufferfish,Blue-Spotted Puffer,Blue-Spotted Puffer
193602,Fis-145529,Takifugu bimaculatus,Pufferfish,Null,Takifugu bimaculatus
193622,Fis-26889,Lagocephalus spadiceus,Pufferfish,Half-Smooth Golden Pufferfish,Half-Smooth Golden Pufferfish
193656,Fis-26177,Canthigaster bennetti,Pufferfish,Bennett's Sharpnose Puffer,Bennett's Sharpnose Puffer
193660,Fis-134051,Torquigener gloerfelti,Pufferfish,Null,Torquigener gloerfelti
193662,Fis-26098,Arothron meleagris,Pufferfish,Guineafowl Puffer,Guineafowl Puffer
193677,Fis-28092,Feroxodon multistriatus,Pufferfish,Manystriped Blowfish,Manystriped Blowfish
193703,Fis-60581,Torquigener flavimaculosus,Pufferfish,Null,Torquigener flavimaculosus
193766,Fis-26179,Canthigaster janthinoptera,Pufferfish,Honeycomb Toby,Honeycomb Toby
193813,Fis-23820,Sphoeroides testudineus,Pufferfish,Checkered Puffer,Checkered Puffer
193822,Fis-29188,Arothron firmamentum,Pufferfish,Starry Toado,Starry Toado
46080080,Fis-31636,Petroscirtes mitratus,Combtooth Blennies,Floral Blenny,Floral Blenny
48342093,Fis-25992,Meiacanthus atrodorsalis,Combtooth Blennies,Forktail Blenny,Forktail Blenny
48342117,Fis-30946,Cirripectes fuscoguttatus,Combtooth Blennies,Spotted Blenny,Spotted Blenny
48342134,Fis-47995,Istiblennius bellus,Combtooth Blennies,Imspringer,Imspringer
48342201,Fis-62298,Entomacrodus niuafoouensis,Combtooth Blennies,Tattoo-Chin Rockskipper,Tattoo-Chin Rockskipper
48342204,Fis-35465,Ecsenius schroederi,Combtooth Blennies,Schroeder's Coralblenny,Schroeder's Coralblenny
48342213,Fis-25974,Entomacrodus striatus,Combtooth Blennies,Reef Margin Blenny,Reef Margin Blenny
48342219,Fis-22135,Blenniella bilitonensis,Combtooth Blennies,Biliton Blenniella,Biliton Blenniella
48342274,Fis-30952,Cirripectes perustus,Combtooth Blennies,Flaming Blenny,Flaming Blenny
48342309,Fis-31638,Petroscirtes xestus,Combtooth Blennies,Xestus Sabretooth Blenny,Xestus Sabretooth Blenny
48342317,Fis-26631,Ecsenius namiyei,Combtooth Blennies,Black Comb-Tooth,Black Comb-Tooth
48342326,Fis-31628,Entomacrodus sealei,Combtooth Blennies,Seale's Rockskipper,Seale's Rockskipper
48342354,Fis-144754,Salarias ramosus,Combtooth Blennies,Starry Blenny,Starry Blenny
48342385,Fis-25969,Ecsenius bicolor,Combtooth Blennies,Bicolor Blenny,Bicolor Blenny
48342431,Fis-61523,Blenniella interrupta,Combtooth Blennies,Dashed-Line Blenny,Dashed-Line Blenny
48342433,Fis-150321,Enchelyurus kraussii,Combtooth Blennies,Krauss' Blenny,Krauss' Blenny
48342456,Fis-31625,Ecsenius opsifrontalis,Combtooth Blennies,Comical Blenny,Comical Blenny
48342489,Fis-61510,Blenniella caudolineata,Combtooth Blennies,Blue-Spotted Blenny,Blue-Spotted Blenny
48342505,Fis-150326,Nannosalarias nativitatis,Combtooth Blennies,Pygmy Blenny,Pygmy Blenny
