am_sid,am_cat,sciname,iucn_sid,pop_trend,pop_cat,spp_group,id_no,iucn_subpop,spatial_source,cat_score,trend_score,spp_group_text
ITS-Mam-180653,LC,Halichoerus grypus,9660,Increasing,LC,MARINE_MAMMALS_update,9660,NA,iucn,0,0.5,Marine Mammals
URM-Cn-5849,NT,Acanthastrea hillae,133106,Unknown,NT,CORALS_Part1,133106,NA,iucn,0.2,NA,Corals
Fis-23176,LR/cd,Lithognathus lithognathus,12137,Decreasing,EN,SEABREAMS_PORGIES,12137,NA,iucn,0.6,-0.5,Seabreams/Porgies
SLB-62668,NA,Sandalolitha africana,133538,Unknown,LC,CORALS_Part3,133538,NA,iucn,0,NA,Corals
URM-Cn-6137,LC,Psammocora haimeana,133406,Unknown,LC,CORALS_Part1,133406,NA,iucn,0,NA,Corals
Fis-25991,NA,Aspidontus dussumieri,48342525,Stable,LC,COMBTOOTHBLENNIES,48342525,NA,iucn,0,0,Combtooth Blennies
Fis-59608,NA,Pereulixia kosiensis,46080027,Stable,LC,COMBTOOTHBLENNIES,46080027,NA,iucn,0,0,Combtooth Blennies
Fis-32511,LC,Gomphosus caeruleus,187569,Unknown,LC,WRASSE,187569,NA,iucn,0,NA,Wrasses
ITS-174746,LC,Phalacrocorax melanoleucos,22696743,Unknown,LC,BOTW,22696743,NA,iucn-bli,0,NA,Birds
Fis-163776,LC,Hyporthodus ergastularius,132795,Unknown,LC,GROUPERS,132795,NA,iucn,0,NA,Groupers
Fis-30954,NA,Cirripectes springeri,48342425,Stable,LC,COMBTOOTHBLENNIES,48342425,NA,iucn,0,0,Combtooth Blennies
URM-Cn-5791,NT,Polyphyllia novaehiberniae,133372,Unknown,NT,CORALS_Part3,133372,NA,iucn,0.2,NA,Corals
Fis-25281,LC,Acanthurus nubilus,177961,Unknown,LC,SURGEONFISH_TANGS_UNICORNFISH,177961,NA,iucn,0,NA,Surgeons/Tangs/Unicornfish
Fis-35756,LC,Sphoeroides sechurae,184034,Unknown,LC,PUFFERFISH,184034,NA,iucn,0,NA,Pufferfish
Fis-145088,LC,Halichoeres kallochroma,187766,Unknown,LC,WRASSE,187766,NA,iucn,0,NA,Wrasses
Fis-133976,NA,Omegophora cyanopunctata,193803,Unknown,LC,PUFFERFISH,193803,NA,iucn,0,NA,Pufferfish
URM-Cn-5542,NT,Favia lacuna,133151,Decreasing,NT,CORALS_Part1,133151,NA,iucn,0.2,-0.5,Corals
Fis-22813,DD,Rastrelliger kanagurta,170328,Unknown,DD,TUNAS_BILLFISHES,170328,NA,iucn,NA,NA,Tunas/Billfish
SLB-61883,DD,Madracis asperula,133476,Unknown,DD,CORALS_Part1,133476,NA,iucn,NA,NA,Corals
W-Msc-426447,LC,Conus centurio,192831,Unknown,LC,CONESNAILS,192831,NA,iucn,0,NA,Cone snails
Fis-31626,NA,Ecsenius sellifer,48342162,Stable,LC,COMBTOOTHBLENNIES,48342162,NA,iucn,0,0,Combtooth Blennies
Fis-58059,LC,Apolemichthys kingi,154809,Unknown,LC,ANGELFISH,154809,NA,iucn,0,NA,Angelfish
Fis-32088,LC,Naso maculatus,178020,Unknown,LC,SURGEONFISH_TANGS_UNICORNFISH,178020,NA,iucn,0,NA,Surgeons/Tangs/Unicornfish
Fis-26687,LC,Thalassoma duperrey,187711,Stable,LC,WRASSE,187711,NA,iucn,0,0,Wrasses
Fis-26337,LC,Choerodon robustus,187747,Unknown,LC,WRASSE,187747,NA,iucn,0,NA,Wrasses
Fis-16392,NA,Diplodus holbrookii,170264,Unknown,LC,SEABREAMS_PORGIES,170264,NA,iucn,0,NA,Seabreams/Porgies
Fis-58702,LC,Bodianus opercularis,187378,Unknown,LC,WRASSE,187378,NA,iucn,0,NA,Wrasses
SLB-40234,LC,Larus scopulinus,62021891,Increasing,LC,BOTW,62021891,NA,iucn-bli,0,0.5,Birds
ITS-176982,LC,Alle alle,22694837,Decreasing,LC,BOTW,22694837,NA,iucn-bli,0,-0.5,Birds
Fis-149838,NA,Stegastes adustus,188551,Stable,LC,DAMSELFISH,188551,NA,iucn,0,0,Damselfish
Fis-32315,DD,Epinephelus retouti,132794,Unknown,DD,GROUPERS,132794,NA,iucn,NA,NA,Groupers
Fis-25724,LC,Halichoeres trimaculatus,187474,Unknown,LC,WRASSE,187474,NA,iucn,0,NA,Wrasses
URM-Cn-5892,LC,Symphyllia erythraea,132962,Unknown,LC,CORALS_Part1,132962,NA,iucn,0,NA,Corals
Fis-35341,NA,Meiacanthus mossambicus,48342164,Stable,LC,COMBTOOTHBLENNIES,48342164,NA,iucn,0,0,Combtooth Blennies
W-Hol-732226,LC,Holothuria difficilis,180246,Unknown,LC,SEACUCUMBERS,180246,NA,iucn,0,NA,Sea Cucumbers
Fis-59453,LC,Centropyge vrolikii,165860,Stable,LC,ANGELFISH,165860,NA,iucn,0,0,Angelfish
Fis-146038,NA,Ophioblennius macclurei,46104090,Unknown,LC,COMBTOOTHBLENNIES,46104090,NA,iucn,0,NA,Combtooth Blennies
Fis-26856,NA,Acanthopagrus palmaris,170181,Unknown,LC,SEABREAMS_PORGIES,170181,NA,iucn,0,NA,Seabreams/Porgies
URM-Cn-5481,NT,Euphyllia glabrescens,133256,Unknown,NT,CORALS_Part1,133256,NA,iucn,0.2,NA,Corals
URM-Cn-5873,LC,Lobophyllia robusta,133076,Unknown,LC,CORALS_Part1,133076,NA,iucn,0,NA,Corals
SLB-184619,LC,Pelamis platura,176738,Stable,LC,SEASNAKES,176738,NA,iucn,0,0,Sea Snakes
Fis-61136,NA,Istiblennius pox,46079816,Stable,LC,COMBTOOTHBLENNIES,46079816,NA,iucn,0,0,Combtooth Blennies
URM-Cn-6062,LC,Porites lichen,133023,Unknown,LC,CORALS_Part3,133023,NA,iucn,0,NA,Corals
Fis-61706,LC,Sphoeroides lispus,183607,Unknown,LC,PUFFERFISH,183607,NA,iucn,0,NA,Pufferfish
Fis-31448,LC,Chaetodon trifasciatus,165673,Unknown,LC,BUTTERFLYFISH,165673,NA,iucn,0,NA,Butterflyfish
Fis-6123,NA,Sparus aurata,170253,Stable,LC,SEABREAMS_PORGIES,170253,NA,iucn,0,0,Seabreams/Porgies
Fis-50534,NA,Omobranchus banditus,48342381,Stable,LC,COMBTOOTHBLENNIES,48342381,NA,iucn,0,0,Combtooth Blennies
SLB-170329,LC,Stereomastis aculeata,185073,Unknown,LC,LOBSTERS,185073,NA,iucn,0,NA,Lobsters
ITS-552998,LC,Arctides guineensis,170052,Unknown,LC,LOBSTERS,170052,NA,iucn,0,NA,Lobsters
Fis-138816,LC,Halichoeres papilionaceus,155221,Unknown,LC,WRASSE,155221,NA,iucn,0,NA,Wrasses
ITS-Mam-180679,VU,Dugong dugon,6909,Unknown,VU,MARINE_MAMMALS_update,6909,NA,iucn,0.4,NA,Marine Mammals
ITS-Mam-180452,EN,Cephalorhynchus hectori,4162,Decreasing,EN,MARINE_MAMMALS_update,4162,NA,iucn,0.6,-0.5,Marine Mammals
Fis-25730,LC,Stethojulis bandanensis,187424,Unknown,LC,WRASSE,187424,NA,iucn,0,NA,Wrasses
SLB-184836,LC,Stereomastis suhmi,185036,Unknown,LC,LOBSTERS,185036,NA,iucn,0,NA,Lobsters
Fis-30945,NA,Cirripectes chelomatus,48342303,Stable,LC,COMBTOOTHBLENNIES,48342303,NA,iucn,0,0,Combtooth Blennies
W-Hol-208947,VU,Actinopyga echinites,180518,Decreasing,VU,SEACUCUMBERS,180518,NA,iucn,0.4,-0.5,Sea Cucumbers
URM-Cn-5546,NT,Favia maritima,133638,Decreasing,NT,CORALS_Part1,133638,NA,iucn,0.2,-0.5,Corals
Fis-28573,NA,Ecsenius gravieri,48342285,Stable,LC,COMBTOOTHBLENNIES,48342285,NA,iucn,0,0,Combtooth Blennies
URM-Cn-5860,NT,Blastomussa wellsi,133253,Unknown,NT,CORALS_Part1,133253,NA,iucn,0.2,NA,Corals
URM-Cn-4786,DD,Acropora minuta,133018,Decreasing,DD,CORALS_Part1,133018,NA,iucn,NA,-0.5,Corals
ITS-553064,LC,Thaumastocheles japonicus,170096,Unknown,LC,LOBSTERS,170096,NA,iucn,0,NA,Lobsters
Fis-31145,LC,Anampses lennardi,187567,Stable,LC,WRASSE,187567,NA,iucn,0,0,Wrasses
ITS-552906,DD,Neoglyphea inopinata,170068,Unknown,DD,LOBSTERS,170068,NA,iucn,NA,NA,Lobsters
Fis-32459,LC,Naso fageni,177962,Unknown,LC,SURGEONFISH_TANGS_UNICORNFISH,177962,NA,iucn,0,NA,Surgeons/Tangs/Unicornfish
Fis-61558,NA,Blenniella paula,48342126,Stable,LC,COMBTOOTHBLENNIES,48342126,NA,iucn,0,0,Combtooth Blennies
Fis-35286,NA,Ecsenius aequalis,48342307,Stable,LC,COMBTOOTHBLENNIES,48342307,NA,iucn,0,0,Combtooth Blennies
ITS-552914,LC,Acanthacaris tenuimana,169962,Unknown,LC,LOBSTERS,169962,NA,iucn,0,NA,Lobsters
SLB-189630,NA,Conus vicweei,192585,Unknown,LC,CONESNAILS,192585,NA,iucn,0,NA,Cone snails
Fis-22836,VU,Thunnus obesus,21859,Decreasing,VU,TUNAS_BILLFISHES,21859,NA,iucn,0.4,-0.5,Tunas/Billfish
Fis-139219,LC,Ophthalmolepis lineolata,187409,Unknown,LC,WRASSE,187409,NA,iucn,0,NA,Wrasses
ITS-552962,LC,Linuparus trigonus,170054,Unknown,LC,LOBSTERS,170054,NA,iucn,0,NA,Lobsters
Fis-138294,NA,Parablennius cyclops,48342258,Stable,LC,COMBTOOTHBLENNIES,48342258,NA,iucn,0,0,Combtooth Blennies
Fis-23649,LC,Mycteroperca microlepis,14050,Decreasing,LC,GROUPERS,14050,NA,iucn,0,-0.5,Groupers
ITS-552964,LC,Palinurus delagoae,170010,Unknown,LC,LOBSTERS,170010,NA,iucn,0,NA,Lobsters
W-Msc-420217,LC,Conus patae,192798,Unknown,LC,CONESNAILS,192798,NA,iucn,0,NA,Cone snails
Fis-165595,LC,Cetoscarus ocellatus,190691,Unknown,LC,WRASSE,190691,NA,iucn,0,NA,Wrasses
Fis-58115,NA,Ecsenius nalolo,48342458,Stable,LC,COMBTOOTHBLENNIES,48342458,NA,iucn,0,0,Combtooth Blennies
URM-Cn-4737,VU,Acropora desalwii,133396,Decreasing,VU,CORALS_Part3,133396,NA,iucn,0.4,-0.5,Corals
Fis-5681,LC,Chlorurus gibbus,190753,Unknown,LC,WRASSE,190753,NA,iucn,0,NA,Wrasses
Fis-126141,LC,Choerodon zosterophorus,187499,Unknown,LC,WRASSE,187499,NA,iucn,0,NA,Wrasses
Fis-25723,LC,Halichoeres scapularis,187454,Unknown,LC,WRASSE,187454,NA,iucn,0,NA,Wrasses
Fis-22828,LC,Scomberomorus semifasciatus,170337,Unknown,LC,TUNAS_BILLFISHES,170337,NA,iucn,0,NA,Tunas/Billfish
SLB-170297,DD,Galearctus rapanus,184986,Unknown,DD,LOBSTERS,184986,NA,iucn,NA,NA,Lobsters
Fis-150326,NA,Nannosalarias nativitatis,48342505,Stable,LC,COMBTOOTHBLENNIES,48342505,NA,iucn,0,0,Combtooth Blennies
SLB-66024,LC,Holothuria tubulosa,180455,Unknown,LC,SEACUCUMBERS,180455,NA,iucn,0,NA,Sea Cucumbers
Fis-26116,DD,Cephalopholis aurantia,132725,Unknown,DD,GROUPERS,132725,NA,iucn,NA,NA,Groupers
SLB-66013,DD,Holothuria impatiens,180512,Unknown,DD,SEACUCUMBERS,180512,NA,iucn,NA,NA,Sea Cucumbers
Fis-58823,NA,Atrosalarias fuscus,48342246,Stable,LC,COMBTOOTHBLENNIES,48342246,NA,iucn,0,0,Combtooth Blennies
Fis-25684,NA,Cymatoceps nasutus,170204,Decreasing,VU,SEABREAMS_PORGIES,170204,NA,iucn,0.4,-0.5,Seabreams/Porgies
ITS-726047,LC,Sula granti,22728990,Decreasing,LC,BOTW,22728990,NA,iucn-bli,0,-0.5,Birds
URM-Cn-5930,LC,Echinophyllia echinata,133058,Unknown,LC,CORALS_Part3,133058,NA,iucn,0,NA,Corals
Fis-127204,NT,Bodianus frenchii,187506,Decreasing,NT,WRASSE,187506,NA,iucn,0.2,-0.5,Wrasses
Fis-160362,DD,Scarus maculipinna,190735,Unknown,DD,WRASSE,190735,NA,iucn,NA,NA,Wrasses
Fis-21695,LC,Halichoeres podostigma,187515,Unknown,LC,WRASSE,187515,NA,iucn,0,NA,Wrasses
W-Hol-210905,NA,Stichopus variegatus,180488,Unknown,DD,SEACUCUMBERS,180488,NA,iucn,NA,NA,Sea Cucumbers
Fis-27944,LC,Chaetodontoplus conspicillatus,165870,Stable,LC,ANGELFISH,165870,NA,iucn,0,0,Angelfish
ITS-176794,LC,Stercorarius longicaudus,22694251,Stable,LC,BOTW,22694251,NA,iucn-bli,0,0,Birds
Fis-25681,NA,Chrysoblephus anglicus,170194,Decreasing,NT,SEABREAMS_PORGIES,170194,NA,iucn,0.2,-0.5,Seabreams/Porgies
Fis-59414,LC,Chaetodon zanzibarensis,165612,Stable,LC,BUTTERFLYFISH,165612,NA,iucn,0,0,Butterflyfish
Fis-50553,NA,Parablennius pilicornis,198774,Stable,LC,COMBTOOTHBLENNIES,198774,NA,iucn,0,0,Combtooth Blennies
URM-Cn-5473,VU,Turbinaria peltata,133498,Unknown,VU,CORALS_Part3,133498,NA,iucn,0.4,NA,Corals
URM-Cn-5510,LC,Cyphastrea chalcidicum,133325,Decreasing,LC,CORALS_Part3,133325,NA,iucn,0,-0.5,Corals
Fis-145200,DD,Sparisoma axillare,190751,Unknown,DD,WRASSE,190751,NA,iucn,NA,NA,Wrasses
SLB-117467,LC,Coscinaraea exesa,133176,Stable,LC,CORALS_Part1,133176,NA,iucn,0,0,Corals
Fis-153188,LC,Paracheilinus rubricaudalis,187791,Unknown,LC,WRASSE,187791,NA,iucn,0,NA,Wrasses
Fis-145583,LC,Choerodon sugillatum,187720,Unknown,LC,WRASSE,187720,NA,iucn,0,NA,Wrasses
Fis-132105,LC,Cirrhilabrus pylei,187580,Unknown,LC,WRASSE,187580,NA,iucn,0,NA,Wrasses
Fis-26703,LC,Centropyge fisheri,165828,Stable,LC,ANGELFISH,165828,NA,iucn,0,0,Angelfish
W-Msc-420220,LC,Conus regius,192869,Unknown,LC,CONESNAILS,192869,NA,iucn,0,NA,Cone snails
Fis-161246,LC,Paracheilinus walton,187421,Unknown,LC,WRASSE,187421,NA,iucn,0,NA,Wrasses
URM-Cn-5947,LC,Oxypora glabra,133192,Unknown,LC,CORALS_Part3,133192,NA,iucn,0,NA,Corals
ITS-Mam-180632,LC,Arctocephalus tropicalis,2062,Increasing,LC,MARINE_MAMMALS_update,2062,NA,iucn,0,0.5,Marine Mammals
SLB-184808,VU,Isopora brueggemanni,133182,Decreasing,VU,CORALS_Part3,133182,NA,iucn,0.4,-0.5,Corals
Fis-58117,NA,Istiblennius unicolor,48342337,Stable,LC,COMBTOOTHBLENNIES,48342337,NA,iucn,0,0,Combtooth Blennies
Fis-143223,LC,Centropyge venusta,165900,Stable,LC,ANGELFISH,165900,NA,iucn,0,0,Angelfish
Fis-30136,NA,Hypleurochilus springeri,46104061,Unknown,LC,COMBTOOTHBLENNIES,46104061,NA,iucn,0,NA,Combtooth Blennies
Fis-32554,LC,Coris venusta,187785,Unknown,LC,WRASSE,187785,NA,iucn,0,NA,Wrasses
Fis-113731,LC,Dotalabrus alleni,154841,Unknown,LC,WRASSE,154841,NA,iucn,0,NA,Wrasses
ITS-552961,LC,Linuparus sordidus,170070,Unknown,LC,LOBSTERS,170070,NA,iucn,0,NA,Lobsters
