iucn_sid,am_sid,sciname,dist_align,area_ratio,method
133097,SLB-117490,Pocillopora danae,65.602,70.527,all depth
133099,URM-Cn-5977,Pocillopora elegans,53.607,65.637,all depth
133100,URM-Cn-4956,Agaricia undata,68.178,66.742,all depth
133102,URM-Cn-5814,Dichocoenia stokesii,81.903,64.713,all depth
133106,URM-Cn-5849,Acanthastrea hillae,87.127,42.889,all depth
133109,URM-Cn-5901,Galaxea acrhelia,63.025,46.744,all depth
133110,URM-Cn-5750,Ctenactis crassa,89.259,31.462,all depth
133111,SLB-61810,Montipora saudii,95.981,45.793,all depth
133112,URM-Cn-4724,Acropora caroliniana,57.366,71.415,all depth
133113,URM-Cn-4880,Montipora cactus,73.508,53.914,all depth
133115,SLB-93474,Acropora retusa,48.426,73.587,all depth
133120,SLB-61654,Acropora latistella,76.898,49.125,all depth
133121,URM-Cn-6145,Siderastrea glynni,0,36.262,all depth
133122,SLB-93687,Acropora plantaginea,51.503,73.491,all depth
133124,SLB-158750,Dendrogyra cylindrus,79.505,73.492,all depth
133125,URM-Cn-4748,Acropora fenneri,84.304,49.568,all depth
133127,URM-Cn-5896,Symphyllia valenciennesii,82.803,54.799,all depth
133128,URM-Cn-4812,Acropora pruinosa,82.92,18.058,all depth
133129,URM-Cn-4872,Astreopora ocellata,78.775,52.106,all depth
133131,URM-Cn-4903,Montipora friabilis,58.053,74.259,all depth
133132,URM-Cn-4714,Acropora aspera,80.825,59.839,all depth
133133,URM-Cn-4708,Acropora abrolhosensis,50.221,77.702,all depth
133134,URM-Cn-5592,Montastraea annularis,69.863,95.765,all depth
133139,SLB-184813,Isopora palifera,84.763,47.702,all depth
133142,URM-Cn-5096,Cladocora caespitosa,75.624,86.094,all depth
133144,W-Hyd-210726,Millepora alcicornis,31.728,95.338,all depth
133145,URM-Cn-5008,Stylocoeniella cocosensis,67.435,76.587,all depth
133148,URM-Cn-5751,Ctenactis echinata,90.268,45.563,all depth
133151,URM-Cn-5542,Favia lacuna,97.019,29.974,all depth
133152,URM-Cn-5872,Lobophyllia pachysepta,81.228,55.609,all depth
133157,URM-Cn-5889,Scolymia vitiensis,67.14,61.699,all depth
133158,URM-Cn-5787,Podabacia crustacea,82.869,47.009,all depth
133160,URM-Cn-4715,Acropora austera,77.705,48.533,all depth
133161,URM-Cn-5610,Platygyra contorta,78.165,25.895,all depth
133165,URM-Cn-5921,Oculina varicosa,91.743,42.522,all depth
133169,URM-Cn-5993,Stylophora mamillata,74.079,63.828,all depth
133172,SLB-62815,Echinophyllia aspera,91.119,34.326,all depth
133175,URM-Cn-4896,Montipora efflorescens,82.066,49.91,all depth
133176,SLB-117467,Coscinaraea exesa,85.65,36.139,all depth
133177,URM-Cn-5472,Turbinaria patula,91.166,37.844,all depth
133178,URM-Cn-5593,Montastrea annuligera,69.253,57.195,all depth
133182,SLB-184808,Isopora brueggemanni,63.407,69.028,all depth
133183,URM-Cn-5761,Fungia granulosa,90.544,24.222,all depth
133184,SLB-62757,Mussismilia hispida,93.434,53.116,all depth
133186,URM-Cn-4900,Montipora floweri,76.796,53.811,all depth
133192,URM-Cn-5947,Oxypora glabra,89.305,19.689,all depth
133193,W-Oct-210725,Heliopora coerulea,79.459,32.184,all depth
133194,URM-Cn-4893,Montipora digitata,82.032,54.272,all depth
133195,SLB-93690,Acropora appressa,86.001,39.762,all depth
133197,URM-Cn-5984,Pocillopora verrucosa,88.099,49.932,all depth
133200,URM-Cn-5606,Oulophyllia crispa,90.721,25.172,all depth
133201,SLB-190518,Fungia scutaria,86.802,23.78,all depth
133203,URM-Cn-4840,Acropora tenella,47.837,86.212,all depth
133206,URM-Cn-4819,Acropora roseni,55.054,35.11,all depth
133209,URM-Cn-5567,Favites pentagona,89.392,33.864,all depth
133210,URM-Cn-5554,Favia speciosa,87.478,48.652,all depth
133212,URM-Cn-5915,Oculina diffusa,73.881,61.748,all depth
133213,URM-Cn-5786,Lithophyllon undulatum,91.578,23.534,all depth
133215,URM-Cn-5777,Fungia tenuis,65.675,42.17,all depth
133216,URM-Cn-6063,Porites lobata,85.522,19.428,all depth
133217,SLB-158789,Meandrina danae,68.463,71.71,all depth
133218,URM-Cn-4975,Pachyseris foliosa,61.382,70.501,all depth
133219,URM-Cn-5486,Nemenzophyllia turbida,81.07,48.439,all depth
133220,URM-Cn-4882,Montipora caliculata,84.164,53.291,all depth
133222,URM-Cn-5975,Pocillopora damicornis,70.338,38.077,all depth
133223,URM-Cn-4740,Acropora donei,90.152,43.729,all depth
133227,SLB-93757,Astreopora expansa,78.43,51.501,all depth
133231,URM-Cn-5517,Diploastrea heliopora,85.329,44.838,all depth
133233,URM-Cn-4769,Acropora kimbeensis,67.093,69.419,all depth
133236,URM-Cn-5907,Galaxea paucisepta,92.886,21.613,all depth
133237,SLB-62474,Montastraea cavernosa,77.08,82.772,all depth
133238,URM-Cn-4909,Montipora hispida,80.343,53.93,all depth
133239,URM-Cn-4792,Acropora nasuta,84,46.329,all depth
133240,URM-Cn-4982,Pavona clavus,82.383,54.142,all depth
133242,URM-Cn-4989,Pavona frondifera,58.774,64.869,all depth
133244,URM-Cn-5563,Favites flexuosa,94.821,19.032,all depth
133246,URM-Cn-5846,Acanthastrea echinata,83.86,53.711,all depth
133248,URM-Cn-4816,Acropora robusta,83.206,45.756,all depth
133250,URM-Cn-4738,Acropora digitifera,82.686,45.926,all depth
133251,URM-Cn-5996,Stylophora wellsi,51.113,91.443,all depth
133252,URM-Cn-4846,Acropora tortuosa,80.1,26.329,all depth
133253,URM-Cn-5860,Blastomussa wellsi,70.639,68.69,all depth
133255,URM-Cn-4953,Agaricia humilis,93.822,55.446,all depth
133256,URM-Cn-5481,Euphyllia glabrescens,86.904,54.351,all depth
133258,URM-Cn-5495,Plerogyra sinuosa,86.827,34.468,all depth
133260,URM-Cn-6149,Trachyphyllia geoffroyi,69.401,96.948,all depth
133261,URM-Cn-4983,Pavona danai,64.912,76.025,all depth
133267,URM-Cn-4868,Astreopora listeri,77.275,50.337,all depth
133268,URM-Cn-5875,Micromussa diminuta,75.779,61.157,all depth
133269,URM-Cn-5782,Heliofungia actiniformis,67.705,60.766,all depth
133271,URM-Cn-4824,Acropora sarmentosa,85.01,46.419,all depth
133272,URM-Cn-5954,Pectinia paeonia,91.443,32.367,all depth
133277,URM-Cn-6040,Porites australiensis,80.971,19.992,all depth
133281,URM-Cn-5963,Madracis formosa,92.229,54.666,all depth
133283,URM-Cn-4718,Acropora batunai,78.671,59.455,all depth
133284,URM-Cn-5620,Plesiastrea versipora,83.229,50.635,all depth
133289,SLB-117478,Euphyllia paraancora,73.019,51.791,all depth
133290,URM-Cn-5560,Favites abdita,93.874,22.517,all depth
133291,URM-Cn-4835,Acropora striata,43.245,80.276,all depth
133292,URM-Cn-4871,Astreopora myriophthalma,85.103,45.28,all depth
133298,URM-Cn-4942,Montipora turgescens,84.639,53.34,all depth
133302,URM-Cn-4865,Astreopora gracilis,71.073,59.193,all depth
133304,URM-Cn-5870,Lobophyllia hataii,78.991,59.591,all depth
133305,URM-Cn-4946,Montipora verrilli,89.081,7.074,all depth
133307,URM-Cn-5553,Favia rotundata,80.191,47.74,all depth
133308,SLB-190516,Fungia scruposa,85.387,29.948,all depth
133309,URM-Cn-5981,Pocillopora inflata,34.113,98.856,all depth
133311,URM-Cn-4757,Acropora halmaherae,38.863,41.386,all depth
133313,URM-Cn-4733,Acropora cytherea,82.084,48.745,all depth
133315,URM-Cn-4788,Acropora monticulosa,79.543,46.83,all depth
133319,URM-Cn-4760,Acropora horrida,83.246,47.641,all depth
133320,URM-Cn-4830,Acropora solitaryensis,83.053,53.241,all depth
133324,URM-Cn-4752,Acropora gemmifera,78.578,53.062,all depth
133325,URM-Cn-5510,Cyphastrea chalcidicum,90.945,31.801,all depth
133327,URM-Cn-4779,Acropora lovelli,58.906,44.792,all depth
133329,URM-Cn-6079,Porites stephensoni,59.269,56.92,all depth
133333,URM-Cn-5605,Oulophyllia bennettae,90.261,30.687,all depth
133334,URM-Cn-4719,Acropora branchi,43.892,78.33,all depth
133337,URM-Cn-5826,Merulina ampliata,82.83,50.241,all depth
133340,URM-Cn-5897,Symphyllia wilsoni,95.712,48.881,all depth
133343,URM-Cn-5569,Favites russelli,92.62,17.742,all depth
133344,URM-Cn-5790,Podabacia sinai,97.019,45.774,all depth
133345,URM-Cn-4941,Montipora tuberculosa,85.491,51.568,all depth
133348,SLB-93322,Acropora variolosa,52.703,75.607,all depth
133349,URM-Cn-6044,Porites compressa,27.063,7.257,all depth
133351,URM-Cn-4967,Leptoseris mycetoseroides,82.283,52.031,all depth
133352,URM-Cn-4754,Acropora gomezi,89.439,37.525,all depth
133359,URM-Cn-4783,Acropora microclados,69.694,58.714,all depth
133360,URM-Cn-4979,Pavona bipartita,71.696,38.831,all depth
133365,URM-Cn-5574,Goniastrea edwardsi,91.212,25.36,all depth
133366,URM-Cn-5851,Acanthastrea lordhowensis,69.705,72.85,all depth
133370,SLB-158808,Porites profundus,35.51,70.025,all depth
133371,URM-Cn-5757,Fungia distorta,88.651,31.562,all depth
133372,URM-Cn-5791,Polyphyllia novaehiberniae,51.913,39.346,all depth
133375,URM-Cn-4888,Montipora corbettensis,74.426,56.17,all depth
133376,URM-Cn-5850,Acanthastrea ishigakiensis,59.379,67.837,all depth
133377,URM-Cn-5518,Diploria clivosa,86.187,56.373,all depth
133379,SLB-93515,Acropora convexa,81.768,55.112,all depth
133381,URM-Cn-4726,Acropora cervicornis,95.035,44.064,all depth
133386,SLB-62731,Acanthastrea rotundoflora,62.003,74.643,all depth
133387,SLB-93466,Acropora globiceps,68.621,45.533,all depth
133392,URM-Cn-5543,Favia laxa,78.204,58.837,all depth
133393,URM-Cn-4842,Acropora teres,53.963,75.087,all depth
133395,URM-Cn-6073,Porites porites,62.898,61.569,all depth
133396,URM-Cn-4737,Acropora desalwii,91.509,35.346,all depth
133398,URM-Cn-4994,Pavona varians,84.184,54.758,all depth
133400,URM-Cn-5815,Eusmilia fastigiata,80.642,62.463,all depth
133401,URM-Cn-4759,Acropora hoeksemai,79.649,50.697,all depth
133402,URM-Cn-4833,Acropora squarrosa,71.854,54.806,all depth
133403,URM-Cn-5476,Turbinaria stellulata,91.401,26.047,all depth
133405,SLB-62382,Caulastrea tumida,84.953,50.678,all depth
133406,URM-Cn-6137,Psammocora haimeana,86.36,44.868,all depth
133407,SLB-189370,Pocillopora eydouxi,95.727,22.315,all depth
133408,URM-Cn-6130,Coscinaraea wellsi,77.552,38.993,all depth
133409,URM-Cn-4948,Montipora verruculosus,84.338,43.606,all depth
133410,URM-Cn-4978,Pachyseris speciosa,83.689,49.909,all depth
133412,URM-Cn-5816,Gyrosmilia interrupta,51.078,79.386,all depth
133414,URM-Cn-5578,Goniastrea pectinata,92.118,22.767,all depth
133415,URM-Cn-4859,Anacropora puertogalerae,72.258,53.343,all depth
133416,URM-Cn-4886,Montipora circumvallata,76.967,54.8,all depth
133417,SLB-62381,Caulastrea furcata,66.807,60.899,all depth
133419,URM-Cn-5871,Lobophyllia hemprichii,83.274,48.51,all depth
133420,URM-Cn-4906,Montipora grisea,73.567,53.557,all depth
133422,URM-Cn-4884,Montipora capricornis,57.864,74.625,all depth
133423,URM-Cn-5764,Fungia horrida,89.418,20.972,all depth
133428,URM-Cn-6122,Coscinaraea columna,83.356,52.493,all depth
133429,URM-Cn-5526,Echinopora horrida,82.868,35.755,all depth
133432,URM-Cn-4832,Acropora spicifera,69.313,61.297,all depth
133433,URM-Cn-4889,Montipora crassituberculata,81.707,52.551,all depth
133435,URM-Cn-5988,Seriatopora dendritica,78.002,48.402,all depth
133437,URM-Cn-5765,Fungia moluccensis,72.03,35.546,all depth
133439,SLB-61834,Agaricia tenuifolia,74.438,77.457,all depth
133440,URM-Cn-5614,Platygyra pini,95.264,24.805,all depth
133442,URM-Cn-5948,Oxypora lacera,87.313,26.516,all depth
133443,URM-Cn-4879,Montipora australiensis,61.173,68.713,all depth
133444,URM-Cn-5920,Oculina valenciennesi,27.834,54.95,all depth
133450,URM-Cn-4943,Montipora turtlensis,74.785,65.998,all depth
133451,URM-Cn-4891,Montipora danae,80.473,53.575,all depth
133457,URM-Cn-5877,Mussa angulosa,87.581,49.787,all depth
133458,URM-Cn-5823,Hydnophora microconos,87.73,37.048,all depth
133460,SLB-93100,Montipora cocosensis,49.827,79.974,all depth
133468,URM-Cn-5612,Platygyra daedalea,89.035,45.674,all depth
133470,SLB-158790,Micromussa amakusensis,61.298,67.573,all depth
133474,URM-Cn-5891,Symphyllia agaricia,83.155,56.64,all depth
133476,SLB-61883,Madracis asperula,19.375,60.739,all depth
133478,URM-Cn-5821,Hydnophora exesa,92.557,36.837,all depth
133479,URM-Cn-4762,Acropora hyacinthus,82.46,45.977,all depth
133481,URM-Cn-4727,Acropora chesterfieldensis,78.527,33.965,all depth
133483,URM-Cn-4787,Acropora mirabilis,57.275,81.88,all depth
133484,SLB-158735,Anomastraea irregularis,78.868,51.526,all depth
133485,SLB-93759,Astreopora randalli,66.631,53.098,all depth
133488,SLB-62813,Pectinia africanus,89.149,35.025,all depth
133489,URM-Cn-4892,Montipora delicatula,83.882,45.67,all depth
133492,URM-Cn-6075,Porites rus,75.502,64.758,all depth
133493,SLB-62496,Platygyra ryukyuensis,83.462,32.075,all depth
133494,SLB-93535,Acropora papillare,86.855,42.547,all depth
133495,SLB-117483,Galaxea horrescens,83.712,48.659,all depth
133497,SLB-62380,Caulastrea echinulata,69.921,70.724,all depth
133498,URM-Cn-5473,Turbinaria peltata,88.175,39.141,all depth
133500,URM-Cn-4771,Acropora kosurini,45.349,72.434,all depth
133502,URM-Cn-6142,Psammocora superficialis,81.143,51.232,all depth
133504,URM-Cn-6055,Porites furcata,75.835,60.361,all depth
133509,URM-Cn-5789,Podabacia motuporensis,90.688,27.704,all depth
133511,URM-Cn-5916,Oculina patagonica,97.897,54.695,all depth
133513,URM-Cn-4712,Acropora anthocercis,73.641,57.042,all depth
133516,URM-Cn-5556,Favia truncatus,78.787,60.358,all depth
133521,URM-Cn-5006,Stephanocoenia intersepta,52.927,63.476,all depth
133522,URM-Cn-4959,Helioseris cucullata,71.073,67.587,all depth
133525,URM-Cn-4920,Montipora monasteriata,84.65,56.912,all depth
133527,URM-Cn-5879,Mussismilia harttii,90.787,37.856,all depth
133528,URM-Cn-5859,Blastomussa merleti,81.281,65.174,all depth
133530,SLB-117551,Stylophora subseriata,58.534,74.914,all depth
133532,URM-Cn-4851,Acropora verweyi,80.396,56.919,all depth
133534,URM-Cn-5986,Pocillopora zelli,61.838,39.406,all depth
133535,URM-Cn-4950,Agaricia agaricites,79.527,88.294,all depth
133538,SLB-62658,Herpolitha limax,87.695,23.721,all depth
133543,SLB-158796,Porites brighami,68.855,26.058,all depth
133545,SLB-62704,Paraclavarina triangularis,72.086,38.742,all depth
133547,URM-Cn-4855,Acropora yongei,74.361,54.838,all depth
133548,URM-Cn-5007,Stylocoeniella armata,75.326,61.77,all depth
133551,URM-Cn-5865,Lobophyllia corymbosa,83.364,50.313,all depth
133556,URM-Cn-4935,Montipora spumosa,81.313,49.96,all depth
133557,SLB-158238,Acanthastrea brevis,63.162,67.15,all depth
133560,URM-Cn-5577,Goniastrea palauensis,81.426,52.929,all depth
133563,URM-Cn-4927,Montipora peltiformis,79.322,61.291,all depth
133564,URM-Cn-5863,Isophyllastrea rigida,86.097,36.686,all depth
133566,URM-Cn-5886,Scolymia australis,58.297,52.358,all depth
133569,URM-Cn-5538,Favia favus,88.43,52.989,all depth
133570,URM-Cn-6140,Psammocora profundacella,82.493,52.495,all depth
133571,URM-Cn-5609,Platygyra carnosus,75.676,36.984,all depth
133574,SLB-158797,Porites pukoensis,39.968,0.489,all depth
133575,SLB-61985,Cladocora arbuscula,70.37,74.395,all depth
133581,URM-Cn-4985,Pavona diffluens,92.948,50.231,all depth
133582,SLB-62826,Oxypora crassispinosa,92.629,15.069,all depth
133584,SLB-158799,Porites divaricata,69.484,50.403,all depth
133587,URM-Cn-5794,Sandalolitha dentata,79.567,30.198,all depth
133589,URM-Cn-6136,Psammocora explanulata,73.958,50.779,all depth
133590,URM-Cn-6147,Siderastrea savignyana,55.301,72.284,all depth
133591,URM-Cn-5864,Isophyllia sinuosa,86.324,36.752,all depth
133592,URM-Cn-4747,Acropora exquisita,85.725,45.075,all depth
133595,W-Hyd-210730,Millepora platyphylla,75.17,46.109,all depth
133597,URM-Cn-5746,Cantharellus doederleini,43.807,68.218,all depth
133599,URM-Cn-4944,Montipora undata,79.64,54.123,all depth
133604,URM-Cn-4713,Acropora arabensis,56.816,31.354,all depth
133606,URM-Cn-5895,Symphyllia recta,85.989,52.429,all depth
133607,URM-Cn-6020,Goniopora minor,99.682,7.406,all depth
133611,URM-Cn-5972,Madracis senaria,87.689,38.402,all depth
133613,URM-Cn-6077,Porites solida,77.842,62.87,all depth
133614,SLB-62852,Seriatopora guttatus,58.035,82.295,all depth
133619,URM-Cn-5868,Lobophyllia diminuta,54.662,70.742,all depth
133621,URM-Cn-4849,Acropora valenciennesi,87.966,47.907,all depth
133622,URM-Cn-4883,Montipora capitata,53.651,79.653,all depth
133631,URM-Cn-5534,Erythrastrea flabellata,60.582,71.062,all depth
133633,URM-Cn-5471,Turbinaria mesenterina,92.962,35.767,all depth
133634,URM-Cn-5580,Goniastrea retiformis,90.189,30.659,all depth
133636,URM-Cn-4964,Leptoseris gardineri,70.971,62.003,all depth
133637,URM-Cn-5980,Pocillopora indiania,76.399,41.228,all depth
133638,URM-Cn-5546,Favia maritima,86.374,29.731,all depth
133639,URM-Cn-4806,Acropora pichoni,54.593,88.691,all depth
133642,URM-Cn-5848,Acanthastrea hemprichii,69.746,67.094,all depth
133645,SLB-184819,Porites somaliensis,34.557,16.897,all depth
133646,URM-Cn-4947,Montipora verrucosa,79.089,69.35,all depth
133647,URM-Cn-4809,Acropora polystoma,79.138,46.377,all depth
133648,URM-Cn-5514,Cyphastrea microphthalma,91.326,34.357,all depth
133649,SLB-93391,Acropora abrotanoides,80.491,56.258,all depth
133651,URM-Cn-5613,Platygyra lamellina,90.795,21.985,all depth
133653,URM-Cn-4732,Isopora cylindrica,25.677,66.631,all depth
133654,URM-Cn-5561,Favites chinensis,88.68,31.301,all depth
133658,SLB-93454,Acropora bifurcata,59.242,73.772,all depth
133659,URM-Cn-5991,Stylophora kuehlmanni,74.079,63.828,all depth
133660,SLB-184810,Isopora cuneata,74.713,52.145,all depth
133662,URM-Cn-5905,Galaxea fascicularis,89.066,35.212,all depth
133665,URM-Cn-5581,Goniastrea thecata,97.019,27.869,all depth
133666,URM-Cn-4785,Acropora millepora,90.162,39.006,all depth
133668,URM-Cn-6030,Goniopora stokesi,92.137,21.143,all depth
133672,SLB-158629,Acropora efflorescens,57.184,40.556,all depth
133673,URM-Cn-5766,Fungia paumotensis,87.801,44.968,all depth
133674,URM-Cn-4919,Montipora mollis,80.088,60.517,all depth
133676,URM-Cn-6143,Psammocora vaughani,22.641,66.928,all depth
133679,URM-Cn-5428,Heteropsammia cochlea,85.437,47.104,all depth
133680,URM-Cn-6038,Porites astreoides,48.295,61.347,all depth
133682,SLB-93593,Acropora subulata,79.898,47.879,all depth
133685,URM-Cn-5995,Stylophora pistillata,83.017,52.235,all depth
133686,URM-Cn-4961,Leptoseris cailleti,95.367,38.774,all depth
133690,URM-Cn-5513,Cyphastrea japonica,97.641,16.472,all depth
133693,URM-Cn-5795,Sandalolitha robusta,82.091,47.928,all depth
133697,URM-Cn-5475,Turbinaria reniformis,89.891,23.267,all depth
133702,URM-Cn-4987,Pavona duerdeni,81.868,47.793,all depth
132859,URM-Cn-5604,Oulastrea crispata,74.731,63.921,200 m clip
132860,SLB-62998,Psammocora stellata,61.891,80.619,200 m clip
132863,SLB-93516,Acropora prostrata,77.402,90.072,200 m clip
132866,URM-Cn-4877,Montipora angulata,80.735,93.628,200 m clip
132869,URM-Cn-4750,Acropora florida,87.508,79.922,200 m clip
132871,URM-Cn-5952,Pectinia elongata,85.77,32.664,200 m clip
132874,URM-Cn-5888,Scolymia lacera,21.44,91.065,200 m clip
132875,URM-Cn-5982,Pocillopora kelleheri,66.817,52.965,200 m clip
132876,URM-Cn-4973,Leptoseris tubulifera,66.465,61.303,200 m clip
132877,URM-Cn-5759,Fungia fralinae,88.089,51.362,200 m clip
132878,URM-Cn-5549,Favia maxima,88.067,43.252,200 m clip
132880,URM-Cn-4995,Pavona venosa,83.971,83.522,200 m clip
132883,URM-Cn-5572,Goniastrea australensis,82.088,46.287,200 m clip
