iucn_sid,am_sid,sciname,spp_group_text
187506,Fis-127204,Bodianus frenchii,Wrasses
187515,Fis-21695,Halichoeres podostigma,Wrasses
187543,Fis-161183,Cirrhilabrus cenderawasih,Wrasses
187567,Fis-31145,Anampses lennardi,Wrasses
187569,Fis-32511,Gomphosus caeruleus,Wrasses
187580,Fis-132105,Cirrhilabrus pylei,Wrasses
187698,Fis-25727,Hologymnosus annulatus,Wrasses
187711,Fis-26687,Thalassoma duperrey,Wrasses
187720,Fis-145583,Choerodon sugillatum,Wrasses
187747,Fis-26337,Choerodon robustus,Wrasses
187766,Fis-145088,Halichoeres kallochroma,Wrasses
187785,Fis-32554,Coris venusta,Wrasses
187791,Fis-153188,Paracheilinus rubricaudalis,Wrasses
190691,Fis-165595,Cetoscarus ocellatus,Wrasses
190753,Fis-5681,Chlorurus gibbus,Wrasses
190758,Fis-29129,Chlorurus genazonatus,Wrasses
192580,W-Msc-430457,Conus chaldaeus,Cone snails
192700,W-Msc-215559,Conus eburneus,Cone snails
192798,W-Msc-420217,Conus patae,Cone snails
192831,W-Msc-426447,Conus centurio,Cone snails
192869,W-Msc-420220,Conus regius,Cone snails
170158,Fis-29364,Dentex angolensis,Seabreams/Porgies
170181,Fis-26856,Acanthopagrus palmaris,Seabreams/Porgies
170194,Fis-25681,Chrysoblephus anglicus,Seabreams/Porgies
170204,Fis-25684,Cymatoceps nasutus,Seabreams/Porgies
170216,Fis-26772,Crenidens crenidens,Seabreams/Porgies
170253,Fis-6123,Sparus aurata,Seabreams/Porgies
170264,Fis-16392,Diplodus holbrookii,Seabreams/Porgies
172447,Fis-58548,Entomacrodus vermiculatus,Combtooth Blennies
188551,Fis-149838,Stegastes adustus,Damselfish
192585,SLB-189630,Conus vicweei,Cone snails
193599,Fis-35467,Arothron caeruleopunctatus,Pufferfish
193612,Fis-26899,Takifugu rubripes,Pufferfish
193693,Fis-28768,Takifugu pardalis,Pufferfish
193705,Fis-26249,Canthigaster rivulata,Pufferfish
193803,Fis-133976,Omegophora cyanopunctata,Pufferfish
193813,Fis-23820,Sphoeroides testudineus,Pufferfish
198774,Fis-50553,Parablennius pilicornis,Combtooth Blennies
46079217,Fis-32641,Antennablennius australis,Combtooth Blennies
46079816,Fis-61136,Istiblennius pox,Combtooth Blennies
46080027,Fis-59608,Pereulixia kosiensis,Combtooth Blennies
46104061,Fis-30136,Hypleurochilus springeri,Combtooth Blennies
46104090,Fis-146038,Ophioblennius macclurei,Combtooth Blennies
46104109,Fis-24847,Parablennius marmoreus,Combtooth Blennies
47141104,Fis-150314,Hypleurochilus pseudoaequipinnis,Combtooth Blennies
48342126,Fis-61558,Blenniella paula,Combtooth Blennies
48342162,Fis-31626,Ecsenius sellifer,Combtooth Blennies
48342164,Fis-35341,Meiacanthus mossambicus,Combtooth Blennies
48342232,Fis-145447,Enchelyurus flavipes,Combtooth Blennies
48342246,Fis-58823,Atrosalarias fuscus,Combtooth Blennies
48342258,Fis-138294,Parablennius cyclops,Combtooth Blennies
48342271,Fis-61807,Istiblennius muelleri,Combtooth Blennies
48342285,Fis-28573,Ecsenius gravieri,Combtooth Blennies
48342303,Fis-30945,Cirripectes chelomatus,Combtooth Blennies
48342307,Fis-35286,Ecsenius aequalis,Combtooth Blennies
48342337,Fis-58117,Istiblennius unicolor,Combtooth Blennies
48342381,Fis-50534,Omobranchus banditus,Combtooth Blennies
48342392,Fis-26714,Plagiotremus goslinei,Combtooth Blennies
48342398,Fis-113466,Meiacanthus crinitus,Combtooth Blennies
48342425,Fis-30954,Cirripectes springeri,Combtooth Blennies
48342437,Fis-61874,Paralticus amboinensis,Combtooth Blennies
48342448,Fis-145446,Dodekablennos fraseri,Combtooth Blennies
48342458,Fis-58115,Ecsenius nalolo,Combtooth Blennies
48342471,Fis-25987,Rhabdoblennius snowi,Combtooth Blennies
48342505,Fis-150326,Nannosalarias nativitatis,Combtooth Blennies
48342512,Fis-61995,Ecsenius tessera,Combtooth Blennies
48342525,Fis-25991,Aspidontus dussumieri,Combtooth Blennies
