"","V1","SPECIESID","SpecCode","Genus","Species","FBname","Kingdom","Phylum","Class","Order","Family","iucn_code","expert_id","scientific"
"28","28","AFD-Pul-38",1054,"Siphonaria","laciniosa","fringed false limpet","Animalia","Mollusca","Gastropoda","Basommatophora","Siphonariidae","N.E.","\N","Siphonaria laciniosa"
"29","29","AFD-Pul-3911",1087,"Peronia","verruculata","\N","Animalia","Mollusca","Gastropoda","Systellommatophora","Onchidiidae","N.E.","\N","Peronia verruculata"
"30","30","AFD-Pul-46",1112,"Siphonaria","atra","\N","Animalia","Mollusca","Gastropoda","Basommatophora","Siphonariidae","N.E.","\N","Siphonaria atra"
"31","31","AFD-Pul-494",1122,"Auriculastra","subula","\N","Animalia","Mollusca","Gastropoda","Pulmonata","Ellobiidae","LC","\N","Auriculastra subula"
"32","32","AFD-Pul-504",1126,"Cassidula","nucleus","\N","Animalia","Mollusca","Gastropoda","Pulmonata","Ellobiidae","N.E.","\N","Cassidula nucleus"
"33","33","AFD-Pul-525",1131,"Ellobium","aurisjudae","Judas ear crassidula","Animalia","Mollusca","Gastropoda","Pulmonata","Ellobiidae","N.E.","\N","Ellobium aurisjudae"
"34","34","ITS-567330",1166,"Cenchritis","muricatus","beaded periwinkle","Animalia","Mollusca","Gastropoda","Neotaenioglossa","Littorinidae","N.E.","\N","Cenchritis muricatus"
"35","35","ITS-567331",1167,"Ceratophyllidia","papilligera","\N","Animalia","Mollusca","Gastropoda","Nudibranchia","Phyllidiidae","N.E.","\N","Ceratophyllidia papilligera"
"36","36","ITS-567350",1185,"Chicoreus","beauii","\N","Animalia","Mollusca","Gastropoda","Neogastropoda","Muricidae","N.E.","\N","Chicoreus beauii"
"37","37","AFD-Pul-581",1192,"Melampus","fasciatus","\N","Animalia","Mollusca","Gastropoda","Pulmonata","Ellobiidae","N.E.","\N","Melampus fasciatus"
"38","38","AFD-Pul-623",1203,"Pythia","scarabaeus","common pythia","Animalia","Mollusca","Gastropoda","Pulmonata","Ellobiidae","N.E.","\N","Pythia scarabaeus"
"39","39","ITS-205061",1244,"Parvanachis","obesa","fat dovesnail","Animalia","Mollusca","Gastropoda","Neogastropoda","Columbellidae","N.E.","\N","Parvanachis obesa"
"40","40","ITS-205086",1255,"Admete","viridula","northern admete","Animalia","Mollusca","Gastropoda","Neogastropoda","Cancellariidae","N.E.","\N","Admete viridula"
"41","41","ITS-205092",1257,"Prunum","carneum","orange marginella","Animalia","Mollusca","Gastropoda","Neogastropoda","Marginellidae","N.E.","\N","Prunum carneum"
"42","42","ITS-204829",1276,"Patella","ulyssiponensis","\N","Animalia","Mollusca","Gastropoda","Archaeogastropoda","Patellidae","N.E.","\N","Patella ulyssiponensis"
"43","43","ITS-204945",1323,"Tectura","testudinalis","plant limpet","Animalia","Mollusca","Gastropoda","Patellogastropoda","Lottiidae","N.E.","\N","Tectura testudinalis"
"44","44","ITS-205013",1339,"Alvania","cancellata","\N","Animalia","Mollusca","Gastropoda","Neotaenioglossa","Rissoidae","N.E.","\N","Alvania cancellata"
"45","45","ITS-205220",1354,"Aplysia","fasciata","\N","Animalia","Mollusca","Gastropoda","Anaspidea","Aplysiidae","N.E.","\N","Aplysia fasciata"
"46","46","ITS-205241",1367,"Berthella","plumula","\N","Animalia","Mollusca","Gastropoda","Notaspidea","Pleurobranchidae","N.E.","\N","Berthella plumula"
"47","47","ITS-205247",1373,"Geitodoris","planata","\N","Animalia","Mollusca","Gastropoda","Nudibranchia","Discodorididae","N.E.","\N","Geitodoris planata"
"48","48","ITS-205256",1380,"Kaloplocamus","ramosus","\N","Animalia","Mollusca","Gastropoda","Nudibranchia","Triophidae","N.E.","\N","Kaloplocamus ramosus"
"49","49","ITS-567599",1407,"Flabellina","salmonacea","salmon aeolis","Animalia","Mollusca","Gastropoda","Nudibranchia","Flabellinidae","N.E.","\N","Flabellina salmonacea"
"50","50","ITS-567603",1411,"Flabellina","verrucosa","red-finger aeolis","Animalia","Mollusca","Gastropoda","Nudibranchia","Flabellinidae","N.E.","\N","Flabellina verrucosa"
"51","51","ITS-567727",1428,"Iniforis","turristhomae","St. Thomas triphora","Animalia","Mollusca","Gastropoda","Neotaenioglossa","Triphoridae","N.E.","\N","Iniforis turristhomae"
"52","52","ITS-567735",1434,"Ividia","havanensis","\N","Animalia","Mollusca","Gastropoda","Heterostropha","Pyramidellidae","N.E.","\N","Ividia havanensis"
"53","53","ITS-567751",1444,"Lamellitrochus","inceratus","waxy solarelle","Animalia","Mollusca","Gastropoda","Archaeogastropoda","Trochidae","N.E.","\N","Lamellitrochus inceratus"
"54","54","ITS-567768",1448,"Leptadrillia","cookei","\N","Animalia","Mollusca","Gastropoda","Neogastropoda","Drilliidae","N.E.","\N","Leptadrillia cookei"
"55","55","SLB-98767",1463,"Cerithium","munitum","\N","Animalia","Mollusca","Gastropoda","Neotaenioglossa","Cerithiidae","N.E.","\N","Cerithium munitum"
"56","56","ITS-567803",1471,"Littoraria","angulifera","mangrove periwinkle","Animalia","Mollusca","Gastropoda","Neotaenioglossa","Littorinidae","N.E.","\N","Littoraria angulifera"
"57","57","ITS-568462",1495,"Volutopsius","norwegicus","Norway whelk","Animalia","Mollusca","Gastropoda","Neogastropoda","Buccinidae","N.E.","\N","Volutopsius norwegicus"
"58","58","ITS-567398",1563,"Conus","stearnsii","\N","Animalia","Mollusca","Gastropoda","Neogastropoda","Conidae","N.E.","\N","Conus stearnsii"
"59","59","ITS-567405",1570,"Cosmotriphora","melanura","white Atlantic triphora","Animalia","Mollusca","Gastropoda","Neotaenioglossa","Triphoridae","N.E.","\N","Cosmotriphora melanura"
"60","60","ITS-567407",1572,"Costoanachis","avara","greedy dovesnail","Animalia","Mollusca","Gastropoda","Neogastropoda","Columbellidae","N.E.","\N","Costoanachis avara"
"61","61","ITS-567422",1585,"Crassispira","fuscescens","\N","Animalia","Mollusca","Gastropoda","Neogastropoda","Turridae","N.E.","\N","Crassispira fuscescens"
"62","62","ITS-567436",1598,"Cryptonatica","affinis","Arctic moonsnail","Animalia","Mollusca","Gastropoda","Neotaenioglossa","Naticidae","N.E.","\N","Cryptonatica affinis"
"63","63","ITS-567198",1615,"Aclis","hendersoni","angular aclis","Animalia","Mollusca","Gastropoda","Neotaenioglossa","Aclididae","N.E.","\N","Aclis hendersoni"
"64","64","ITS-567199",1616,"Acteocina","lepta","\N","Animalia","Mollusca","Gastropoda","Cephalaspidea","Cylichnidae","N.E.","\N","Acteocina lepta"
"65","65","ITS-567209",1624,"Agathotoma","candidissima","\N","Animalia","Mollusca","Gastropoda","Neogastropoda","Turridae","N.E.","\N","Agathotoma candidissima"
"66","66","ITS-567255",1661,"Astyris","lunata","lunar dovesnail","Animalia","Mollusca","Gastropoda","Neogastropoda","Columbellidae","N.E.","\N","Astyris lunata"
"67","67","ITS-567274",1675,"Benthonella","tenella","\N","Animalia","Mollusca","Gastropoda","Neotaenioglossa","Rissoidae","N.E.","\N","Benthonella tenella"
"68","68","ITS-567280",1681,"Berthella","stellata","\N","Animalia","Mollusca","Gastropoda","Notaspidea","Pleurobranchidae","N.E.","\N","Berthella stellata"
"69","69","ITS-567284",1685,"Bittiolum","varium","grass cerith","Animalia","Mollusca","Gastropoda","Neotaenioglossa","Cerithiidae","N.E.","\N","Bittiolum varium"
"70","70","ITS-568280",1762,"Seila","adamsii","\N","Animalia","Mollusca","Gastropoda","Neotaenioglossa","Cerithiopsidae","N.E.","\N","Seila adamsii"
"71","71","ITS-568321",1789,"Steironepion","moniliferum","many-spotted dovesnail","Animalia","Mollusca","Gastropoda","Neogastropoda","Columbellidae","N.E.","\N","Steironepion moniliferum"
"72","72","ITS-70162",1824,"Neritina","virginea","virgin nerite","Animalia","Mollusca","Gastropoda","Neritopsina","Neritidae","N.E.","\N","Neritina virginea"
"73","73","ITS-70166",1827,"Nerita","peloronta","bleeding tooth","Animalia","Mollusca","Gastropoda","Neritopsina","Neritidae","N.E.","\N","Nerita peloronta"
"74","74","ITS-70167",1828,"Nerita","versicolor","plicate nerite","Animalia","Mollusca","Gastropoda","Neritopsina","Neritidae","N.E.","\N","Nerita versicolor"
"75","75","ITS-70168",1829,"Nerita","tessellata","checkered nerite","Animalia","Mollusca","Gastropoda","Neritopsina","Neritidae","N.E.","\N","Nerita tessellata"
"76","76","ITS-70169",1830,"Nerita","fulgurans","Antillean nerite","Animalia","Mollusca","Gastropoda","Neritopsina","Neritidae","N.E.","\N","Nerita fulgurans"
"77","77","ITS-70170",1831,"Nerita","scabricosta","costate nerite","Animalia","Mollusca","Gastropoda","Neritopsina","Neritidae","N.E.","\N","Nerita scabricosta"
"78","78","ITS-568341",1835,"Tachyrhynchus","reticulatus","\N","Animalia","Mollusca","Gastropoda","Neotaenioglossa","Turritellidae","N.E.","\N","Tachyrhynchus reticulatus"
"79","79","ITS-568108",1963,"Plicopurpura","patula","widemouth rocksnail","Animalia","Mollusca","Gastropoda","Neogastropoda","Muricidae","N.E.","\N","Plicopurpura patula"
"80","80","ITS-568119",1974,"Polystira","florencae","\N","Animalia","Mollusca","Gastropoda","Neogastropoda","Turridae","N.E.","\N","Polystira florencae"
"81","81","ITS-568144",1997,"Propustularia","surinamensis","Suriname cowrie","Animalia","Mollusca","Gastropoda","Neotaenioglossa","Cypraeidae","N.E.","\N","Propustularia surinamensis"
"82","82","ITS-69879",2012,"Margarites","helicinus","spiral margarite","Animalia","Mollusca","Gastropoda","Archaeogastropoda","Trochidae","N.E.","\N","Margarites helicinus"
"83","83","ITS-69893",2024,"Margarites","costalis","boreal rosy margarite","Animalia","Mollusca","Gastropoda","Archaeogastropoda","Trochidae","N.E.","\N","Margarites costalis"
"84","84","ITS-69651",2044,"Fissurella","angusta","narrow keyhole limpet","Animalia","Mollusca","Gastropoda","Patellogastropoda","Fissurellidae","N.E.","\N","Fissurella angusta"
"85","85","ITS-69464",2047,"Perotrochus","quoyanus","\N","Animalia","Mollusca","Gastropoda","Archaeogastropoda","Pleurotomariidae","N.E.","\N","Perotrochus quoyanus"
"86","86","ITS-567688",2081,"Hespererato","maugeriae","green erato","Animalia","Mollusca","Gastropoda","Neotaenioglossa","Triviidae","N.E.","\N","Hespererato maugeriae"
"87","87","ITS-567805",2110,"Littoraria","nebulosa","cloudy periwinkle","Animalia","Mollusca","Gastropoda","Neotaenioglossa","Littorinidae","N.E.","\N","Littoraria nebulosa"
"88","88","ITS-567816",2121,"Lottia","digitalis","ribbed Limpet","Animalia","Mollusca","Gastropoda","Patellogastropoda","Lottiidae","N.E.","\N","Lottia digitalis"
"89","89","ITS-567819",2124,"Lottia","leucopleura","black-rib limpet","Animalia","Mollusca","Gastropoda","Patellogastropoda","Lottiidae","N.E.","\N","Lottia leucopleura"
"90","90","ITS-567823",2128,"Lottia","pelta","shield limpet","Animalia","Mollusca","Gastropoda","Patellogastropoda","Lottiidae","N.E.","\N","Lottia pelta"
"91","91","ITS-567849",2195,"Macrocypraea","zebra","measled cowrie","Animalia","Mollusca","Gastropoda","Neotaenioglossa","Cypraeidae","N.E.","\N","Macrocypraea zebra"
"92","92","ITS-567862",2203,"Marshallora","nigrocincta","black-line triphora","Animalia","Mollusca","Gastropoda","Neotaenioglossa","Triphoridae","N.E.","\N","Marshallora nigrocincta"
"93","93","ITS-567965",2289,"Niveria","nix","snowy trivia","Animalia","Mollusca","Gastropoda","Neotaenioglossa","Triviidae","N.E.","\N","Niveria nix"
"94","94","SLB-172822",2290,"Pusula","pediculus","coffeebean trivia","Animalia","Mollusca","Gastropoda","Neotaenioglossa","Triviidae","N.E.","\N","Pusula pediculus"
"95","95","ITS-567967",2291,"Niveria","quadripunctata","fourspot trivia","Animalia","Mollusca","Gastropoda","Neotaenioglossa","Triviidae","N.E.","\N","Niveria quadripunctata"
"96","96","ITS-567968",2292,"Niveria","suffusa","pink trivia","Animalia","Mollusca","Gastropoda","Neotaenioglossa","Triviidae","N.E.","\N","Niveria suffusa"
"97","97","SLB-172865",2294,"Echinolittorina","meleagris","white-spot periwinkle","Animalia","Mollusca","Gastropoda","Neotaenioglossa","Littorinidae","N.E.","\N","Echinolittorina meleagris"
"98","98","SLB-172875",2297,"Echinolittorina","ziczac","zebra periwinkle","Animalia","Mollusca","Gastropoda","Neotaenioglossa","Littorinidae","N.E.","\N","Echinolittorina ziczac"
"99","99","SLB-172816",2325,"Pseudoscilla","babylonia","\N","Animalia","Mollusca","Gastropoda","Heterostropha","Pyramidellidae","N.E.","\N","Pseudoscilla babylonia"
"100","100","ITS-568076",2338,"Peracle","diversa","\N","Animalia","Mollusca","Gastropoda","Thecosomata","Peraclididae","N.E.","\N","Peracle diversa"
