am_sid,lim,sciname,reviewed
SLB-190285,w_lim,Munida fasciata,null
SLB-190420,w_lim,Plesionika nesisi,null
SLB-40187,w_lim,Gygis microrhyncha,null
SLB-69125,w_lim,Septifer bryanae,null
SLB-76907,w_lim,Pusillina marmorata,null
SLB-9261,w_lim,Mursia hawaiiensis,null
URM-2-1893,w_lim,Ascidia ceratodes,null
URM-2-3547,w_lim,Culeolus pyramidalis,null
URM-2-3674,w_lim,Pyura praeputialis,null
URM-2-620,w_lim,Colossendeis peloria,null
URM-Cn-10281,w_lim,Tiburonia granrojo,null
W-Ase-378630,w_lim,Linckia columbiae,null
W-Bch-208855,w_lim,Thalamita auauensis,null
W-Bch-208995,w_lim,Neoliomera demani,null
W-Bch-209094,w_lim,Xanthias canaliculatus,null
W-Bch-387539,w_lim,Laleonectes stridens,null
W-Bch-389553,w_lim,Ethusina crenulata,null
W-Bch-389554,w_lim,Ethusina huilianae,null
W-Bch-440516,w_lim,Ozius hawaiiensis,null
W-Bch-441026,w_lim,Progeryon mararae,null
W-Bch-441126,w_lim,Ebalia jordani,null
W-Bch-442106,w_lim,Micippa parca,null
W-Bch-442225,w_lim,Daldorfia dimorpha,null
W-Bch-443874,w_lim,Trapezia areolata,null
W-Bch-443883,w_lim,Trapezia punctimanus,null
W-Bch-444066,w_lim,Rata tuamotense,null
W-Bch-444091,w_lim,Garthiella aberrans,null
W-Bch-444119,w_lim,Alainodaeus akiaki,null
W-Bch-444772,w_lim,Hemigrapsus crenulatus,null
W-Bch-550466,w_lim,Metadynomene tuamotu,null
W-Bch-550473,w_lim,Neopalicus simulus,null
WBD-Eup-61,w_lim,Nyctiphanes simplex,null
WBD-Eup-90,w_lim,Thysanopoda cornuta,null
W-Ech-513094,w_lim,Aeropsis fulva,null
W-Ech-513372,w_lim,Lovenia cordiformis,null
W-For-556253,w_lim,Abyssotherma pacifica,null
W-Gtd-265886,w_lim,Cosmognathia manubrium,null
W-Hyd-285553,w_lim,Sertularella robusta,null
W-Hyd-288326,w_lim,Distichopora gracilis,null
W-Msc-183000,w_lim,Bathymodiolus thermophilus,null
W-Msc-381555,w_lim,Frigidocardium thaanumi,null
W-Msc-393274,w_lim,Pascahinnites pasca,null
W-Msc-393341,w_lim,Semipallium rapanense,null
W-Msc-448360,w_lim,Fusinus genticus,null
W-Msc-449949,w_lim,Clypeosectus delectus,null
W-Msc-449951,w_lim,Cyathermia naticoides,null
W-Msc-449994,w_lim,Pachydermia laevis,null
W-Msc-450000,w_lim,Planorbidella planispira,null
W-Msc-456654,w_lim,Cellana taitensis,null
W-Msc-464366,w_lim,Calyptogena magnifica,null
W-Msc-492588,w_lim,Berthelinia chloris,null
W-Msc-504422,w_lim,Calloarca nuttingi,null
W-Msc-505278,w_lim,Basterotia lutea,null
W-Msc-506675,w_lim,Nucula hawaiensis,null
W-Msc-511779,w_lim,Euplica loisae,null
W-Msc-536893,w_lim,Bathymargarites symplector,null
W-Msc-549862,w_lim,Coralliophila latilirata,null
W-Msc-575295,w_lim,Volvulella panamica,null
W-Msc-582270,w_lim,Zebina bidentata,null
W-Msc-593533,w_lim,Rissoina schubelae,null
W-Msc-593595,w_lim,Stosicia chiltoni,null
W-Msc-595506,w_lim,Lasaea hawaiiensis,null
W-Msc-713885,w_lim,Nerita morio,null
W-Oph-124854,w_lim,Ophiocten hastatum,null
W-Oph-238164,w_lim,Ophiolamina eprae,null
W-Oph-238166,w_lim,Spinophiura jolliveti,null
W-Oph-243819,w_lim,Ophiomusium glabrum,null
W-Pol-266009,w_lim,Ridgeia piscesae,null
W-Pol-266010,w_lim,Riftia pachyptila,null
W-Pol-329926,w_lim,Protis hydrothermica,null
W-Pol-331379,w_lim,Pseudexogone backstromi,null
W-Pol-332941,w_lim,Amphiduropsis axialensis,null
