sciname,id_no,spp_group,popn_category,iucn_subpop,spatial_source
Epinephelus bilobatus,132752,GROUPERS,DD,NA,iucn
Epinephelus bontoides,132813,GROUPERS,DD,NA,iucn
Epinephelus timorensis,64406,GROUPERS,DD,NA,iucn
Halichoeres signifer,187585,WRASSE,DD,NA,iucn
Hemigymnus sexfasciatus,187551,WRASSE,DD,NA,iucn
Iniistius trivittatus,187412,WRASSE,DD,NA,iucn
Leptojulis lambdastigma,187375,WRASSE,DD,NA,iucn
Meiacanthus limbatus,48342158,COMBTOOTHBLENNIES,DD,NA,iucn
Meiacanthus reticulatus,48342207,COMBTOOTHBLENNIES,DD,NA,iucn
Naso reticulatus,177954,SURGEONFISH_TANGS_UNICORNFISH,DD,NA,iucn
Oxycheilinus nigromarginatus,187577,WRASSE,DD,NA,iucn
Parablennius verryckeni,185145,COMBTOOTHBLENNIES,DD,NA,iucn
Pseudocheilinus dispilus,187666,WRASSE,DD,NA,iucn
Pseudocoris ocellata,187611,WRASSE,DD,NA,iucn
Scarus maculipinna,190735,WRASSE,DD,NA,iucn
Siphonognathus tanyourus,190684,WRASSE,DD,NA,iucn
Spaniblennius riodourensis,185131,COMBTOOTHBLENNIES,DD,NA,iucn
Stegastes otophorus,188471,DAMSELFISH,DD,NA,iucn
Takifugu pseudommus,193809,PUFFERFISH,DD,NA,iucn
Thalassoma loxum,187422,WRASSE,DD,NA,iucn
Torquigener balteus,193701,PUFFERFISH,DD,NA,iucn
Torquigener randalli,193689,PUFFERFISH,DD,NA,iucn
Neoglyphea inopinata,170068,LOBSTERS,DD,NA,iucn
Nephropides caribaeus,170060,LOBSTERS,DD,NA,iucn
Eunephrops bairdii,170085,LOBSTERS,DD,NA,iucn
Metanephrops formosanus,170039,LOBSTERS,DD,NA,iucn
Metanephrops japonicus,170003,LOBSTERS,DD,NA,iucn
Metanephrops japonicus,170036,LOBSTERS,DD,NA,iucn
Metanephrops thomsoni,170079,LOBSTERS,DD,NA,iucn
Jasus frontalis,169948,LOBSTERS,DD,NA,iucn
Palinustus mossambicus,170047,LOBSTERS,DD,NA,iucn
Panulirus stimpsoni,170041,LOBSTERS,DD,NA,iucn
Puerulus carinatus,170007,LOBSTERS,DD,NA,iucn
Scyllarides delfosi,170030,LOBSTERS,DD,NA,iucn
Parribacus holthuisi,169995,LOBSTERS,DD,NA,iucn
Parribacus japonicus,170013,LOBSTERS,DD,NA,iucn
Parribacus scarlatinus,170059,LOBSTERS,DD,NA,iucn
Eduarctus lewinsohni,184995,LOBSTERS,DD,NA,iucn
Palibythus magnificus,170033,LOBSTERS,DD,NA,iucn
Enoplometopus holthuisi,185024,LOBSTERS,DD,NA,iucn
Eunephrops manningi,169981,LOBSTERS,DD,NA,iucn
Acropora branchi,133334,CORALS_Part3,DD,NA,iucn
Porites colonensis,132945,CORALS_Part1,DD,NA,iucn
Indophyllia macassarensis,132941,CORALS_Part3,DD,NA,iucn
Micromussa diminuta,133268,CORALS_Part3,DD,NA,iucn
Mussismilia harttii,133527,CORALS_Part1,DD,NA,iucn
Fungia puishani,132902,CORALS_Part3,DD,NA,iucn
Acropora pruinosa,133128,CORALS_Part1,DD,NA,iucn
Podabacia sinai,133344,CORALS_Part1,DD,NA,iucn
Simplastrea vesicularis,133004,CORALS_Part1,DD,NA,iucn
Acropora fenneri,133125,CORALS_Part1,DD,NA,iucn
Acropora gomezi,133352,CORALS_Part1,DD,NA,iucn
Acropora halmaherae,133311,CORALS_Part3,DD,NA,iucn
Acropora minuta,133018,CORALS_Part1,DD,NA,iucn
Acropora ocellata,133000,CORALS_Part1,DD,NA,iucn
Holothuria arenicola,180437,SEACUCUMBERS,DD,NA,iucn
Pseudostichopus mollis,180381,SEACUCUMBERS,DD,NA,iucn
Bathyplotes moseleyi,180515,SEACUCUMBERS,DD,NA,iucn
Actinopyga lecanora,180266,SEACUCUMBERS,DD,NA,iucn
Hydrophis czeblukovi,176730,REPTILES,DD,NA,iucn
Hydrophis czeblukovi,176730,SEASNAKES,DD,NA,iucn
Montipora verrilli,133305,CORALS_Part3,DD,NA,iucn
Acropora seriata,132886,CORALS_Part1,DD,NA,iucn
Acropora convexa,133379,CORALS_Part3,DD,NA,iucn
Acropora lianae,132946,CORALS_Part3,DD,NA,iucn
Mesoplodon traversii,41760,MARINE_MAMMALS,DD,NA,iucn
Actinopyga caerulea,180530,SEACUCUMBERS,DD,NA,iucn
Acropora efflorescens,133672,CORALS_Part1,DD,NA,iucn
Acropora macrostoma,132950,CORALS_Part3,DD,NA,iucn
Enoplometopus gracilipes,185005,LOBSTERS,DD,NA,iucn
Galearctus rapanus,184986,LOBSTERS,DD,NA,iucn
Nupalirus vericeli,185025,LOBSTERS,DD,NA,iucn
Isostichopus macroparentheses,180313,SEACUCUMBERS,DD,NA,iucn
Willemoesia pacifica,185082,LOBSTERS,DD,NA,iucn
Holothuria coronopertusa,180218,SEACUCUMBERS,DD,NA,iucn
Acropora bifurcata,133658,CORALS_Part3,DD,NA,iucn
Acropora exquisita,133592,CORALS_Part3,DD,NA,iucn
Acropora irregularis,132906,CORALS_Part1,DD,NA,iucn
Acropora mirabilis,133483,CORALS_Part1,DD,NA,iucn
Acropora plantaginea,133122,CORALS_Part3,DD,NA,iucn
Acropora prostrata,132863,CORALS_Part3,DD,NA,iucn
Acropora rosaria,132908,CORALS_Part1,DD,NA,iucn
Acropora teres,133393,CORALS_Part3,DD,NA,iucn
Agaricia undata,133100,CORALS_Part1,DD,NA,iucn
Balaenoptera bonaerensis,2480,MARINE_MAMMALS,DD,NA,iucn
Balaenoptera brydei,2476,MARINE_MAMMALS,DD,NA,iucn
Balaenoptera edeni,2476,MARINE_MAMMALS,DD,NA,iucn
Berardius arnuxii,2762,MARINE_MAMMALS,DD,NA,iucn
Berardius bairdii,2763,MARINE_MAMMALS,DD,NA,iucn
Bohadschia marmorata,180411,SEACUCUMBERS,DD,NA,iucn
Bohadschia similis,180386,SEACUCUMBERS,DD,NA,iucn
Bohadschia vitiensis,180352,SEACUCUMBERS,DD,NA,iucn
Caperea marginata,3778,MARINE_MAMMALS,DD,NA,iucn
Cephalorhynchus commersonii,4159,MARINE_MAMMALS,DD,NA,iucn
Cephalorhynchus heavisidii,4161,MARINE_MAMMALS,DD,NA,iucn
Delphinus capensis,6337,MARINE_MAMMALS,DD,NA,iucn
Enoplometopus crosnieri,185051,LOBSTERS,DD,NA,iucn
Feresa attenuata,8551,MARINE_MAMMALS,DD,NA,iucn
Galearctus umbilicatus,184988,LOBSTERS,DD,NA,iucn
Globicephala macrorhynchus,9249,MARINE_MAMMALS,DD,NA,iucn
Globicephala melas,9250,MARINE_MAMMALS,DD,NA,iucn_parent
Histriophoca fasciata,41670,MARINE_MAMMALS,DD,NA,iucn
Holothuria impatiens,180512,SEACUCUMBERS,DD,NA,iucn
Ibacus ciliatus,170081,LOBSTERS,DD,NA,iucn
Ibacus ciliatus,185002,LOBSTERS,DD,NA,iucn
Ibacus pubescens,185002,LOBSTERS,DD,NA,iucn
Indopacetus pacificus,40635,MARINE_MAMMALS,DD,NA,iucn
Justitia mauritiana,170097,LOBSTERS,DD,NA,iucn
Kogia sima,11048,MARINE_MAMMALS,DD,NA,iucn
Lagenorhynchus australis,11143,MARINE_MAMMALS,DD,NA,iucn
Lagenorhynchus obscurus,11146,MARINE_MAMMALS,DD,NA,iucn
Madracis asperula,133476,CORALS_Part1,DD,NA,iucn
Mesoplodon bidens,13241,MARINE_MAMMALS,DD,NA,iucn
Mesoplodon carlhubbsi,13243,MARINE_MAMMALS,DD,NA,iucn
Mesoplodon europaeus,13245,MARINE_MAMMALS,DD,NA,iucn
Mesoplodon ginkgodens,13246,MARINE_MAMMALS,DD,NA,iucn
Mesoplodon grayi,13247,MARINE_MAMMALS,DD,NA,iucn
Mesoplodon hectori,13248,MARINE_MAMMALS,DD,NA,iucn
Mesoplodon layardii,13249,MARINE_MAMMALS,DD,NA,iucn
Mesoplodon mirus,13250,MARINE_MAMMALS,DD,NA,iucn
Mesoplodon peruvianus,13251,MARINE_MAMMALS,DD,NA,iucn
Mesoplodon stejnegeri,13252,MARINE_MAMMALS,DD,NA,iucn
Mussismilia hispida,133184,CORALS_Part1,DD,NA,iucn
Mycetophyllia reesi,133037,CORALS_Part1,DD,NA,iucn
Nephropsis serrata,185065,LOBSTERS,DD,NA,iucn
Oculina valenciennesi,133444,CORALS_Part1,DD,NA,iucn
Odobenus rosmarus,15106,MARINE_MAMMALS,DD,NA,iucn
Otaria flavescens,41665,MARINE_MAMMALS,LC,NA,iucn
Panulirus argus,169976,LOBSTERS,DD,NA,iucn
Panulirus gracilis,170061,LOBSTERS,DD,NA,iucn
Panulirus japonicus,170006,LOBSTERS,DD,NA,iucn
Panulirus laevicauda,170014,LOBSTERS,DD,NA,iucn
Panulirus regius,170094,LOBSTERS,DD,NA,iucn
Phocoena dioptrica,41715,MARINE_MAMMALS,DD,NA,iucn
Phocoena spinipinnis,17029,MARINE_MAMMALS,DD,NA,iucn
Pseudorca crassidens,18596,MARINE_MAMMALS,DD,NA,iucn
Scyllarides herklotsii,170028,LOBSTERS,DD,NA,iucn
Scyllarus arctus,185095,LOBSTERS,DD,NA,iucn
Siderastrea stellata,132915,CORALS_Part1,DD,NA,iucn
Stenella clymene,20730,MARINE_MAMMALS,DD,NA,iucn
Stenella frontalis,20732,MARINE_MAMMALS,DD,NA,iucn
Stenella longirostris,20733,MARINE_MAMMALS,DD,NA,iucn_parent
Stichopus horrens,180488,SEACUCUMBERS,DD,NA,iucn
Stichopus variegatus,180488,SEACUCUMBERS,DD,NA,iucn
Tasmacetus shepherdi,21500,MARINE_MAMMALS,DD,NA,iucn
Thelenota anax,180324,SEACUCUMBERS,DD,NA,iucn
Tursiops aduncus,41714,MARINE_MAMMALS,DD,NA,iucn
Mesoplodon perrini,41759,MARINE_MAMMALS,DD,NA,iucn
Thalassoma ascensionis,21689,WRASSE,DD,NA,iucn
Epinephelus faveatus,132760,GROUPERS,DD,NA,iucn
Abudefduf hoefleri,188621,DAMSELFISH,DD,NA,iucn
Chromis bicolor,188621,DAMSELFISH,DD,NA,iucn
Gliphydodon hoefleri,188621,DAMSELFISH,DD,NA,iucn
Glyphidodon hoefleri,188621,DAMSELFISH,DD,NA,iucn
Acantharctus delfini,185010,LOBSTERS,DD,NA,iucn
Scyllarus delfini,185010,LOBSTERS,DD,NA,iucn
Acantharctus posteli,185059,LOBSTERS,DD,NA,iucn
Scyllarus posteli,185059,LOBSTERS,DD,NA,iucn
Acanthopagrus akazakii,170230,SEABREAMS_PORGIES,DD,NA,iucn
Acanthopagrus catenula,47136868,SEABREAMS_PORGIES,DD,NA,iucn
Labrus catenula,47136868,SEABREAMS_PORGIES,DD,NA,iucn
Mylio latus,170263,SEABREAMS_PORGIES,DD,NA,iucn
Sparus latus,170263,SEABREAMS_PORGIES,DD,NA,iucn
Acanthopagrus longispinnis,170217,SEABREAMS_PORGIES,DD,NA,iucn
Chrysophrys longispinnis,170217,SEABREAMS_PORGIES,DD,NA,iucn
Sparus longispinnis,170217,SEABREAMS_PORGIES,DD,NA,iucn
Acanthopagrus omanensis,170228,SEABREAMS_PORGIES,DD,NA,iucn
Acanthopagrus randalli,170188,SEABREAMS_PORGIES,DD,NA,iucn
Acanthopagrus taiwanensis,170235,SEABREAMS_PORGIES,DD,NA,iucn
Acanthurus triostegus polyzona,177984,SURGEONFISH_TANGS_UNICORNFISH,DD,NA,iucn
Rhombotides polyzona,177984,SURGEONFISH_TANGS_UNICORNFISH,DD,NA,iucn
Acanthurus rostratus,178001,SURGEONFISH_TANGS_UNICORNFISH,DD,NA,iucn
Acropora cardenae,133264,CORALS_Part3,DD,NA,iucn
Acropora elegantula,133104,CORALS_Part3,DD,NA,iucn
Acropora filiformis,133699,CORALS_Part1,DD,NA,iucn
Acropora forskali,133204,CORALS_Part1,DD,NA,iucn
Acropora lamarcki,133086,CORALS_Part3,DD,NA,iucn
Acropora massawensis,133677,CORALS_Part1,DD,NA,iucn
Acropora meridiana,133189,CORALS_Part3,DD,NA,iucn
Acropora orbicularis,133265,CORALS_Part3,DD,NA,iucn
Acropora pagoensis,133475,CORALS_Part1,DD,NA,iucn
Acropora parahemprichii,133385,CORALS_Part3,DD,NA,iucn
Acropora parapharaonis,133138,CORALS_Part3,DD,NA,iucn
Acropora pinguis,133103,CORALS_Part3,DD,NA,iucn
Acropora proximalis,133598,CORALS_Part1,DD,NA,iucn
Acropora rongelapensis,133462,CORALS_Part3,DD,NA,iucn
Acropora scherzeriana,133355,CORALS_Part3,DD,NA,iucn
Acropora stoddarti,132919,CORALS_Part3,DD,NA,iucn
Acropora tanegashimensis,132934,CORALS_Part3,DD,NA,iucn
Acropora tizardi,133061,CORALS_Part1,DD,NA,iucn
Acropora torresiana,133681,CORALS_Part3,DD,NA,iucn
Acropora tumida,132971,CORALS_Part1,DD,NA,iucn
Acropora tutuilensis,133030,CORALS_Part3,DD,NA,iucn
Acropora wallaceae,133518,CORALS_Part3,DD,NA,iucn
Actinopyga albonigra,180390,SEACUCUMBERS,DD,NA,iucn
Actinopyga bacilla,180241,SEACUCUMBERS,DD,NA,iucn
Actinopyga bannwarthi,180510,SEACUCUMBERS,DD,NA,iucn
Actinopyga capillata,180474,SEACUCUMBERS,DD,NA,iucn
Actinopyga fusca,180314,SEACUCUMBERS,DD,NA,iucn
Actinopyga obesa,180338,SEACUCUMBERS,DD,NA,iucn
Actinopyga serratidens,180357,SEACUCUMBERS,DD,NA,iucn
Actinopyga varians,19708732,SEACUCUMBERS,DD,NA,iucn
Adelotremus leptus,47400952,COMBTOOTHBLENNIES,DD,NA,iucn
Aethaloperca rogaa,132814,GROUPERS,DD,NA,iucn
Aetheloperca rogaa,132814,GROUPERS,DD,NA,iucn
Athaloperca rogae,132814,GROUPERS,DD,NA,iucn
Perca lunaria,132814,GROUPERS,DD,NA,iucn
Perca rogaa,132814,GROUPERS,DD,NA,iucn
Cephalopholis albomarginatus,132800,GROUPERS,DD,NA,iucn
Gracilia albomarginata,132800,GROUPERS,DD,NA,iucn
Aglaia cucullata,34364,MANGROVES,DD,NA,iucn
Aipysurus tenuis,176760,REPTILES,DD,NA,iucn
Aipysurus tenuis,176760,SEASNAKES,DD,NA,iucn
Albula erythrocheilos,194298,BONEFISH_TARPONS,DD,NA,iucn
Albula forsteri,194298,BONEFISH_TARPONS,DD,NA,iucn
Albula neoguinaica,194298,BONEFISH_TARPONS,DD,NA,iucn
Esox argenteus,194298,BONEFISH_TARPONS,DD,NA,iucn
Synodus argenteus,194298,BONEFISH_TARPONS,DD,NA,iucn
Albula koreana,199659,BONEFISH_TARPONS,DD,NA,iucn
Albula nemoptera,190357,BONEFISH_TARPONS,DD,NA,iucn
Dixonina nemoptera,190357,BONEFISH_TARPONS,DD,NA,iucn
Albula virgata,194302,BONEFISH_TARPONS,DD,NA,iucn
Alloblennius frondiculus,47401609,COMBTOOTHBLENNIES,DD,NA,iucn
Allopatides corrugatus,19712515,SEACUCUMBERS,DD,NA,iucn
Allopatides dendroeides,19712597,SEACUCUMBERS,DD,NA,iucn
Alticus saltatorius,48321187,COMBTOOTHBLENNIES,DD,NA,iucn
Blennius saliens,48321187,COMBTOOTHBLENNIES,DD,NA,iucn
Amphigymnas multipes,19712826,SEACUCUMBERS,DD,NA,iucn
Anampses rubroviridis,187811,WRASSE,DD,NA,iucn
Anampses viridis,187811,WRASSE,DD,NA,iucn
Andamia cyclocheilus,48342196,COMBTOOTHBLENNIES,DD,NA,iucn
Andamia expansa,48342419,COMBTOOTHBLENNIES,DD,NA,iucn
Salarias heteropterus,48342209,COMBTOOTHBLENNIES,DD,NA,iucn
Salarias reyi,48342407,COMBTOOTHBLENNIES,DD,NA,iucn
Salarias tetradactylus,48342440,COMBTOOTHBLENNIES,DD,NA,iucn
Anguis mamillaris,176724,REPTILES,DD,NA,iucn
Anguis mamillaris,176724,SEASNAKES,DD,NA,iucn
Aturia mamillaris,176724,REPTILES,DD,NA,iucn
Aturia mamillaris,176724,SEASNAKES,DD,NA,iucn
Chitulia mamillaris,176724,REPTILES,DD,NA,iucn
Chitulia mamillaris,176724,SEASNAKES,DD,NA,iucn
Hydrophis mamillaris,176724,REPTILES,DD,NA,iucn
Hydrophis mamillaris,176724,SEASNAKES,DD,NA,iucn
Leioselasma mamillaris,176724,REPTILES,DD,NA,iucn
Leioselasma mamillaris,176724,SEASNAKES,DD,NA,iucn
Salarias sexfasciatus,48342487,COMBTOOTHBLENNIES,DD,NA,iucn
Antennablennius velifer,48342253,COMBTOOTHBLENNIES,DD,NA,iucn
Apolemichthys guezei,165869,ANGELFISH,DD,NA,iucn
Holacanthus guezei,165869,ANGELFISH,DD,NA,iucn
Apostichopus johnsoni,19711761,SEACUCUMBERS,DD,NA,iucn
Apostichopus multidentis,19711938,SEACUCUMBERS,DD,NA,iucn
Apostichopus nigripunctatus,19712189,SEACUCUMBERS,DD,NA,iucn
Apostichopus nipponensis,19712304,SEACUCUMBERS,DD,NA,iucn
Argiodia maculata,19708753,SEACUCUMBERS,DD,NA,iucn
Argyrops megalommatus,170219,SEABREAMS_PORGIES,DD,NA,iucn
Pagrus megalommatus,170219,SEABREAMS_PORGIES,DD,NA,iucn
Arothron carduus,193613,PUFFERFISH,DD,NA,iucn
Tetrodon carduus,193613,PUFFERFISH,DD,NA,iucn
Arothron leopardus,193746,PUFFERFISH,DD,NA,iucn
Tetrodon leopardus,193746,PUFFERFISH,DD,NA,iucn
Astreopora eliptica,133214,CORALS_Part3,DD,NA,iucn
Aturia belcheri,176751,REPTILES,DD,NA,iucn
Aturia belcheri,176751,SEASNAKES,DD,NA,iucn
Chitulia belcheri,176751,REPTILES,DD,NA,iucn
Chitulia belcheri,176751,SEASNAKES,DD,NA,iucn
Distira belcheri,176751,REPTILES,DD,NA,iucn
Distira belcheri,176751,SEASNAKES,DD,NA,iucn
Hydrophis belcheri,176751,REPTILES,DD,NA,iucn
Hydrophis belcheri,176751,SEASNAKES,DD,NA,iucn
Aturia bituberculata,176728,REPTILES,DD,NA,iucn
Aturia bituberculata,176728,SEASNAKES,DD,NA,iucn
Chitulia bituberculata,176728,REPTILES,DD,NA,iucn
Chitulia bituberculata,176728,SEASNAKES,DD,NA,iucn
Distira bituberculatus,176728,REPTILES,DD,NA,iucn
Distira bituberculatus,176728,SEASNAKES,DD,NA,iucn
Hydrophis bituberculatus,176728,REPTILES,DD,NA,iucn
Hydrophis bituberculatus,176728,SEASNAKES,DD,NA,iucn
Lioselasma bituberculatus,176728,REPTILES,DD,NA,iucn
Lioselasma bituberculatus,176728,SEASNAKES,DD,NA,iucn
Aturia stricticollis,176733,REPTILES,DD,NA,iucn
Aturia stricticollis,176733,SEASNAKES,DD,NA,iucn
Chitulia stricticollis,176733,REPTILES,DD,NA,iucn
Chitulia stricticollis,176733,SEASNAKES,DD,NA,iucn
Hydrophis stricticollis,176733,REPTILES,DD,NA,iucn
Hydrophis stricticollis,176733,SEASNAKES,DD,NA,iucn
Australophocaena dioptrica,41715,MARINE_MAMMALS,DD,NA,iucn
Balaenoptera omurai,136623,MARINE_MAMMALS,DD,NA,iucn
Bathyarctus formosanus,185045,LOBSTERS,DD,NA,iucn
Bathyarctus ramosae,185013,LOBSTERS,DD,NA,iucn
Bathyarctus steatopygus,184987,LOBSTERS,DD,NA,iucn
Blennius antholops,185178,COMBTOOTHBLENNIES,DD,NA,iucn
Bathyplotes baculosus,19715239,SEACUCUMBERS,DD,NA,iucn
Bathyplotes bigelowi,19715267,SEACUCUMBERS,DD,NA,iucn
Bathyplotes bongraini,180346,SEACUCUMBERS,DD,NA,iucn
Bathyplotes cinctus,19715433,SEACUCUMBERS,DD,NA,iucn
Bathyplotes crenulata,19715512,SEACUCUMBERS,DD,NA,iucn
Bathyplotes gourdoni,180336,SEACUCUMBERS,DD,NA,iucn
Bathyplotes imperfectus,180287,SEACUCUMBERS,DD,NA,iucn
Bathyplotes phlegmaticus,19715689,SEACUCUMBERS,DD,NA,iucn
Bathyplotes punctatus,180256,SEACUCUMBERS,DD,NA,iucn
Bathyplotes roseus,19715765,SEACUCUMBERS,DD,NA,iucn
Bathyplotes rubicundus,19716054,SEACUCUMBERS,DD,NA,iucn
Bathyplotes spuma,180464,SEACUCUMBERS,DD,NA,iucn
Bathyplotes sulcatus,180306,SEACUCUMBERS,DD,NA,iucn
